​行政相对人名称,统一社会信用代码,行政许可决定文书名称,行政许可决定文书号,许可证书名称,许可编号,许可内容,许可决定日期,有效期自,有效期至,许可机关
北京青瓦民宿中心(个体工商户) ,92110116MADC8WYD5Q,准予行政许可决定书,怀卫环许决字[2024]067号,卫生许可证,怀卫环监字[2024]第067号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-18 00:00:00,2024-03-18 00:00:00,2028-03-17 00:00:00,北京市怀柔区卫生健康委员会
北京夜泊酒店管理有限公司 ,91110116MAD0UBJC3R,准予行政许可决定书,怀卫环许决字[2024]066号,卫生许可证,怀卫环监字[2024]第066号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-18 00:00:00,2024-03-18 00:00:00,2028-03-17 00:00:00,北京市怀柔区卫生健康委员会
北京云水宫旅店 ,92110116MA7DB8UM41,准予行政许可决定书,怀卫环许决字[2024]065号,卫生许可证,怀卫环监字[2024]第065号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-18 00:00:00,2024-03-18 00:00:00,2028-03-17 00:00:00,北京市怀柔区卫生健康委员会
北京广测零贰旅店 ,92110116MA01YJEB4X,准予行政许可决定书,怀卫环许决字[2024]064号,卫生许可证,怀卫环监字[2024]第064号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-18 00:00:00,2024-03-18 00:00:00,2028-03-17 00:00:00,北京市怀柔区卫生健康委员会
北京广测零壹旅店 ,92110116MA01YJEA63,准予行政许可决定书,怀卫环许决字[2024]063号,卫生许可证,怀卫环监字[2024]第063号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-18 00:00:00,2024-03-18 00:00:00,2028-03-17 00:00:00,北京市怀柔区卫生健康委员会
北京小玉昕客栈 ,92110116MACB390J5T,准予行政许可决定书,怀卫环许决字[2024]062号,卫生许可证,怀卫环监字[2024]第062号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-18 00:00:00,2024-03-18 00:00:00,2028-03-17 00:00:00,北京市怀柔区卫生健康委员会
北京凤栖别愿民宿中心(个体工商户) ,92110116MADE8WJU0Q,准予行政许可决定书,怀卫环许决字[2024]061号,卫生许可证,怀卫环监字[2024]第061号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-18 00:00:00,2024-03-18 00:00:00,2028-03-17 00:00:00,北京市怀柔区卫生健康委员会
北京金光金刚医疗投资管理有限公司府前街诊所,91110116MA01H61H2U,准予延续/变更行政许可决定书,京怀卫放许决字[2024]013号,放射诊疗许可证,京卫放证字[2022]第1600041号,校验X射线影像诊断（不含CT）***放射诊疗许可,2024-03-15 00:00:00,2024-03-15 00:00:00,2099-12-31 00:00:00,北京市怀柔区卫生健康委员会
乔*,******************,行政许可（审批）决定书,决字（2024）第031400184号,母婴保健技术考核合格证书,03505805,产前筛查技术服务（生化免疫）,2024/3/14,2024/3/14,2027/3/13,北京市怀柔区卫生健康委员会
北京市怀柔区妇幼保健院,12110227400993515Y,行政许可（审批）决定书,决字（2024）第031600003号,母婴保健技术服务执业许可证,,助产技术服务（二级）,2024/3/16,2024/3/16,2025-10-08 00:00:00,北京市怀柔区卫生健康委员会
北京市怀柔区妇幼保健院,12110227400993515Y,行政许可（审批）决定书,决字（2024）第031600002号,母婴保健技术服务执业许可证,,放置宫内节育器术、取出宫内节育器术、孕10周以内人工流产负压吸引术（宫腔镜技术不得用于终止妊娠手术）、孕7周内药物流产术、孕10-13周钳刮术、女性绝育术、应用麻醉镇痛技术实施负压吸宫术、孕中期妊娠引产术、孕10-16周药物引产术、腹腔镜输卵管节育技术服务、宫腔镜节育技术服务。,2024/3/16,2024/3/16,2026-12-29 00:00:00,北京市怀柔区卫生健康委员会
北京市怀柔区妇幼保健院,12110227400993515Y,行政许可（审批）决定书,决字（2024）第031600001号,母婴保健技术服务执业许可证,,产前筛查技术：临床咨询、医学影像、生化免疫（实验室）,2024/3/16,2024/3/16,2024-10-28 00:00:00,北京市怀柔区卫生健康委员会
贾*媛,******************,行政许可（审批）决定书,决字（2024）第030500184号,母婴保健技术考核合格证书,03505808,产前筛查技术服务（生化免疫）,2024/3/5,2024/3/5,2027/3/4,北京市怀柔区卫生健康委员会
北京崔文献民俗餐厅 ,92110116MA010M3B76,准予行政许可决定书,怀卫环许决字[2024]051号,卫生许可证,怀卫环监字[2024]第051号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-08 00:00:00,2024-03-08 00:00:00,2028-03-07 00:00:00,北京市怀柔区卫生健康委员会
北京崔国杰民俗餐厅 ,92110116MA015WPE61,准予行政许可决定书,怀卫环许决字[2024]050号,卫生许可证,怀卫环监字[2024]第050号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-07 00:00:00,2024-03-07 00:00:00,2028-03-06 00:00:00,北京市怀柔区卫生健康委员会
北京刘立娜民俗餐厅 ,92110116MA01FGWR8M,准予行政许可决定书,怀卫环许决字[2024]049号,卫生许可证,怀卫环监字[2024]第049号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-07 00:00:00,2024-03-07 00:00:00,2028-03-06 00:00:00,北京市怀柔区卫生健康委员会
中央统战部培训中心,12100000H52630198M,准予延续/变更行政许可决定书,怀卫环许决字[2024]048号,卫生许可证,怀卫环监字[2024]第048号  ,变更公共场所住宿、歌舞厅、游泳馆卫生许可,2024-03-07 00:00:00,2024-03-07 00:00:00,2025-08-24 00:00:00,北京市怀柔区卫生健康委员会
北京孙树印餐厅 ,92110116MABYN1X22R,准予行政许可决定书,怀卫环许决字[2024]047号,卫生许可证,怀卫环监字[2024]第047号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-06 00:00:00,2024-03-06 00:00:00,2028-03-05 00:00:00,北京市怀柔区卫生健康委员会
北京三时三舍农家院餐厅 ,92110116MA015FEEX7,准予行政许可决定书,怀卫环许决字[2024]046号,卫生许可证,怀卫环监字[2024]第046号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-06 00:00:00,2024-03-06 00:00:00,2028-03-05 00:00:00,北京市怀柔区卫生健康委员会
北京今秀美发中心(个体工商户) ,92110116MADC6BYM07,准予行政许可决定书,怀卫环许决字[2024]045号,卫生许可证,怀卫环监字[2024]第045号  ,新办公共场所理发卫生许可,2024-03-06 00:00:00,2024-03-06 00:00:00,2028-03-05 00:00:00,北京市怀柔区卫生健康委员会
北京清风小憩民俗餐厅 ,92110116MA04FA4M5C,准予行政许可决定书,怀卫环许决字[2024]044号,卫生许可证,怀卫环监字[2024]第044号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-06 00:00:00,2024-03-06 00:00:00,2028-03-05 00:00:00,北京市怀柔区卫生健康委员会
北京扬名立业民宿有限公司 ,91110116MAC5XG8R9B,准予行政许可决定书,怀卫环许决字[2024]043号,卫生许可证,怀卫环监字[2024]第043号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-05 00:00:00,2024-03-05 00:00:00,2028-03-04 00:00:00,北京市怀柔区卫生健康委员会
北京市怀柔区妇幼保健院,12110227400993515Y,行政许可（审批）决定书,决字（2024）第032700001号,母婴保健技术服务执业许可证,,婚前医学检查、婚前卫生指导、婚前卫生咨询,2024/3/27,2024/3/27,2025-04-03 00:00:00,北京市怀柔区卫生健康委员会
北京蒂玛国际美容院,9111011674611520XA,准予延续/变更行政许可决定书,怀卫环许决字[2024]090号,卫生许可证,怀卫环监字[2020]第018号  ,延续公共场所理发、美容（非医疗美容）卫生许可,2024-03-28 00:00:00,2024-03-28 00:00:00,2028-03-27 00:00:00,北京市怀柔区卫生健康委员会
北京卢瑞凤农家院餐厅 ,92110116MA00F10A3Q,准予行政许可决定书,怀卫环许决字[2024]089号,卫生许可证,怀卫环监字[2024]第086号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-28 00:00:00,2024-03-28 00:00:00,2028-03-27 00:00:00,北京市怀柔区卫生健康委员会
北京农村商业银行股份有限公司怀柔支行,911101161025835263,准予延续/变更行政许可决定书,怀卫水许决字[2024]006号,卫生许可证,怀卫水监字[2024]第006号  ,变更二次供水卫生许可,2024-03-27 00:00:00,2024-03-27 00:00:00,2025-01-20 00:00:00,北京市怀柔区卫生健康委员会
北京泰吉亨通娱乐有限责任公司 ,91110116MA0021YQXG,准予行政许可决定书,怀卫环许决字[2024]088号,卫生许可证,怀卫环监字[2024]第085号  ,新办公共场所舞厅（包括卡拉OK歌厅）卫生许可,2024-03-27 00:00:00,2024-03-27 00:00:00,2028-03-26 00:00:00,北京市怀柔区卫生健康委员会
北京皓邦口腔门诊部有限责任公司 ,91110116MA7HKQQP54,准予延续/变更行政许可决定书,京怀卫放许决字[2024]016号,放射诊疗许可证,京卫放证字[2023]第1600042号,校验X射线影像诊断（不含CT）***放射诊疗许可,2024-03-26 00:00:00,2024-03-26 00:00:00,2099-12-31 00:00:00,北京市怀柔区卫生健康委员会
北京西溪街角民俗餐厅 ,92110116MACR1HUQ95,准予行政许可决定书,怀卫环许决字[2024]087号,卫生许可证,怀卫环监字[2024]第084号  ,新办公共场所理发卫生许可,2024-03-26 00:00:00,2024-03-26 00:00:00,2028-03-25 00:00:00,北京市怀柔区卫生健康委员会
北京佳缘理发店 ,92110116MA01QP5N88,准予行政许可决定书,怀卫环许决字[2024]086号,卫生许可证,怀卫环监字[2024]第083号  ,新办公共场所理发卫生许可,2024-03-26 00:00:00,2024-03-26 00:00:00,2028-03-25 00:00:00,北京市怀柔区卫生健康委员会
北京人生果实大眼萌民宿中心(个体工商户) ,92110116MADD78B10B,准予行政许可决定书,怀卫环许决字[2024]085号,卫生许可证,怀卫环监字[2024]第082号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-26 00:00:00,2024-03-26 00:00:00,2028-03-25 00:00:00,北京市怀柔区卫生健康委员会
北京觅静民宿中心(个体工商户) ,92110116MAD2FD0MX1,准予行政许可决定书,怀卫环许决字[2024]084号,卫生许可证,怀卫环监字[2024]第081号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-26 00:00:00,2024-03-26 00:00:00,2028-03-25 00:00:00,北京市怀柔区卫生健康委员会
北京荣泽恒腾农家院餐厅 ,92110116MA010XUK21,准予行政许可决定书,怀卫环许决字[2024]083号,卫生许可证,怀卫环监字[2024]第080号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-26 00:00:00,2024-03-26 00:00:00,2028-03-25 00:00:00,北京市怀柔区卫生健康委员会
北京天雅寇格美容服务有限公司 ,91110116MA00FF7R5E,准予行政许可决定书,怀卫环许决字[2024]082号,卫生许可证,怀卫环监字[2024]第079号  ,新办公共场所美容（非医疗美容）卫生许可,2024-03-26 00:00:00,2024-03-26 00:00:00,2028-03-25 00:00:00,北京市怀柔区卫生健康委员会
北京聚友之家民俗餐厅 ,92110116MA01J9N88N,准予行政许可决定书,怀卫环许决字[2024]081号,卫生许可证,怀卫环监字[2024]第078号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-03-26 00:00:00,2024-03-26 00:00:00,2028-03-25 00:00:00,北京市怀柔区卫生健康委员会
北京聚友旅社 ,92110116MA00NNX99W,行政许可注销决定书,怀卫环许销字[2024]006号,卫生许可证,怀卫环监字[2023]第147号  ,注销公共场所住宿卫生许可,2024-03-25 00:00:00,2024-03-25 00:00:00,2099-12-31 00:00:00,北京市怀柔区卫生健康委员会
北京怀柔凡空空碧诗美容店(个人独资) ,91110116MADDXBX02R,准予行政许可决定书,怀卫环许决字[2024]080号,卫生许可证,怀卫环监字[2024]第077号  ,新办公共场所美容（非医疗美容）卫生许可,2024-03-25 00:00:00,2024-03-25 00:00:00,2028-03-24 00:00:00,北京市怀柔区卫生健康委员会
北京指尖佳缘美容中心 ,92110116MABQ6HU276,准予延续/变更行政许可决定书,怀卫环许决字[2024]079号,卫生许可证,怀卫环监字[2024]第076号  ,变更公共场所美容（非医疗美容）卫生许可,2024-03-25 00:00:00,2024-03-25 00:00:00,2027-05-16 00:00:00,北京市怀柔区卫生健康委员会
北京聚友旅社 ,92110116MA00NNX99W,准予行政许可决定书,怀卫环许决字[2024]078号,卫生许可证,怀卫环监字[2024]第075号  ,新办公共场所理发卫生许可,2024-03-25 00:00:00,2024-03-25 00:00:00,2028-03-24 00:00:00,北京市怀柔区卫生健康委员会
北京市怀柔县俊凤理发店,92110116MA00KGKL9W,准予延续/变更行政许可决定书,怀卫环许决字[2024]077号,卫生许可证,怀卫环监字[2020]第026号  ,延续公共场所理发卫生许可,2024-03-25 00:00:00,2024-03-25 00:00:00,2028-03-24 00:00:00,北京市怀柔区卫生健康委员会
北京甜甜美美农家院餐厅,92110116MA011PHE4M,准予行政许可决定书,怀卫环许决字[2024]111号,卫生许可证,怀卫环监字[2024]第106号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-04-15 00:00:00,2024-04-15 00:00:00,2028-04-11 00:00:00,北京市怀柔区卫生健康委员会
北京盈科世纪物业管理有限公司,91110116MA018J2J1G,准予延续/变更行政许可决定书,怀卫水许决字[2024]009号,卫生许可证,怀卫水监字[2024]第009号  ,变更自备水源供水卫生许可,2024-04-15 00:00:00,2024-04-15 00:00:00,2026-03-22 00:00:00,北京市怀柔区卫生健康委员会
北京盈科世纪物业管理有限公司,91110116MA018J2J1G,准予延续/变更行政许可决定书,怀卫水许决字[2024]010号,卫生许可证,怀卫水监字[2024]第010号  ,变更自备水源供水卫生许可,2024-04-15 00:00:00,2024-04-15 00:00:00,2026-03-22 00:00:00,北京市怀柔区卫生健康委员会
北京润曼曼美容有限公司 ,91110116MADGD1AQ5K,准予行政许可决定书,怀卫环许决字[2024]112号,卫生许可证,怀卫环监字[2024]第107号  ,新办公共场所美容（非医疗美容）卫生许可,2024-04-16 00:00:00,2024-04-16 00:00:00,2028-04-15 00:00:00,北京市怀柔区卫生健康委员会
北京顺安鑫达商贸中心 ,92110116MA00K85C88,准予行政许可决定书,怀卫环许决字[2024]113号,卫生许可证,怀卫环监字[2024]第108号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-04-17 00:00:00,2024-04-17 00:00:00,2028-04-16 00:00:00,北京市怀柔区卫生健康委员会
北京环山农家院餐厅 ,92110116MA016PMJ47,准予行政许可决定书,怀卫环许决字[2024]114号,卫生许可证,怀卫环监字[2024]第109号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-04-18 00:00:00,2024-04-18 00:00:00,2028-04-17 00:00:00,北京市怀柔区卫生健康委员会
北京大星发商贸有限公司兴怀大街超市,911101166723863135,准予延续/变更行政许可决定书,怀卫环许决字[2024]115号,卫生许可证,怀卫环监字[2020]第029号  ,延续公共场所商场卫生许可,2024-04-18 00:00:00,2024-04-18 00:00:00,2028-04-17 00:00:00,北京市怀柔区卫生健康委员会
北京大星发商贸有限公司第二十八自选超市,911101165858369968,准予延续/变更行政许可决定书,怀卫环许决字[2024]116号,卫生许可证,怀卫环监字[2020]第030号  ,延续公共场所商场卫生许可,2024-04-18 00:00:00,2024-04-18 00:00:00,2028-04-17 00:00:00,北京市怀柔区卫生健康委员会
北京大星发商贸有限公司第十八自选超市 ,91110116765026640M,准予延续/变更行政许可决定书,怀卫环许决字[2024]117号,卫生许可证,怀卫环监字[2020]第038号  ,延续公共场所商场卫生许可,2024-04-18 00:00:00,2024-04-18 00:00:00,2028-04-17 00:00:00,北京市怀柔区卫生健康委员会
北京西三民宿有限公司,92110116MA04CLDN4E,准予延续/变更行政许可决定书,怀卫环许决字[2024]118号,卫生许可证,怀卫环监字[2024]第110号  ,变更公共场所住宿（乡村民宿）卫生许可,2024-04-18 00:00:00,2024-04-18 00:00:00,2026-01-28 00:00:00,北京市怀柔区卫生健康委员会
北京市怀柔县春晓美发屋,92110116MA00QHNK5E,准予延续/变更行政许可决定书,怀卫环许决字[2024]119号,卫生许可证,怀卫环监字[2020]第035号  ,延续公共场所理发卫生许可,2024-04-19 00:00:00,2024-04-19 00:00:00,2028-04-18 00:00:00,北京市怀柔区卫生健康委员会
北京市律师协会秘书处,12110000MB1H97196L,准予延续/变更行政许可决定书,怀卫水许决字[2024]008号,卫生许可证,怀卫水监字[2024]第008号  ,变更自备水源供水卫生许可,2024-04-07 00:00:00,2024-04-07 00:00:00,2025-09-02 00:00:00,北京市怀柔区卫生健康委员会
北京富乐秋美商贸中心 ,92110116MA014LE06X,准予行政许可决定书,怀卫环许决字[2024]102号,卫生许可证,怀卫环监字[2024]第098号  ,新办公共场所理发卫生许可,2024-04-07 00:00:00,2024-04-07 00:00:00,2028-04-06 00:00:00,北京市怀柔区卫生健康委员会
北京旺子成农家院旅店 ,92110116MA00E0HK5R,准予行政许可决定书,怀卫环许决字[2024]101号,卫生许可证,怀卫环监字[2024]第097号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-04-07 00:00:00,2024-04-07 00:00:00,2028-04-06 00:00:00,北京市怀柔区卫生健康委员会
北京市律师协会秘书处,12110000MB1H97196L,准予延续/变更行政许可决定书,怀卫环许决字[2024]100号,卫生许可证,怀卫环监字[2024]第096号  ,变更公共场所住宿卫生许可,2024-04-07 00:00:00,2024-04-07 00:00:00,2026-06-19 00:00:00,北京市怀柔区卫生健康委员会
北京俏仪美芳健康管理有限公司 ,91110116MA006KTF1T,准予行政许可决定书,怀卫环许决字[2024]099号,卫生许可证,怀卫环监字[2024]第095号  ,新办公共场所美容（非医疗美容）卫生许可,2024-04-07 00:00:00,2024-04-07 00:00:00,2028-04-06 00:00:00,北京市怀柔区卫生健康委员会
中国科学院国家天文台,12100000400012094Q,准予延续/变更行政许可决定书,怀卫水许决字[2024]007号,卫生许可证,怀卫水监字[2024]第007号  ,变更二次供水卫生许可,2024-04-03 00:00:00,2024-04-03 00:00:00,2027-03-19 00:00:00,北京市怀柔区卫生健康委员会
北京李玉才民俗餐厅,92110116MA00EU8M6Y,准予行政许可决定书,怀卫环许决字[2024]098号,卫生许可证,怀卫环监字[2024]第094号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-04-02 00:00:00,2024/4/2,2028/4/1,北京市怀柔区卫生健康委员会
北京青苹草舍农家院餐厅 ,92110116MA00FQ4Y3A,准予行政许可决定书,怀卫环许决字[2024]097号,卫生许可证,怀卫环监字[2024]第093号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-04-01 00:00:00,2024-04-01 00:00:00,2028-03-31 00:00:00,北京市怀柔区卫生健康委员会
北京雁栖湖酒店运营管理有限公司,91110116MA04H2316X,准予延续/变更行政许可决定书,怀卫环许决字[2024]096号,卫生许可证,怀卫环监字[2024]第092号  ,变更公共场所住宿（乡村民宿）卫生许可,2024-04-01 00:00:00,2024-04-01 00:00:00,2026-11-14 00:00:00,北京市怀柔区卫生健康委员会
北京雁栖湖酒店运营管理有限公司,91110116MA04H2316X,准予延续/变更行政许可决定书,怀卫环许决字[2024]095号,卫生许可证,怀卫环监字[2024]第091号  ,变更公共场所住宿（乡村民宿）卫生许可,2024-04-01 00:00:00,2024-04-01 00:00:00,2027-05-25 00:00:00,北京市怀柔区卫生健康委员会
北京雁栖湖酒店运营管理有限公司,91110116MA04H2316X,准予延续/变更行政许可决定书,怀卫环许决字[2024]094号,卫生许可证,怀卫环监字[2024]第090号  ,变更公共场所住宿（乡村民宿）卫生许可,2024-04-01 00:00:00,2024-04-01 00:00:00,2027-05-25 00:00:00,北京市怀柔区卫生健康委员会
北京雁栖湖酒店运营管理有限公司,91110116MA04H2316X,准予延续/变更行政许可决定书,怀卫环许决字[2024]093号,卫生许可证,怀卫环监字[2024]第089号  ,变更公共场所住宿（乡村民宿）卫生许可,2024-04-01 00:00:00,2024-04-01 00:00:00,2027-05-25 00:00:00,北京市怀柔区卫生健康委员会
北京雁栖湖酒店运营管理有限公司,91110116MA04H2316X,准予延续/变更行政许可决定书,怀卫环许决字[2024]092号,卫生许可证,怀卫环监字[2024]第088号  ,变更公共场所住宿（乡村民宿）卫生许可,2024-04-01 00:00:00,2024-04-01 00:00:00,2026-11-14 00:00:00,北京市怀柔区卫生健康委员会
北京市律师协会秘书处,12110000MB1H97196L,准予延续/变更行政许可决定书,怀卫水许决字[2024]008号,卫生许可证,怀卫水监字[2024]第008号  ,变更自备水源供水卫生许可,2024-04-07 00:00:00,2024-04-07 00:00:00,2025-09-02 00:00:00,北京市怀柔区卫生健康委员会
北京富乐秋美商贸中心 ,92110116MA014LE06X,准予行政许可决定书,怀卫环许决字[2024]102号,卫生许可证,怀卫环监字[2024]第098号  ,新办公共场所理发卫生许可,2024-04-07 00:00:00,2024-04-07 00:00:00,2028-04-06 00:00:00,北京市怀柔区卫生健康委员会
北京旺子成农家院旅店 ,92110116MA00E0HK5R,准予行政许可决定书,怀卫环许决字[2024]101号,卫生许可证,怀卫环监字[2024]第097号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-04-07 00:00:00,2024-04-07 00:00:00,2028-04-06 00:00:00,北京市怀柔区卫生健康委员会
北京市律师协会秘书处,12110000MB1H97196L,准予延续/变更行政许可决定书,怀卫环许决字[2024]100号,卫生许可证,怀卫环监字[2024]第096号  ,变更公共场所住宿卫生许可,2024-04-07 00:00:00,2024-04-07 00:00:00,2026-06-19 00:00:00,北京市怀柔区卫生健康委员会
北京俏仪美芳健康管理有限公司 ,91110116MA006KTF1T,准予行政许可决定书,怀卫环许决字[2024]099号,卫生许可证,怀卫环监字[2024]第095号  ,新办公共场所美容（非医疗美容）卫生许可,2024-04-07 00:00:00,2024-04-07 00:00:00,2028-04-06 00:00:00,北京市怀柔区卫生健康委员会
中国科学院国家天文台,12100000400012094Q,准予延续/变更行政许可决定书,怀卫水许决字[2024]007号,卫生许可证,怀卫水监字[2024]第007号  ,变更二次供水卫生许可,2024-04-03 00:00:00,2024-04-03 00:00:00,2027-03-19 00:00:00,北京市怀柔区卫生健康委员会
北京李玉才民俗餐厅,92110116MA00EU8M6Y,准予行政许可决定书,怀卫环许决字[2024]098号,卫生许可证,怀卫环监字[2024]第094号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-04-02 00:00:00,2024/4/2,2028/4/1,北京市怀柔区卫生健康委员会
北京青苹草舍农家院餐厅 ,92110116MA00FQ4Y3A,准予行政许可决定书,怀卫环许决字[2024]097号,卫生许可证,怀卫环监字[2024]第093号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-04-01 00:00:00,2024-04-01 00:00:00,2028-03-31 00:00:00,北京市怀柔区卫生健康委员会
北京雁栖湖酒店运营管理有限公司,91110116MA04H2316X,准予延续/变更行政许可决定书,怀卫环许决字[2024]096号,卫生许可证,怀卫环监字[2024]第092号  ,变更公共场所住宿（乡村民宿）卫生许可,2024-04-01 00:00:00,2024-04-01 00:00:00,2026-11-14 00:00:00,北京市怀柔区卫生健康委员会
北京雁栖湖酒店运营管理有限公司,91110116MA04H2316X,准予延续/变更行政许可决定书,怀卫环许决字[2024]095号,卫生许可证,怀卫环监字[2024]第091号  ,变更公共场所住宿（乡村民宿）卫生许可,2024-04-01 00:00:00,2024-04-01 00:00:00,2027-05-25 00:00:00,北京市怀柔区卫生健康委员会
北京雁栖湖酒店运营管理有限公司,91110116MA04H2316X,准予延续/变更行政许可决定书,怀卫环许决字[2024]094号,卫生许可证,怀卫环监字[2024]第090号  ,变更公共场所住宿（乡村民宿）卫生许可,2024-04-01 00:00:00,2024-04-01 00:00:00,2027-05-25 00:00:00,北京市怀柔区卫生健康委员会
北京雁栖湖酒店运营管理有限公司,91110116MA04H2316X,准予延续/变更行政许可决定书,怀卫环许决字[2024]093号,卫生许可证,怀卫环监字[2024]第089号  ,变更公共场所住宿（乡村民宿）卫生许可,2024-04-01 00:00:00,2024-04-01 00:00:00,2027-05-25 00:00:00,北京市怀柔区卫生健康委员会
北京雁栖湖酒店运营管理有限公司,91110116MA04H2316X,准予延续/变更行政许可决定书,怀卫环许决字[2024]092号,卫生许可证,怀卫环监字[2024]第088号  ,变更公共场所住宿（乡村民宿）卫生许可,2024-04-01 00:00:00,2024-04-01 00:00:00,2026-11-14 00:00:00,北京市怀柔区卫生健康委员会
北京杰宇商贸有限公司 ,92110116MA00EUXN3X,准予行政许可决定书,怀卫环许决字[2024]103号,卫生许可证,怀卫环监字[2024]第099号  ,新办公共场所理发卫生许可,2024-04-08 00:00:00,2024-04-08 00:00:00,2028-04-07 00:00:00,北京市怀柔区卫生健康委员会
北京红螺钟磬山庄有限公司,911101167002653681,准予延续/变更行政许可决定书,怀卫环许决字[2024]104号,卫生许可证,怀卫环监字[2024]第100号  ,变更公共场所住宿、洗浴、歌舞厅、美容（非医疗美容）、理发、游泳馆卫生许可,2024-04-08 00:00:00,2024-04-08 00:00:00,2027-03-12 00:00:00,北京市怀柔区卫生健康委员会
北京八方来理发店,92110116MA00RHNN59,准予延续/变更行政许可决定书,怀卫环许决字[2024]105号,卫生许可证,怀卫环监字[2020]第039号  ,延续公共场所理发卫生许可,2024-04-09 00:00:00,2024-04-09 00:00:00,2028-04-08 00:00:00,北京市怀柔区卫生健康委员会
北京米涞发型工作室(个体工商户) ,92110116MADDH2YP13,准予行政许可决定书,怀卫环许决字[2024]106号,卫生许可证,怀卫环监字[2024]第101号  ,新办公共场所理发卫生许可,2024-04-09 00:00:00,2024-04-09 00:00:00,2028-04-08 00:00:00,北京市怀柔区卫生健康委员会
北京尊利来生物科技有限公司 ,91110116MADEN8246P,准予行政许可决定书,怀卫环许决字[2024]107号,卫生许可证,怀卫环监字[2024]第102号  ,新办公共场所理发、美容（非医疗美容）卫生许可,2024-04-10 00:00:00,2024-04-10 00:00:00,2028-04-09 00:00:00,北京市怀柔区卫生健康委员会
北京西隅谷隐民宿中心(个体工商户) ,92110116MADC31W39M,准予行政许可决定书,怀卫环许决字[2024]108号,卫生许可证,怀卫环监字[2024]第103号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-04-10 00:00:00,2024-04-10 00:00:00,2028-04-09 00:00:00,北京市怀柔区卫生健康委员会
北京小城民俗餐厅(个体工商户) ,92110116MAD4GQ2U05,准予行政许可决定书,怀卫环许决字[2024]109号,卫生许可证,怀卫环监字[2024]第104号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-04-11 00:00:00,2024-04-11 00:00:00,2028-04-10 00:00:00,北京市怀柔区卫生健康委员会
北京寻岸文化传媒有限公司,91110116MA009XUN5K,准予行政许可决定书,怀卫环许决字[2024]110号,卫生许可证,怀卫环监字[2024]第105号  ,新办公共场所书店卫生许可,2024-04-12 00:00:00,2024-04-12 00:00:00,2028-04-11 00:00:00,北京市怀柔区卫生健康委员会
北京甜甜美美农家院餐厅,92110116MA011PHE4M,准予行政许可决定书,怀卫环许决字[2024]111号,卫生许可证,怀卫环监字[2024]第106号  ,新办公共场所住宿（乡村民宿）卫生许可,2024-04-15 00:00:00,2024-04-15 00:00:00,2028-04-11 00:00:00,北京市怀柔区卫生健康委员会
北京盈科世纪物业管理有限公司,91110116MA018J2J1G,准予延续/变更行政许可决定书,怀卫水许决字[2024]009号,卫生许可证,怀卫水监字[2024]第009号  ,变更自备水源供水卫生许可,2024-04-15 00:00:00,2024-04-15 00:00:00,2026-03-22 00:00:00,北京市怀柔区卫生健康委员会
北京盈科世纪物业管理有限公司,91110116MA018J2J1G,准予延续/变更行政许可决定书,怀卫水许决字[2024]010号,卫生许可证,怀卫水监字[2024]第010号  ,变更自备水源供水卫生许可,2024-04-15 00:00:00,2024-04-15 00:00:00,2026-03-22 00:00:00,北京市怀柔区卫生健康委员会
北京润曼曼美容有限公司 ,91110116MADGD1AQ5K,准予行政许可决定书,怀卫环许决字[2024]112号,卫生许可证,怀卫环监字[2024]第107号  ,新办公共场所美容（非医疗美容）卫生许可,2024-04-16 00:00:00,2024-04-16 00:00:00,2028-04-15 00:00:00,北京市怀柔区卫生健康委员会
