获奖年度,获奖奖种,获奖编号,获奖项目名称,项目完成单位
2023,科学技术进步奖,2023-J02-2-10-R06,面向业务安全的动态身份检测、识别及行为风险评估关键技术及应用,智绪龙
2023,科学技术进步奖,2023-J02-2-02-R10,面向双碳优化的高效能数据中心关键技术研究与应用,钱声攀
2023,科学技术进步奖,2023-J06-2-05-D02,心血管计算机断层扫描与磁共振成像关键技术的创新与应用,
2023,科学技术进步奖,2023-J06-2-13-R07,儿童急性髓细胞白血病诊疗新策略的建立和推广应用,熊　昊
2023,科学技术进步奖,2023-J02-1-01-R15,北斗全球系统试验卫星在轨验证关键技术及应用,王从瑾
2023,科学技术进步奖,2023-J10-2-06-R04,特大城市地下管线智能探查与健康监测关键技术及应用,乐松山
2023,技术发明奖,2023-F06-1-01-R05,电子束辐照处理废水的关键技术、装备及应用,阴亚楠
2023,自然科学奖,2023-Z05-1-02-R08,气溶胶传播呼吸系统感染疾病的研究,张　璐
2023,科学技术进步奖,2023-J13-2-02-R06,拯救心脏：多维度立体化大众心脏健康科普体系的构建与应用,侯　昌
2023,科学技术进步奖,2023-J02-2-14-R04,高速铁路复杂环境异常事件多模态全域感知关键技术研究及应用,杨天骄
2023,自然科学奖,2023-Z01-2-04-R03,小行星表面复杂颗粒系统的力学特性及接触探测机理研究,程　彬
2023,科学技术进步奖,2023-J02-2-08-R09,面向数据要素价值化的数据融通平台与应用,袁　野
2023,科学技术进步奖,2023-J04-1-02-D04,锂电固废绿色低碳短程循环利用技术与应用,
2023,科学技术进步奖,2023-J06-2-11-R01,心肌纤维化在体无创影像评价体系的建立与应用,赵世华
2023,自然科学奖,2023-Z03-2-01-R09,面向应用的高分子结晶机理与性能调控研究,刘力源
2023,技术发明奖,2023-F05-1-01-R12,骨盆骨折微创治疗关键技术装置的发明与应用,常祖豪
2023,科学技术进步奖,2023-J09-2-08-R05,轨道交通大功率牵引变流器高性能控制关键技术及应用,张　林
2023,科学技术进步奖,2023-J02-2-10-D02,面向业务安全的动态身份检测、识别及行为风险评估关键技术及应用,
2023,科学技术进步奖,2023-J02-2-03-R02,基于安全大模型的高级持续性威胁防御效能评估技术及应用,王继龙
2023,科学技术进步奖,2023-J02-1-05-D02,航天复杂安全攸关嵌入式控制软件开发关键技术与应用,
2023,科学技术进步奖,2023-J02-2-08-R06,面向数据要素价值化的数据融通平台与应用,金福生
2023,技术发明奖,2023-F02-1-01-R09,三床多分级多流程多燃料循环流化床清洁高效燃烧技术及应用,杨　雷
2023,科学技术进步奖,2023-J06-2-10-R10,综合征性脊柱侧凸诊疗体系的建立及推广应用,陈　峰
2023,技术发明奖,2023-F03-1-01-D01,大型复杂构件高效高质量制造关键技术及装备,
2023,科学技术进步奖,2023-J02-2-09-D01,面向工业互联网云边协同场景的攻击面智能感知技术及应用,
2023,科学技术进步奖,2023-J05-2-05-R07,重点场所人员安全监管微剂量智能探测技术及应用,唐　乐
2023,自然科学奖,2023-Z05-2-11-R02,致密储层毛细渗吸机理理论表征与物理模拟,郁伯铭
2023,科学技术进步奖,2023-J01-1-02-R12,低成本Q/V/Ka频段低轨宽带通信卫星批量研制及应用,王长安
2023,科学技术进步奖,2023-J04-1-01-D03,风云三号黎明星工程研制与应用,
2023,科学技术进步奖,2023-J10-2-04-D03,降低洁净空调所需能量品位和风量的理论与关键技术及其应用,
2023,科学技术进步奖,2023-J02-2-08-R07,面向数据要素价值化的数据融通平台与应用,陈　劲
2023,科学技术进步奖,2023-J09-1-01-R10,大型粒子加速器多频段高性能超导腔系统自主创新研发及工程应用,王群要
2023,科学技术进步奖,2023-J04-2-08-D07,复杂地层油基钻完井液技术及工业化应用,
2023,科学技术进步奖,2023-J03-2-01-R07,微弱信号探测用高性能光纤倒像器制备关键技术及应用,张　敬
2023,科学技术进步奖,2023-J06-2-01-R08,国民营养改善重大干预技术与应用,何宇纳
2023,科学技术进步奖,2023-J09-2-02-D04,电力物联网数字化感知关键技术、系列装置及规模化应用,
2023,科学技术进步奖,2023-J06-2-02-R05,踝关节运动损伤诊疗新技术及其应用研究,史尉利
2023,技术发明奖,2023-F02-2-03-D06,新型电力系统源网荷储协同规划与全景运行模拟关键技术与应用,
2023,自然科学奖,2023-Z05-2-12-R10,机械装备运动部件强化修复涂层设计、成形理论与长效安全服役,陈书赢
2023,科学技术进步奖,2023-J03-2-02-R06,超低温容器用钢全流程制造关键技术开发及创新,王全礼
2023,技术发明奖,2023-F06-1-01-R12,电子束辐照处理废水的关键技术、装备及应用,谭国庆
2023,科学技术进步奖,2023-J06-2-11-R05,心肌纤维化在体无创影像评价体系的建立与应用,杨　凯
2023,科学技术进步奖,2023-J03-2-01-D01,微弱信号探测用高性能光纤倒像器制备关键技术及应用,
2023,科学技术进步奖,2023-J02-2-05-D05,面向多领域基础设施的智能运维系统研发与产业化,
2023,科学技术进步奖,2023-J11-2-02-R05,城市多模式交通运行状态实时预测与智能管理关键技术及应用,席　谦
2023,科学技术进步奖,2023-J01-1-02-D05,低成本Q/V/Ka频段低轨宽带通信卫星批量研制及应用,
2023,科学技术进步奖,2023-J01-2-03-R01,全球地磁矢量场探测关键技术开发及应用,周　斌
2023,自然科学奖,2023-Z01-2-01-R03,皮秒级高精度时间频率同步及科学应用,高　超
2023,科学技术进步奖,2023-J09-2-02-D07,电力物联网数字化感知关键技术、系列装置及规模化应用,
2023,科学技术进步奖,2023-J05-2-06-R04,地质-化学-工程协同提高低渗/非常规油气采收率技术及规模应用,朱广社
2023,技术发明奖,2023-F06-2-03-R05,非洲猪瘟等动物疫病“产供环”一体化检测监测技术研发与应用,冯春燕
2023,科学技术进步奖,2023-J06-2-13-D03,儿童急性髓细胞白血病诊疗新策略的建立和推广应用,
2023,科学技术进步奖,2023-J04-1-03-R09,低维护-短流程膜法水处理技术与应用,王　敏
2023,科学技术进步奖,2023-J09-2-11-R06,大容量长柔叶片弯扭耦合技术开发与应用,武广兴
2023,科学技术进步奖,2023-J04-2-03-R03,大型文化遗产多维动态信息留取表达与活化利用,李爱群
2023,自然科学奖,2023-Z02-1-03-R05,自旋存储芯片及器件基础研究,王昭昊
2023,科学技术进步奖,2023-J06-1-03-R12,急性主动脉综合征精准诊断及临床疗效提升技术创新与推广,武玉多
2023,技术发明奖,2023-F01-2-03-D04,高精度原子稳频法拉第半导体激光器开发及应用,
2023,科学技术进步奖,2023-J05-2-05-R06,重点场所人员安全监管微剂量智能探测技术及应用,张　丽
2023,自然科学奖,2023-Z01-1-02-D01,狄拉克材料的载流子输运调控及新原理器件效应研究,
2023,科学技术进步奖,2023-J12-1-02-D04,华西牛新品种培育与联合育种创新应用,
2023,科学技术进步奖,2023-J06-2-11-R08,心肌纤维化在体无创影像评价体系的建立与应用,李静惠
2023,自然科学奖,2023-Z03-1-01-R04,纳米三维导电网络的设计原理与电化学储能效应研究,万立骏
2023,自然科学奖,2023-Z05-1-01-R08,绝缘气固界面电荷动态演化机理及调控理论,张贵新
2023,科学技术进步奖,2023-J03-2-01-R10,微弱信号探测用高性能光纤倒像器制备关键技术及应用,王　云
2023,科学技术进步奖,2023-J12-1-01-D02,农产品危害因子靶向识别材料库构建和速测关键技术开发及应用,
2023,科学技术进步奖,2023-J02-1-05-R12,航天复杂安全攸关嵌入式控制软件开发关键技术与应用,李振松
2023,科学技术进步奖,2023-J04-1-01-D07,风云三号黎明星工程研制与应用,
2023,科学技术进步奖,2023-J05-1-02-D05,航天大型复杂构件精准成形关键技术与装备开发及应用,
2023,科学技术进步奖,2023-J09-2-03-D02,互联大电网在线混合仿真与智能态势评估关键技术及应用,
2023,自然科学奖,2023-Z05-2-02-R02,生态环境曲面智能计算方法,赵　娜
2023,自然科学奖,2023-Z02-2-08-R01,结构化多进制纠错编译码理论与方法,黄　勤
2023,科学技术进步奖,2023-J03-2-03-R01,车用高性能燃料电池关键材料、技术及应用,王　诚
2023,技术发明奖,2023-F03-2-01-R09,非常规油气井高效开采全可溶工具成套技术及产业化应用,席君杰
2023,科学技术进步奖,2023-J11-2-02-D02,城市多模式交通运行状态实时预测与智能管理关键技术及应用,
2023,科学技术进步奖,2023-J02-2-07-R06,基于数据科学的管理决策关键技术及应用,高体伟
2023,科学技术进步奖,2023-J10-1-01-R15,国家速滑馆（冰丝带）绿色建造关键技术研究与应用,李燕敏
2023,科学技术进步奖,2023-J06-2-09-R07,基于重症医学质量控制的脓毒症救治关键技术与体系的建立与应用,丁　欣
2023,自然科学奖,2023-Z01-2-02-R09,生物机械表界面润滑机理与调控,王　华
2023,科学技术进步奖,2023-J06-2-06-R01,肩关节外科疾病诊疗创新技术的建立与推广应用,姜春岩
2023,科学技术进步奖,2023-J04-1-02-D05,锂电固废绿色低碳短程循环利用技术与应用,
2023,自然科学奖,2023-Z05-2-08-D02,北京及周边地区大气颗粒物演化特征及重污染成因研究,
2023,自然科学奖,2023-Z01-2-03-R04,极端变形问题的自适应物质点有限元法理论与算法,刘　岩
2023,技术发明奖,2023-F03-2-01-R06,非常规油气井高效开采全可溶工具成套技术及产业化应用,朱正喜
2023,科学技术进步奖,2023-J06-2-05-D05,心血管计算机断层扫描与磁共振成像关键技术的创新与应用,
2023,科学技术进步奖,2023-J02-1-01-R01,北斗全球系统试验卫星在轨验证关键技术及应用,卢　鋆
2023,科学技术进步奖,2023-J12-2-02-D04,设施蔬菜绿色高效精准生产关键技术装备研发与应用,
2023,科学技术进步奖,2023-J06-1-03-R05,急性主动脉综合征精准诊断及临床疗效提升技术创新与推广,兰　峰
2023,技术发明奖,2023-F03-2-04-R03,环境友好一步法制环氧丙烷关键技术及产业化,朱　斌
2023,科学技术进步奖,2023-J02-2-04-R08,激光雷达与视觉融合的智能感知技术在输配电线路巡检中的规模化应用,赵留学
2023,技术发明奖,2023-F03-2-01-R04,非常规油气井高效开采全可溶工具成套技术及产业化应用,李玉军
2023,自然科学奖,2023-Z05-2-11-R07,致密储层毛细渗吸机理理论表征与物理模拟,李曹雄
2023,科学技术进步奖,2023-J09-2-04-R06,陆相淡水湖盆致密油页岩油地质理论和评价技术与重大应用,冯胜斌
2023,科学技术进步奖,2023-J06-1-01-R01,重要传染病病原检测新技术和致病机制研究的产学研用转化体系建设,杨瑞馥
2023,科学技术进步奖,2023-J01-2-03-R04,全球地磁矢量场探测关键技术开发及应用,张艺腾
2023,科学技术进步奖,2023-J06-1-02-R02,髋关节发育不良诊疗关键技术的建立与应用推广,蒋　青
2023,科学技术进步奖,2023-J09-2-06-D03,支撑系统惯量/电压的大型风电场机-场协同控制技术及应用,
2023,技术发明奖,2023-F02-2-02-R07,高温超导磁体多物理场设计方法、关键技术及其应用,朱佳敏
2023,科学技术进步奖,2023-J05-2-08-R01,应急现场协同感知与融合推演关键技术及应用,朱　伟
2023,科学技术进步奖,2023-J01-1-02-R06,低成本Q/V/Ka频段低轨宽带通信卫星批量研制及应用,李　伟
2023,科学技术进步奖,2023-J02-2-09-D06,面向工业互联网云边协同场景的攻击面智能感知技术及应用,
2023,技术发明奖,2023-F03-2-02-D04,超磁致伸缩旋转超声加工系统设计理论与方法,
2023,科学技术进步奖,2023-J01-1-03-R05,轻型甚高分辨率多用途智能相机技术及空间应用,孙　欣
2023,科学技术进步奖,2023-J09-2-10-D03,支撑电网调峰的规模化电动汽车智慧聚合与调控关键技术及应用,
2023,自然科学奖,2023-Z02-2-06-R02,面向服务的网络计算存储融合机理与调控方法,谢人超
2023,自然科学奖,2023-Z04-1-02-R03,神经干细胞多样性和人脑系统性发育机制研究,钟穗娟
2023,科学技术进步奖,2023-J05-2-01-R08,面向智能制造即时配送机器人运营及调度关键技术研究及产业化,李康宇
2023,科学技术进步奖,2023-J01-1-01-D03,多体制卫星遥感数据智能解译关键技术与重大应用,
2023,自然科学奖,2023-Z01-2-05-R02,复合材料与超材料中的偏微分方程理论与谱理论研究,刘宏宇
2023,科学技术进步奖,2023-J08-2-03-R03,“生熟异治”中药饮片炮制及质量评价关键技术研究与应用,何　轶
2023,科学技术进步奖,2023-J02-2-09-D03,面向工业互联网云边协同场景的攻击面智能感知技术及应用,
2023,自然科学奖,2023-Z05-2-02-R01,生态环境曲面智能计算方法,岳天祥
2023,自然科学奖,2023-Z05-2-11-R05,致密储层毛细渗吸机理理论表征与物理模拟,宋考平
2023,自然科学奖,2023-Z05-1-01-R06,绝缘气固界面电荷动态演化机理及调控理论,屠幼萍
2023,自然科学奖,2023-Z05-2-12-R09,机械装备运动部件强化修复涂层设计、成形理论与长效安全服役,朴钟宇
2023,自然科学奖,2023-Z01-2-05-D03,复合材料与超材料中的偏微分方程理论与谱理论研究,
2023,科学技术进步奖,2023-J11-1-01-R13,车辆底盘线控关键技术及产业化应用,栾众楷
2023,科学技术进步奖,2023-J09-1-04-R08,主动配电网能量管理与集群控制系统、装备及其应用,杨银国
2023,科学技术进步奖,2023-J04-1-02-D01,锂电固废绿色低碳短程循环利用技术与应用,
2023,科学技术进步奖,2023-J10-2-04-R10,降低洁净空调所需能量品位和风量的理论与关键技术及其应用,李　彦
2023,科学技术进步奖,2023-J06-2-01-R10,国民营养改善重大干预技术与应用,王志宏
2023,自然科学奖,2023-Z03-2-06-D01,气体水合物形成的热/动力学机理模型与过程调控方法,
2023,科学技术进步奖,2023-J02-1-04-R12,移动终端影像系统关键技术与应用,顾　伟
2023,科学技术进步奖,2023-J02-1-02-R07,大规模异质知识计算关键技术及应用,刘英杰
2023,技术发明奖,2023-F03-2-01-D06,非常规油气井高效开采全可溶工具成套技术及产业化应用,
2023,科学技术进步奖,2023-J11-1-01-R04,车辆底盘线控关键技术及产业化应用,陶　喆
2023,技术发明奖,2023-F03-2-04-D02,环境友好一步法制环氧丙烷关键技术及产业化,
2023,科学技术进步奖,2023-J05-2-07-R04,高性能数控机床广义可靠性关键技术研究及应用,闫　俊
2023,科学技术进步奖,2023-J10-1-01-D10,国家速滑馆（冰丝带）绿色建造关键技术研究与应用,
2023,科学技术进步奖,2023-J09-2-10-R02,支撑电网调峰的规模化电动汽车智慧聚合与调控关键技术及应用,杨　烨
2023,科学技术进步奖,2023-J01-2-05-R05,面向智能终端的新型柔性折叠关键技术研发及应用,翁飞军
2023,技术发明奖,2023-F01-1-01-R07,虚-实融合瞬态干涉复杂表面精密测量技术及应用,黄　勇
2023,科学技术进步奖,2023-J09-1-04-D05,主动配电网能量管理与集群控制系统、装备及其应用,
2023,科学技术进步奖,2023-J06-2-02-R06,踝关节运动损伤诊疗新技术及其应用研究,皮彦斌
2023,科学技术进步奖,2023-J12-2-03-R07,抗旱节水杨树新品种定向创制与示范应用,徐振华
2023,自然科学奖,2023-Z02-2-02-D01,高性能计算多层次不连续非线性可扩展理论研究,
2023,自然科学奖,2023-Z01-2-01-D01,皮秒级高精度时间频率同步及科学应用,
2023,科学技术进步奖,2023-J03-2-03-R04,车用高性能燃料电池关键材料、技术及应用,高帷韬
2023,科学技术进步奖,2023-J01-2-06-R03,能源电力物联自主可控关键技术、成套装备及推广应用,李德建
2023,技术发明奖,2023-F02-2-04-R03,超深层各向异性介质全波形反演与地震成像方法及软件,姜大建
2023,科学技术进步奖,2023-J04-2-04-D02,城市水体返黑返臭精准诊断与多界面协同修复关键技术及应用,
2023,科学技术进步奖,2023-J05-2-07-R05,高性能数控机床广义可靠性关键技术研究及应用,郭劲言
2023,科学技术进步奖,2023-J06-2-04-R02,卵巢组织冻存技术的临床应用与推广,杜　娟
2023,科学技术进步奖,2023-J02-2-06-D03,基于人工智能与高精度三维视觉的机器人感知操作关键技术与产业化,
2023,技术发明奖,2023-F04-1-01-R06,大载重比高稳定性交叉双旋翼无人直升机技术研发与应用,王贤宇
2023,科学技术进步奖,2023-J09-1-02-D01,海上风电全过程协同开发关键技术及工程应用,
2023,技术发明奖,2023-F01-1-01-R14,虚-实融合瞬态干涉复杂表面精密测量技术及应用,王　玮
2023,科学技术进步奖,2023-J02-1-02-R06,大规模异质知识计算关键技术及应用,魏述强
2023,科学技术进步奖,2023-J12-1-01-R05,农产品危害因子靶向识别材料库构建和速测关键技术开发及应用,王　淼
2023,自然科学奖,2023-Z05-2-02-D03,生态环境曲面智能计算方法,
2023,科学技术进步奖,2023-J02-2-13-R02,人工智能放疗技术体系的创建及应用,门　阔
2023,科学技术进步奖,2023-J03-1-01-R05,高能量密度锂离子电池用硅基负极材料的开发与产业化,齐小鹏
2023,技术发明奖,2023-F04-1-01-D07,大载重比高稳定性交叉双旋翼无人直升机技术研发与应用,
2023,技术发明奖,2023-F02-2-03-D01,新型电力系统源网荷储协同规划与全景运行模拟关键技术与应用,
2023,科学技术进步奖,2023-J09-2-03-R10,互联大电网在线混合仿真与智能态势评估关键技术及应用,徐得超
2023,科学技术进步奖,2023-J10-1-01-R08,国家速滑馆（冰丝带）绿色建造关键技术研究与应用,王泽强
2023,科学技术进步奖,2023-J02-1-02-R03,大规模异质知识计算关键技术及应用,谢　睿
2023,科学技术进步奖,2023-J01-2-08-D01,火星安全着陆与科学巡视光电感知技术及应用,
2023,科学技术进步奖,2023-J12-1-01-R11,农产品危害因子靶向识别材料库构建和速测关键技术开发及应用,金　芬
2023,科学技术进步奖,2023-J13-2-02-R01,拯救心脏：多维度立体化大众心脏健康科普体系的构建与应用,刘　健
2023,技术发明奖,2023-F01-2-05-D02,“声纹＋”可信身份认证关键技术与应用,
2023,科学技术进步奖,2023-J04-2-01-R06,地球系统模式公共耦合器平台及其应用,张　诚
2023,技术发明奖,2023-F01-1-01-R08,虚-实融合瞬态干涉复杂表面精密测量技术及应用,周钟海
2023,科学技术进步奖,2023-J10-2-05-D04,基于京津冀地区尾矿废石利用的高品质骨料及混凝土技术开发与应用,
2023,科学技术进步奖,2023-J06-1-03-R03,急性主动脉综合征精准诊断及临床疗效提升技术创新与推广,贡　鸣
2023,技术发明奖,2023-F06-2-01-R07,稠油低碳冷采靶向降黏关键技术与应用,翟常博
2023,科学技术进步奖,2023-J02-2-12-R04,关键信息基础设施数据安全治理关键技术与应用,李丽香
2023,科学技术进步奖,2023-J10-2-03-R05,装配式混凝土住宅性能提升、智能建造关键技术及规模化应用,朱凤起
2023,科学技术进步奖,2023-J01-1-01-R03,多体制卫星遥感数据智能解译关键技术与重大应用,周光尧
2023,科学技术进步奖,2023-J09-2-06-R04,支撑系统惯量/电压的大型风电场机-场协同控制技术及应用,吴林林
2023,自然科学奖,2023-Z05-2-12-R06,机械装备运动部件强化修复涂层设计、成形理论与长效安全服役,林　丽
2023,科学技术进步奖,2023-J10-1-01-R11,国家速滑馆（冰丝带）绿色建造关键技术研究与应用,刘　洁
2023,科学技术进步奖,2023-J11-2-01-D05,城市轨道交通运营风险主动防控关键技术与应用,
2023,科学技术进步奖,2023-J11-2-01-D04,城市轨道交通运营风险主动防控关键技术与应用,
2023,科学技术进步奖,2023-J12-2-05-R01,黄瓜高通量分子育种技术创新与新品种选育,温常龙
2023,技术发明奖,2023-F06-2-03-D01,非洲猪瘟等动物疫病“产供环”一体化检测监测技术研发与应用,
2023,科学技术进步奖,2023-J02-2-03-R10,基于安全大模型的高级持续性威胁防御效能评估技术及应用,刘新峰
2023,科学技术进步奖,2023-J10-2-06-R08,特大城市地下管线智能探查与健康监测关键技术及应用,鞠建荣
2023,科学技术进步奖,2023-J06-2-02-R01,踝关节运动损伤诊疗新技术及其应用研究,郭秦炜
2023,自然科学奖,2023-Z05-2-06-R06,超快激光原子级加工及界面调控机理,汪长安
2023,科学技术进步奖,2023-J06-2-02-R04,踝关节运动损伤诊疗新技术及其应用研究,江　东
2023,科学技术进步奖,2023-J10-2-03-R08,装配式混凝土住宅性能提升、智能建造关键技术及规模化应用,夏春蕾
2023,科学技术进步奖,2023-J06-1-04-R04,脑血管高危斑块及血栓磁共振精确定量检测关键技术与推广应用,李　睿
2023,科学技术进步奖,2023-J01-1-03-R04,轻型甚高分辨率多用途智能相机技术及空间应用,刘　涌
2023,科学技术进步奖,2023-J10-2-02-R06,复杂环境下重大混凝土结构工程抗裂性能提升关键技术及其应用,束伟农
2023,科学技术进步奖,2023-J08-2-01-R08,中医药防治慢性疼痛精准诊疗评价关键技术与应用,苏友祥
2023,科学技术进步奖,2023-J11-2-01-D02,城市轨道交通运营风险主动防控关键技术与应用,
2023,科学技术进步奖,2023-J09-1-04-D10,主动配电网能量管理与集群控制系统、装备及其应用,
2023,科学技术进步奖,2023-J10-1-02-R03,地下结构与土体一体化抗震设计理论、标准及工程应用,黄美群
2023,科学技术进步奖,2023-J04-2-06-R01,北京冬奥会延庆赛区生态保护修复关键技术与应用,张志翔
2023,科学技术进步奖,2023-J10-1-01-R14,国家速滑馆（冰丝带）绿色建造关键技术研究与应用,苏振华
2023,自然科学奖,2023-Z02-1-01-R03,面向主被动康复训练的机器人控制理论与方法,王卫群
2023,技术发明奖,2023-F02-1-01-R14,三床多分级多流程多燃料循环流化床清洁高效燃烧技术及应用,李　猛
2023,科学技术进步奖,2023-J08-2-03-R08,“生熟异治”中药饮片炮制及质量评价关键技术研究与应用,赵书武
2023,技术发明奖,2023-F04-2-02-R10,可维护飞行器先进设计与制造技术,蔡亚星
2023,科学技术进步奖,2023-J06-1-02-D03,髋关节发育不良诊疗关键技术的建立与应用推广,
2023,自然科学奖,2023-Z01-1-01-R06,二维材料的拓扑新物态及能带调控,吴　扬
2023,自然科学奖,2023-Z01-2-02-D02,生物机械表界面润滑机理与调控,
2023,技术发明奖,2023-F01-1-01-R09,虚-实融合瞬态干涉复杂表面精密测量技术及应用,栗孟娟
2023,科学技术进步奖,2023-J02-1-05-R13,航天复杂安全攸关嵌入式控制软件开发关键技术与应用,黎　藜
2023,科学技术进步奖,2023-J07-1-01-D03,抗病毒药物的创新及其产业化,
2023,科学技术进步奖,2023-J05-1-01-R05,航天耐高温异型薄壁复杂结构件高效加工与检测技术开发及应用,潘思远
2023,科学技术进步奖,2023-J04-2-06-R10,北京冬奥会延庆赛区生态保护修复关键技术与应用,张　艳
2023,科学技术进步奖,2023-J01-1-02-D03,低成本Q/V/Ka频段低轨宽带通信卫星批量研制及应用,
2023,科学技术进步奖,2023-J10-2-04-R04,降低洁净空调所需能量品位和风量的理论与关键技术及其应用,吴小泉
2023,科学技术进步奖,2023-J12-2-04-D06,智能灌溉装备研发及技术应用,
2023,科学技术进步奖,2023-J04-2-03-D03,大型文化遗产多维动态信息留取表达与活化利用,
2023,技术发明奖,2023-F06-2-01-R08,稠油低碳冷采靶向降黏关键技术与应用,方吉超
2023,技术发明奖,2023-F01-2-04-R08,面向宽带网络的跨媒体感知计算技术与应用,吴岳辛
2023,科学技术进步奖,2023-J02-2-01-R08,数智航天发射关键技术研究及推广应用,朱永泉
2023,技术发明奖,2023-F01-1-01-D03,虚-实融合瞬态干涉复杂表面精密测量技术及应用,
2023,科学技术进步奖,2023-J05-1-03-R11,典型灾害事故环境下个体防护原理与高性能防护材料及系列装备研发与应用,关振虹
2023,技术发明奖,2023-F01-2-01-D01,中远红外量子级联激光器关键技术及应用,
2023,自然科学奖,2023-Z03-1-02-R01,新一代单分子器件及检测技术,郭雪峰
2023,自然科学奖,2023-Z04-2-01-R07,肿瘤微环境与肝癌干细胞相互作用解析及其靶向治疗新策略,习佳飞
2023,科学技术进步奖,2023-J06-2-01-R09,国民营养改善重大干预技术与应用,赵丽云
2023,科学技术进步奖,2023-J06-2-03-D02,前列腺新型智能诊疗关键技术体系的建立及推广,
2023,自然科学奖,2023-Z01-2-02-D01,生物机械表界面润滑机理与调控,
2023,科学技术进步奖,2023-J09-2-10-R07,支撑电网调峰的规模化电动汽车智慧聚合与调控关键技术及应用,王　鹏
2023,科学技术进步奖,2023-J01-1-02-R13,低成本Q/V/Ka频段低轨宽带通信卫星批量研制及应用,左　朋
2023,科学技术进步奖,2023-J05-2-04-R06,城市电网链生灾害影响预测和智能应急关键技术及应用,方伟华
2023,科学技术进步奖,2023-J02-2-05-R02,面向多领域基础设施的智能运维系统研发与产业化,张亚勤
2023,自然科学奖,2023-Z04-2-04-R01,PTEN 家族在肿瘤发生发展中的作用和机制研究,尹玉新
2023,科学技术进步奖,2023-J12-2-01-D02,口蹄疫防控技术体系产品创制及产业化,
2023,自然科学奖,2023-Z05-2-12-R05,机械装备运动部件强化修复涂层设计、成形理论与长效安全服役,李国禄
2023,科学技术进步奖,2023-J06-2-12-R10,骨质疏松症防治体系的建立及应用,胡智阗
2023,科学技术进步奖,2023-J09-2-11-R05,大容量长柔叶片弯扭耦合技术开发与应用,李庆安
2023,科学技术进步奖,2023-J02-1-04-R06,移动终端影像系统关键技术与应用,曾学忠
2023,科学技术进步奖,2023-J09-2-09-R03,复杂断陷勘探理论技术创新与京东南油气规模储量发现,何登发
2023,技术发明奖,2023-F04-2-01-D01,煤直接液化残渣制备低成本高耐久道路材料关键技术及应用,
2023,科学技术进步奖,2023-J06-1-02-R15,髋关节发育不良诊疗关键技术的建立与应用推广,张　洪
2023,科学技术进步奖,2023-J03-2-01-R02,微弱信号探测用高性能光纤倒像器制备关键技术及应用,黄永刚
2023,自然科学奖,2023-Z05-2-01-R01,空间天气日冕行星际过程建模研究,冯学尚
2023,自然科学奖,2023-Z02-2-03-R01,高通量单细胞检测应用基础研究,陈　健
2023,自然科学奖,2023-Z03-1-03-D01,金属–有机多孔材料的结构设计与性能调控,
2023,科学技术进步奖,2023-J04-1-03-D08,低维护-短流程膜法水处理技术与应用,
2023,科学技术进步奖,2023-J04-2-07-D01,强化传质和自由基生成的臭氧类高级氧化水处理技术与应用,
2023,科学技术进步奖,2023-J10-2-02-R02,复杂环境下重大混凝土结构工程抗裂性能提升关键技术及其应用,薛红京
2023,科学技术进步奖,2023-J09-2-06-D01,支撑系统惯量/电压的大型风电场机-场协同控制技术及应用,
2023,科学技术进步奖,2023-J05-1-02-D02,航天大型复杂构件精准成形关键技术与装备开发及应用,
2023,自然科学奖,2023-Z01-2-02-R06,生物机械表界面润滑机理与调控,韩建民
2023,科学技术进步奖,2023-J09-2-03-R03,互联大电网在线混合仿真与智能态势评估关键技术及应用,刘道伟
2023,自然科学奖,2023-Z05-2-01-R06,空间天气日冕行星际过程建模研究,周玉芬
2023,科学技术进步奖,2023-J05-2-07-R01,高性能数控机床广义可靠性关键技术研究及应用,程　强
2023,科学技术进步奖,2023-J06-2-04-R07,卵巢组织冻存技术的临床应用与推广,孔为民
2023,科学技术进步奖,2023-J09-2-10-D05,支撑电网调峰的规模化电动汽车智慧聚合与调控关键技术及应用,
2023,技术发明奖,2023-F05-1-01-R06,骨盆骨折微创治疗关键技术装置的发明与应用,齐红哲
2023,科学技术进步奖,2023-J01-1-02-R15,低成本Q/V/Ka频段低轨宽带通信卫星批量研制及应用,高千峰
2023,技术发明奖,2023-F03-2-02-R03,超磁致伸缩旋转超声加工系统设计理论与方法,冯平法
2023,科学技术进步奖,2023-J02-1-01-D06,北斗全球系统试验卫星在轨验证关键技术及应用,
2023,技术发明奖,2023-F03-1-01-R05,大型复杂构件高效高质量制造关键技术及装备,解增辉
2023,科学技术进步奖,2023-J08-2-02-R07,中药提取制剂连续制造关键技术开发及产业化,姚　璐
2023,自然科学奖,2023-Z02-2-07-D03,非限域高维遥感信息敏捷化智能处理理论与方法,
2023,科学技术进步奖,2023-J05-1-03-R01,典型灾害事故环境下个体防护原理与高性能防护材料及系列装备研发与应用,翁文国
2023,技术发明奖,2023-F05-1-01-R05,骨盆骨折微创治疗关键技术装置的发明与应用,张里程
2023,科学技术进步奖,2023-J11-2-02-D07,城市多模式交通运行状态实时预测与智能管理关键技术及应用,
2023,科学技术进步奖,2023-J05-2-03-D02,超高压容器设计制造关键技术及工程应用,
2023,自然科学奖,2023-Z05-2-04-R03,室内空气污染净化的界面传质调控机理与方法,高轶伦
2023,自然科学奖,2023-Z04-2-02-D02,白癜风发病机制研究,
