企业名称,统一社会信用代码
北京市朝阳区园林绿化局,11110105733481657Q
北京市经济信息中心,12110000400591890H
北京市海淀区西北旺镇合作经济联合社,N311010805738122XD
北京光谷科技园开发建设有限公司,91110000802452578H
北京市延庆区生态环境建设办公室,
西城区教育委员会,
北京市朝阳区水务建设管理办公室,12110105567459170G
北京市朝阳区园林绿化局,11110105733481657Q
北京市门头沟区潭柘寺镇人民政府,11110109000073373B
北京市大兴区旧宫镇人民政府,1.11E+17
全时云商务服务股份有限公司,91110108802016856N
北京首钢二通建设投资有限公司,91110106351625774B
北京新航城开发建设有限公司,91110000MA00A22E4K
北京恒盛宏大道路投资有限公司,91110106685123272E
通州区园林绿化局,
北京城市副中心工程建设管理办公室,
北京市园林绿化局,1111000078480249XC
北京市海淀区城市管理委员会,
北京鑫浩投资中心,9.11E+17
北京市大兴区黄村镇政府,
北京市平谷区园林绿化局,
北京香山双新房地产有限公司,91110112737658456F
北京市首都公路发展集团有限公司,91110000700221058P
北京北建陆港国际物流有限公司,91110105673812222F
北京市天竺房地产开发公司,9111011310251861XH
北京海融达投资建设有限公司,91110108777085234D
北京桑普新源技术有限公司,91110229099824041C
北京经济技术开发区土地储备与建设服务中心,
北京首建环保有限责任公司,91110105MA0187Q30D
北京泰禾锦绣置业有限公司,91110105MA00BEJE0X
北京怀柔科学城建设发展有限公司,91110116MA00D3MN4H
广发银行股份有限公司,91440000190336428Q
北京市房山区城市管理委员会,
北京市水利建设管理中心,
北京城市排水集团有限责任公司,9.11E+17
北京市长城伟业投资开发总公司,91110116102589311J
北京百利兴房地产开发有限公司,91110117722600817U
中国科学院国家天文台,12100000400012094Q
通州区水务局,
北京市东城区东四街道办事处,
北京市公联公路联络线有限责任公司,9.11E+17
北京雁栖房地产开发公司,91110116102609474C
北京市通州粮食收储库,
北京金河水务建设集团有限公司,91110114738240465L
北京市延庆区水务局,11110229000117938X
北京市保障房配套市政基础设施建设有限公司,91110000MA004XM095
北京市热力集团有限责任公司,91110000101100238R
北京紫园新城投资发展有限公司,91110111695013341W
北京市石景山区人民政府五里坨街道办事处,
北京心连心热力有限公司,91110228102987336H
北京优纳科技有限公司,91110108779500729F
北京市延庆区水务局,11110229000117938X
北京市门头沟区军庄镇人民政府,11110109000073517W
北京星和源通房地产有限责任公司,91110107MA00EUH97T
北京航天控制仪器研究所,8.11E+17
北京市基础设施投资有限公司,
北京瑞坤置业有限责任公司、北京未来科学城置汇建设有限公司,
北京佰仁医疗科技股份有限公司,9.11E+17
北京市大兴区榆垡镇人民政府,1111022400008841X3
北京宝嘉恒基础设施投资有限公司,9.11E+17
北京金安兴业房地产开发有限公司,91110107MA01G96P2B
北京市东城区园林绿化管理中心,12110101059220614D
北京华商信联电力科技有限公司,9.11E+17
北京实创科技园开发建设股份有限公司,9.11E+17
北京市房山区园林绿化局,
北京颐和青龙投资有限公司,9111010839918586XM
北京顺开房地产开发有限公司,91110112700225884A
三间房地区办事处,
北京财懋房地产开发有限公司,91110228579048862W
北京市基础设施投资有限公司,
北京实创科技园开发建设股份有限公司,9.11E+17
北京市朝阳区现代教育技术信息网络中心,1211010575604605X9
鸿基伟业（北京） 房地产开发有限公司,
北京鼎荣茂华房地产开发有限公司,91110113682854088Q
北京祥晟辉年置业有限公司,91110228MA01R2B6XF
北京市房山区生态环境建设办公室,11110111695027030L
北京安兴惠民置业有限公司,91110115MA01K76W68
东方网力科技股份有限公司,91110000721497432T
北京京房为民置业有限公司,9.11E+17
北京中铁诺德顺兴置业有限公司,91110113MA01AN750D
北京新兴联华房地产开发有限公司,91110116740414946A
北京城市排水集团有限责任公司,9.11E+17
北京振邦承基开发建设有限公司,91110114788609224Q
北京市昌平区人民法院,11110221000028644A
北京市密云区溪翁庄镇人民政府,1.11E+17
北京宝嘉恒基础设施投资有限公司,9.11E+17
北京华北投新机场北线高速公路有限公司,91110115MA019NE25N
北京京通天泰房地产开发有限公司,91110105723557195N
北京市顺义区后沙峪镇人民政府,1.11E+17
北京市房山区良乡镇人民政府,11110111000078377P
北京燕广置业有限责任公司,9.11E+17
房山区各相关镇政府,
北京恒盛宏大道路投资有限公司,91110106685123272E
北京市城市河湖管理处,12110000400638804B
北京市大兴区黄村镇政府,
北京房地天锐鑫洋房地产开发有限公司,91110112MA001UTU4R
北京市朝阳区教育国有资产管理中心,12110105400840869H
北京城市排水集团有限责任公司,9.11E+17
北京金科金碧置业有限公司,91110117MA00H7M17F
北京碧和信泰置业有限公司,91110115MA019K2C2X
首都医科大学附属北京世纪坛医院,12110000400003235L
北京京洋房地产开发有限公司,9.11E+17
北京市大兴区旧宫镇人民政府,1.11E+17
北京国门金桥置业有限公司,91110113672391673L
首都医科大学附属北京口腔医院,12110000400688502T
北京多达通能源科技有限公司,91110109MA008CB97T
北京市绿化隔离地区基础设施开发建设有限公司,91110000733447256M
通州区园林绿化局,
北京市房山区卫生健康委员会,11110111330336391R
北京中关村电子城建设有限公司,9.11E+17
北京中海全盛房地产开发有限公司,91110105MA01F76D31
北京城市排水集团有限责任公司,9.11E+17
北京金阳置业有限公司,91110111078531987X
北京传富云溪科技有限公司,91110105MA01EBKL37
北京市大兴区园林绿化局,1.11E+17
北京市怀柔区生态环境建设特色示范区工作领导小组办公室,
北京利星房地产开发有限公司,91110000764245649D
北京信息科技大学,1.21E+17
北京中铁华兴房地产开发有限公司,91110115MA003U2U39
北京市首都公路发展集团有限公司,91110000700221058P
北京城建兴顺房地产开发有限公司,91110113MA0012DG15
北京市大兴区旧宫镇人民政府,1.11E+17
北京市房山区园林绿化局,
北京市首都公路发展集团有限公司,91110000700221058P
北京市大兴区林校路街道,
北京市热力集团有限责任公司,91110000101100238R
北京三元德宏房地产开发有限公司,91110115783210708B
北京市大兴区园林绿化局,1.11E+17
北京公共交通控股（集团）有限公司,9111000010110591XL
北京市房山区水务局,1.11E+17
北京昌平科技园发展有限公司,9.11E+17
北汽特来电（北京）新能源科技有限公司,
北京市密云区商务局,
顺义区卫生和计划生育委员会,
北京市西城区园林市政管理中心,12110102400793492N
北京市朝阳区交通委员会,11110105MB1712683B
北京城建兴胜置业有限公司,91110116MA01L8AD4N
北京市顺义区水务局,11110110000092937B
北京建工国通建设工程有限责任公司,91110112MA003XM54L
丰台区园林绿化局,
北京中科电商谷商厦有限公司,9.11E+17
北京市延庆区园林绿化局,
北京航天宏图信息技术股份有限公司,91110108671708384H
昌平区卫生健康委员会,
北京市门头沟区采空棚户区改造建设中心,12110109681214775X
北京市昌平区小汤山镇人民政府,11110221000103421J
通州区园林绿化局,
北京兴创投资有限公司,9.11E+17
北京市房山区生态环境建设办公室,11110111695027030L
北京市监狱管理局,11110000000029612G
北京市房山区生态环境建设办公室,11110111695027030L
北京平筑房地产开发有限公司,91110117MA017CW37J
北京市门头沟区潭柘寺镇人民政府,11110109000073373B
北京高陆通新能源科技有限公司,91110302MA003WA12F
北京石龙经济开发区管理委员会,12110109400903241P
昌平区园林绿化局,
北京市基础设施投资有限公司,
北京市东城区东四街道办事处,
团市委,
国家体育总局冬季运动管理中心,1.21E+17
北京市怀柔区九渡河镇人民政府,11110227000098394B
北京市西城区园林市政管理中心,12110102400793492N
北京市大兴区园林绿化局,1.11E+17
北京大前门投资经营有限公司,9111010177950616XM
北京市朝阳区小红门乡人民政府,11110105000053620L
北京市怀柔区文化和旅游局,11110227000097981U
北京市燃气集团有限责任公司,91110000795951626B
北京市保障房配套市政基础设施建设有限公司,91110000MA004XM095
国网北京市电力公司,9.11E+17
北京市热力集团有限责任公司,91110000101100238R
北京通建融创恒丰置业有限公司,91110302MA01PQ486H
北京市石景山区教育委员会,1111010700006782XB
北京城市副中心投资建设集团有限公司,9.11E+17
北京市平谷区东高村镇人民政府,1.11E+17
北京市房山新城投资有限责任公司 ,
北京兴创投资有限公司,9.11E+17
北京市房山区水务局,1.11E+17
北京粮食集团有限责任公司,91110000700224507H
北京城市排水集团有限责任公司,9.11E+17
北京市昌平区教育委员会,1.11E+17
北京和信兴泰房地产开发有限公司,91110115MA00EGXFXC
北京市密云区水务局,11110228000107959W
北京市延庆区园林绿化局,
悦康药业集团股份有限公司,9.11E+17
国网北京市电力公司,9.11E+17
北京怀柔科学城建设发展有限公司,91110116MA00D3MN4H
北京商务中心区管理委员会,1111010580113683XL
房山区琉璃河镇平各庄村集体经济组织,
北京公共交通控股（集团）有限公司,9111000010110591XL
北京辉盛房地产开发有限公司,91110115MA01HTJHX2
北京市公联公路联络线有限责任公司,9.11E+17
北京电子城有限责任公司,9111000010114680X4
北京建工国通建设工程有限责任公司,91110112MA003XM54L
北京市保障房配套市政基础设施建设有限公司,91110000MA004XM095
北京市平谷区园林绿化局,
北京市城市管理综合行政执法局,11110000746105829M
北京鎏庄房地产开发有限公司,91110106MA001FFK2G
北京市门头沟区城市管理委员会（北京市门头沟区城乡环境建设管理委员会办公室）,
北京市门头沟区城市管理委员会（北京市门头沟区城乡环境建设管理委员会办公室）,
北京市通州区梨园镇人民政府,11110112078531557T
北京科学中心筹建办公室,12110000400755736B
北京市西城区卫生健康委员会,11110102358993633P
北京市大兴区礼贤镇人民政府,1.11E+17
北京市自来水集团有限责任公司,91110000101358044Q
北京市板桥创意天承投资发展中心,9111011366053231XD
北京草桥实业总公司,91110106102166060L
北京天恒乐活城置业有限公司,91110111680498200B
北京市平谷区马昌营镇人民政府,11110226000113419A
北京市自来水集团有限责任公司,91110000101358044Q
通州区园林绿化局,
北京京投城市管廊投资有限公司,91110228MA006BF569
国网北京市电力公司,9.11E+17
北京中海盈达房地产开发有限公司,91110115MA01HMN07Y
北京兴创房地产开发有限公司,9.11E+17
北京市十三陵林场,1.21E+17
北京顺创智能网联科技发展有限公司,91110113MA01EX4R0J
国网北京市电力公司,9.11E+17
昌平区园林绿化局,
北京市怀柔区教育委员会,11110227000097957B
北京市昌平区北七家镇人民政府,11110221000103771Q
北京市房山区青龙湖镇人民政府,11110111000078561F
北京方泽融坤投资发展有限公司,91110101590668210H
海淀区教委、海融达公司,
丰台区园林绿化局,
北京市丰台区教育委员会,11110106000062930M
北京绿都基础设施投资有限公司,9.11E+17
北京市通州区交通局,
北京市朝阳区园林绿化局,11110105733481657Q
北京首都开发控股（集团）有限公司,
北京市朝阳区园林绿化局,11110105733481657Q
北京建延房地产开发有限公司,91110229MA0097BU0F
北京博源包装制品有限公司,91110111770411674E
北京市海淀区国有资产投资经营有限公司,91110108102033073C
北京市停车管理事务中心,
国网北京市电力公司丰台供电公司,
北京佳讯云创科技有限公司,91110302MA0075C80L
北京市基础设施投资有限公司,
北京市公联公路联络线有限责任公司,9.11E+17
丰台区水务局,
北京飞行博达电子有限公司,91110117796722649H
北京市延庆区体育局,1111022900011776XN
北京绿都基础设施投资有限公司,9.11E+17
北京兴创投资有限公司,9.11E+17
北京市丰台区发展和改革委员会,11110106000062711B
北京市城市管理委员会,1.11E+17
北京航天东方科技发展有限公司,9.11E+17
北京市园林绿化局防沙治沙办公室,
北京市昌平区马池口镇人民政府,11110221000103448A
北京市房山区城市管理委员会,
北京市丰台区教育委员会,11110106000062930M
聚协昌（北京）药业有限公司,
北京市水务工程建设与管理事务中心,12110000749350790J
北京市交通委员会门头沟公路分局,12110000400709203Q
北京理工大学,12100000400009127B
北京市朝阳区园林绿化局,11110105733481657Q
北京市房山新城投资有限责任公司 ,
通州区园林绿化局,
北京市朝阳区公安消防支队,
北京四海华辰科技有限公司,9.11E+17
首都医科大学附属北京潞河医院,1.21E+17
北京交控硅谷科技有限公司,91110106MA001TX79Q
北京城市副中心投资建设集团有限公司,9.11E+17
北京市保障房配套市政基础设施建设有限公司,91110000MA004XM095
北京远新房地产开发有限公司,91110112397034064N
中电科（北京）置业发展有限公司,
经纬纺织机械股份有限公司,91110000110052522M
北京市基础设施投资有限公司,
北京市密云水库管理处,12110000400638839X
北京城市排水集团有限责任公司,9.11E+17
北京上城永泰置业有限公司,9.11E+17
北京北控京闽投资有限公司,91110116085528372X
北京裕泽房地产开发有限责任公司,9.11E+17
北京城市排水集团有限责任公司,9.11E+17
国网北京市电力公司,9.11E+17
北京市通州区西集镇人民政府,11110112000084590Q
国网北京市电力公司,9.11E+17
北京国际种业科技有限公司,
北京金恒丰城市更新资产运营管理有限公司,91110102MA01JRBL7Y
北京市大兴区发展和改革委员会,11110224000087708T
北京未来科学城发展集团有限公司,91110000693243098K
北京宏基源房地产开发有限公司,9.11E+17
北京市东城区园林绿化管理中心,12110101059220614D
北京市昌平区十三陵镇人民政府,11110221000103499J
丰台区园林绿化局,
通州区园林绿化局,
北京市首都公路发展集团有限公司,91110000700221058P
北京泷润置业有限公司,91110107MA01MBED3N
北京市西城区卫生健康委员会,11110102358993633P
北京市怀柔区渤海镇人民政府,11110227000098386G
北京光谷科技园开发建设有限公司,91110000802452578H
北京实创科技园开发建设股份有限公司,9.11E+17
北京市延庆区井庄镇人民政府,1.11E+17
北京庄胜房地产开发有限公司,9.11E+17
北京市房山区园林绿化局,
北京市房山区西潞街道办事处,
北京市园林绿化局防沙治沙办公室,
北京市普仁医院,12110101400809896K
北京市平谷区人民法院,1.11E+17
北京首开龙湖盈泰置业有限公司,91110111MA00B4YT1Y
北京市房山供电公司,
海淀区清河乡集体经济组织,
北京市房山区长沟镇政府,
首钢集团有限公司,9.11E+17
北京市大兴城镇建设综合开发集团有限公司,91110000102845987Y
北京金隅琉水环保科技有限公司,9.11E+17
北京建工国通建设工程有限责任公司,91110112MA003XM54L
北京天阳供暖有限公司,91110114746134750D
北京市昌平区百善镇人民政府,11110221000103536Q
北京市燃气集团有限责任公司,91110000795951626B
北京城茂房地产开发有限公司,91110113MA01MP2U4G
北京首钢二通建设投资有限公司,91110106351625774B
北京金马驹开发建设有限公司,91110112102435013P
北京怀胜城市建设开发有限公司,91110116597746840E
北京市水文地质工程地质大队,1.21E+17
北京京粮泰宇房地产有限公司,91110116MA018NLY6F
北京市凉水河管理处,1.21E+17
北京一充科技有限公司,91110105MA01HA040H
中央歌剧院,12100000400007156W
北京瑞宏达置业有限责任公司,
北京市人民政府口岸办公室,1.11E+17
小米科技有限责任公司,91110108551385082Q
北京市首都公路发展集团有限公司,91110000700221058P
丰台区水务局,
北京市经济和信息化局,11110000693225666K
北京京城置地有限公司,91110229306790121K
国网北京市电力公司怀柔供电公司,
北京公共交通控股（集团）有限公司,9111000010110591XL
北京未来科学城发展集团有限公司,91110000693243098K
北京首钢二通建设投资有限公司,91110106351625774B
北京市平谷区国家生态环境建设领导小组办公室,
北京怀柔科学城置业有限公司,91110116MA01HNX623
北京市公安局平谷分局,11110000000026884K
北京市自来水集团有限责任公司,91110000101358044Q
北京尚恒锦祥商业运营管理有限公司,91110302MA01N1AU56
北京金厦园房地产开发有限公司,91110114721499331Y
房山区韩村河镇岳各庄村集体经济组织,
北京丰合联物资供销有限公司,9111010630644339XL
北京中建京东置业有限公司,91110113MA00AM6W1Q
北京新太洋生物医药有限公司,91110115318306819E
北京龙建诚信房地产开发有限公司,9111000074472129X6
北京市怀柔区北房镇人民政府,11110227000098300M
北京市公园管理中心,12110000797552485H
北京市天竺房地产开发公司,9111011310251861XH
北京市基础设施投资有限公司,
北京中关村电子城建设有限公司,9.11E+17
通州区园林绿化局,
北京城市排水集团有限责任公司,9.11E+17
北京电影学院,12110000400883332K
首都医科大学附属北京儿童医院,12110000400688764J
北京市中盛兴建房地产开发有限公司,9.11E+17
北京市门头沟区雁翅镇人民政府,11110109000073533J
北京五方嘉和房地产开发有限公司,9.11E+17
北京市海淀区教育委员会,11110108000057883P
北京智方润科房地产开发有限公司,91110302MA00C0DB5F
北京城奥置业有限公司,91110105MA003R6D1D
北京市朝阳区园林绿化局,11110105733481657Q
北京南海子投资管理有限公司,91110302556839469Q
北京市人民政府口岸办公室,1.11E+17
北京市政路桥集团有限公司,91110000567482258Y
通州区园林绿化局,
北京兆泰集团股份有限公司,9.11E+17
加州原野北京总部,
北京市房山区城市管理委员会,
北京市西城区人民政府德胜街道办事处,1111010200003821X0
北京未来科学城置汇建设有限公司,91110114MA00BR1E11
丰台区水务局,
北京中建京东置业有限公司,91110113MA00AM6W1Q
北京安德力房地产有限责任公司,91110105592328367H
北京新凤凰城房地产开发有限公司,91110108748839690Q
北京市平谷区大兴庄镇人民政府,1.11E+17
密云区园林绿化局,
北京市首都公路发展集团有限公司,91110000700221058P
北京市怀柔区园林绿化局,
北京良乡城市建设开发有限公司,9.11E+17
北京市房山供电公司,
北京恒盛宏大道路投资有限公司,91110106685123272E
交控科技股份有限公司,91110106697684368N
北京市丰台区教育委员会,11110106000062930M
华泰伟业房地产开发有限责任公司,
昌平区沙河镇松兰堡村股份经济合作社,
润和通信房地产开发有限公司,
北京春风一方制药有限公司,91110116MA01DA92XB
北京华恒业房地产开发有限公司,9.11E+17
北京市昌平区城市管理委员会,
北京市海淀区园林绿化局,
国网北京市电力公司丰台供电公司,
北京市基础设施投资有限公司,
北京欣业城镇建设投资管理有限公司,91110115074103635F
新航城控股公司、新航城开发公司、顺丰、海航等,
,
北京首农信息产业投资有限公司,91110108562081084J
北京中关村国际种业科技有限公司,91110108769908683F
北京建工国通建设公司,
北京和浩源房地产开发有限责任公司,91110105735129817P
北京市房山新城投资有限责任公司,91110111MA006TK06D
北京市门头沟区城市管理委员会（北京市门头沟区城乡环境建设管理委员会办公室）,
北京五棵松文化体育中心有限公司,9111010875601359X3
北京能源投资(集团)有限公司,
旭阳化学技术研究院有限公司,91110106556895962G
甘肃第七建设集团股份有限公司,
北京巨佳正业建设工程有限公司,91110228348290571Q
北京镓族科技有限公司,91110113MA019D7D36
北京市基础设施投资有限公司,
北京天泰兴业置业发展有限公司,91110107780965865M
大兴区生物医药基地,
北京桑普新源技术有限公司,91110229099824041C
北京市土地整理储备中心朝阳分中心,12110000777051237Y
首都医科大学附属北京口腔医院,12110000400688502T
,
,
北京首建环保有限责任公司,91110105MA0187Q30D
北京首金置业有限公司,91110107MA00D87N2Y
北京未来科学城发展集团有限公司,91110000693243098K
石景山区教育委员会,
北京首钢建设投资有限公司,91110000556827660M
北京怀柔科学城建设发展有限公司,91110116MA00D3MN4H
北京京房为民置业有限公司,9.11E+17
甘肃第七建设集团股份有限公司,
海淀区政府公共服务委员会,
国网北京市电力公司,9.11E+17
北京市房山新城投资有限责任公司,91110111MA006TK06D
首都医科大学附属北京友谊医院,1.21E+17
北京航天控制仪器研究所,8.11E+17
,
北京正阳恒瑞置业公司,91110101101530713R
北京市土地整理储备中心朝阳分中心,12110000777051237Y
北京市门头沟区水务局,11110109000072813A
首都医科大学附属北京中医医院,1.21E+17
北京市交通委员会,11110000000021063W
北京天润诚泽房地产开发有限公司,9.11E+17
北京市基础设施投资有限公司,
北京纳视达科技有限公司,91110000335513625K
国网北京市电力公司,9.11E+17
国网北京市电力公司,9.11E+17
北京尚坤塬置业有限公司,91110117318302981J
北京首钢房地产开发有限公司,91110000633712278Y
中国工业互联网研究院,12100000MB18985374
延庆区水务局,
北京市延庆区交通局,1111022900011805X5
首钢集团有限公司,9.11E+17
北京中科电商谷英迪投资管理有限公司,9.11E+17
北京顺义新城发展有限公司,91110113664649080F
,
北京未来科学城发展集团有限公司,91110000693243098K
北京城市副中心工程建设管理办公室,
北京未来科学城发展集团有限公司,91110000693243098K
北京美好美得灵食品有限公司,91110117MA01CG3062
北京海开房地产集团有限责任公司,91110108102024820T
北京市基础设施投资有限公司,
北京铁路电气化学校,12110000400930792N
北京市公联公路联络线有限责任公司,9.11E+17
北京建工国通建设工程有限责任公司,91110112MA003XM54L
北京百思特迅安房地产开发有限公司,91110108793412063U
北京清华长庚医院,12110000318301495P
北京市平谷区马坊镇人民政府,11110226000113355C
北京永安市政建设投资有限公司,91110114091866407G
北京远创中辉房地产开发有限公司,91110105MA01AMHW2A
北京市首都公路发展集团有限公司,91110000700221058P
北京中交兴昌置业有限公司,91110114MA006PB67Y
北京市自来水集团有限责任公司,91110000101358044Q
北京市自来水集团有限责任公司,91110000101358044Q
北京城市副中心工程建设管理办公室,
北京市平谷区园林绿化局,
北京金海恒达置业有限公司,9.11E+17
北京市丰台区教育委员会,11110106000062930M
北京中建京东置业有限公司,91110113MA00AM6W1Q
北京顺义新城建设开发有限公司,9111000074230031X6
北京市消防救援总队,1.11E+17
北京建工地产有限责任公司,9.11E+17
北京城市副中心投资建设集团有限公司,9.11E+17
北京市丰台区卢沟桥乡人民政府,1111010640085331XW
国网北京市电力公司,9.11E+17
北京欣业城镇建设投资管理有限公司,91110115074103635F
北京海融达投资建设有限公司,91110108777085234D
北京市怀柔区发展和改革委员会,11110227000097834A
北京市朝阳区教育国有资产管理中心,12110105400840869H
北京智地兴辰房地产开发有限公司,91110111MA01RNUP32
中铁京西（北京）高速公路发展有限公司,
北京升和房地产开发有限公司,9.11E+17
北京恒盛宏大道路投资有限公司,91110106685123272E
北京市通州区城市管理委员会,
国网北京市电力公司,9.11E+17
北京市通州区人民法院,1.11E+17
北京中关村大街建设发展有限公司,91110108MA01CWNY5F
志邦实业投资有限公司,91110113700307900B
北京市顺义区城市管理委员会,
北京兴振顺达投资管理有限公司,
北京畅的科技开发有限公司,9.11E+17
北京市政路桥股份有限公司,91110000101126390P
北京工业锅炉集团,9.11E+17
北京市平谷区教育委员会,11110226000112790G
北京市昌平区教育委员会,1.11E+17
丰台区园林绿化局,
北京市朝阳区循环经济产业园管理中心,
市保障性住房建设投资中心,
绿地控股集团有限公司,91310000132206289R
北京宝嘉恒基础设施投资有限公司,9.11E+17
北京大兴国际机场临空经济区（大兴）管理委员会,
北京燕广置业有限责任公司,9.11E+17
北京市门头沟区公共工程服务中心,
丰台区园林绿化局,
北京市公园管理中心,12110000797552485H
北京市门头沟区斋堂镇人民政府,11110109000073525P
北京永安市政建设投资有限公司,91110114091866407G
合生绿洲房地产开发公司,
北京天仁道和新材料有限公司,91110111MA007Q487W
北京城市副中心投资建设集团有限公司,9.11E+17
密云区园林绿化局,
北京亦庄京广科技创新有限公司,91110302MA01Q50R4L
北京画院,12110000400686064C
北京公共交通控股（集团）有限公司,9111000010110591XL
北京裕泽房地产开发有限责任公司,9.11E+17
北京远新房地产开发有限公司,91110112397034064N
北京首捷创新置业有限公司,91110107MA01LD382N
北京市公安局平谷分局,11110000000026884K
北京市朝阳区来广营乡人民政府,11110105000053612R
北京倚基土地开发有限公司,91110117735552092E
国网北京市电力公司,9.11E+17
北京市丰台区房屋管理局,11110106694964567W
北京京诚集团有限责任公司,91110000MA009TQB0N
国网北京市电力公司平谷供电公司,
北京环境卫生工程集团有限公司,9.11E+17
北京远新房地产开发有限公司,91110112397034064N
北京市房山区发展和改革委员会,1.11E+17
北京恒盛宏大道路投资有限公司,91110106685123272E
北京金谷创展置业有限责任公司,91110117MA01JLU34J
北京市怀柔区怀北镇人民政府,1.11E+17
北京市西城区融媒体中心,12110102675743937R
北京城市副中心工程建设管理办公室,
赛莱克斯微系统科技（北京）有限公司,
北京恒泰致远房地产开发有限公司,91110112MA00E55417
北京市通州区潞城镇人民政府,11110112000084718L
北京富华东方房地产开发有限公司,9111011257315842XF
北京华清地热能源投资管理有限公司,91110112MA00736K54
北京京投兴平置业有限公司,91110117MA001N6T0Y
中国科学院高能物理研究所,12100000400012211J
北京实创科技园开发建设股份有限公司,9.11E+17
北京回龙观医院,1211000040068654X4
北京大学,12100000400002259P
北京祥晟辉年置业有限公司,91110228MA01R2B6XF
北京市房山区西潞街道东沿村经济合作社,N2110111802717732M
北京兴创投资有限公司,9.11E+17
北京市海淀区文化和旅游局,1.11E+17
北京怀胜城市建设开发有限公司,91110116597746840E
北京市亿方实业公司,91110105101674936Q
北京公共交通控股（集团）有限公司,9111000010110591XL
西城区教育委员会,
北京亦庄盛元投资开发有限公司,91110302096768056L
北京市通州区梨园镇人民政府,11110112078531557T
通州区水务局,
北京天竺综合保税区管理委员会,11110110686901216J
苏州恒相房地产开发有限公司,91320500796547553A
北京市富乐科技发展有限公司,
北京市交通委员会通州公路分局,1.21E+17
北京燕房新城投资有限公司,91110111691664139X
北京万芳顺通汽车租赁有限公司,91110106064852296G
北京世奥森林公园开发经营有限公司,91110105749397708U
昌平区城北街道西关集体经济组织,
北京市大兴区礼贤镇人民政府,1.11E+17
通州区园林绿化局,
北京市西城区园林市政管理中心,12110102400793492N
北京市顺义区水务局,11110110000092937B
北京市怀柔区生态环境建设特色示范区工作领导小组办公室,
北京市门头沟区雁翅镇人民政府,11110109000073533J
北京市昌平区档案局,12110221000103181L
北京市海淀区教育委员会,11110108000057883P
北京实创科技园开发建设股份有限公司,9.11E+17
北京市怀柔区水务局,11110227000097949G
北京未来科技城昌远置业有限公司,
北京市怀柔区喇叭沟门满族乡人民政府,11110227000098490L
北京市首都公路发展集团有限公司,91110000700221058P
北京市公安局朝阳分局,11110000000028943G
北京宁坤、宁溪房地产开发有限责任公司,
北京市朝阳区卫生健康委员会,11110105000052943R
北京实创高科技发展有限责任公司,9111010810200570XL
中铁建置业有限公司等,
北京市怀柔区园林绿化局,
北京新航城控股有限公司,9.11E+17
北京香山旅游文化发展有限公司,91110108051426749L
北京张郭庄投资管理公司,91110106102151379N
北京市土地整理储备中心朝阳分中心,12110000777051237Y
北京市燃气集团有限责任公司,91110000795951626B
北京庆隆建设管理有限公司,91110229MA01KBNG4U
北京龙徽国际酒文化创意产业有限公司,91110108MA019QM32G
北京市交通委员会路政局,11110000749353334T
北京四海华辰科技有限公司,9.11E+17
北京市工业设计研究院,
北京京投丰德房地产有限公司,91110106MA01HQ6A1G
北京市密云区卫生健康委员会,11110228335493628D
北京市顺义区园林绿化局,
北京市首都公路发展集团有限公司,91110000700221058P
北京住总绿都投资开发有限公司,91110000318330974R
北京宇盛宏利房地产开发有限公司,9.11E+17
北京城市副中心投资建设集团有限公司,9.11E+17
北京宝嘉恒基础设施投资有限公司,9.11E+17
北京市大兴区教育委员会,1.11E+17
北京市延庆区大庄科乡人民政府,1.11E+17
北京市消防救援总队,1.11E+17
北京市延庆区城市管理委员会,
北京京诚集团有限责任公司,91110000MA009TQB0N
北京市延庆区城市管理委员会,
北京安兴众联置业有限公司,91110115MA00CYB720
丰台区园林绿化局,
北京璟鑫达房地产开发有限公司,91110107MA01NCE807
北京城市副中心投资建设集团有限公司,9.11E+17
国瑞兴业（北京）投资有限公司,
北京顺鑫农业股份有限公司,91110000633712032W
北京恒盛宏大道路投资有限公司,91110106685123272E
北京市交通委员会路政局,11110000749353334T
北京市房山区交通局,1.11E+17
北京城市排水集团有限责任公司,9.11E+17
通州区园林绿化局,
北京东方祥瑞置业有限公司,91110105MA006JY83B
北京市密云区水务局,11110228000107959W
北京市延庆区八达岭镇大浮坨村村民委员会,54110119756728157T
首都医科大学,12110000400688529J
国家体育场有限责任公司,91110000717850272F
北京泛海东风置业有限公司,91110000753300411D
北京高端制造业（房山）基地管理委员会,
北京裕聪置业有限公司,91110114MA01P36L27
北京市朝阳区园林绿化局,11110105733481657Q
北京市十三陵林场,1.21E+17
北京市自来水集团有限责任公司,91110000101358044Q
北京市丰台区发展和改革委员会,11110106000062711B
北京市昌平区水务局,11110221000102859X
北京市基础设施投资有限公司平谷投资管理分公司,
北京市延庆区大榆树中心小学,12110229401021566E
北京市石景山区人民政府广宁街道办事处,
国网北京市电力公司,9.11E+17
北京房山国有资产经营有限责任公司,91110111670559161P
北京金旭开泰房地产开发有限公司,91110105MA01YERL51
北京中天富通房地产开发有限公司,9.11E+17
国网北京市电力公司,9.11E+17
北京市基础设施投资有限公司,
国网北京市电力公司丰台供电公司,
北京市门头沟区城市管理委员会（北京市门头沟区城乡环境建设管理委员会办公室）,
北京华富新业房地产开发有限公司,9.11E+17
北京市八大处公园管理处,12110107400866698X
北京世界园艺博览会事务协调局,1.21E+17
北京市交通委员会顺义公路分局,1211000040070914XP
