   序号,证书状态,证书形式,证号,企业名称,法人代表,行政相对人代码,注册地址,经济类型,许可机关,核发日期,前一次有效期,延期有效期,,
2452,有效,电子,（京）JZ安许证字[2023]012907,北京金壁建设工程有限公司,/,91110302MA00C68N83,北京市门头沟区杨坨粮库院内CZ0089室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-08,2023-05-10,2026-05-07,,
2453,有效,电子,（京）JZ安许证字[2023]012930,中国建筑标准设计研究院有限公司,/,91110000H52625911G,北京市海淀区首体南路9号,有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-03-28,2023-05-17,2026-03-27,,
2454,有效,电子,（京）JZ安许证字[2020]012962,北京华正亿通建筑工程有限责任公司,/,91110114MA007GEF0Q,北京市门头沟区门头沟路11号院5号楼19层1905,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-25,2023-06-16,2026-05-24,,
2455,有效,电子,（京）JZ安许证字[2023]013006,北方天昊工程有限公司,/,91110112MA0065HW3C,北京市通州区台湖北里29号楼9层952室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-13,2023-05-24,2026-04-12,,
2456,有效,电子,（京）JZ安许证字[2023]013010,北京富永盛建筑工程有限公司,/,91110114MA00CMKC8M,北京市昌平区城北街道鼓楼南街4幢4层442,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-24,2023-05-13,2026-04-23,,
2457,有效,电子,（京）JZ安许证字[2020]011834,北京康铖桩基工程有限公司,/,9111011305556943XP,北京市顺义区赵全营镇牛板路板桥段43号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-18,2020-05-08,2023-09-01,,
2458,有效,电子,(京)JZ安许证字〔2023〕012148,中嘉能源管理(北京)有限公司,/,9111011169957789X6,北京市昌平区回龙观镇昌平路387号7号楼一层西侧,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-14,2023-03-18,2026-02-13,,
2459,有效,电子,（京）JZ安许证字[2023]012152,北京酉未建筑劳务有限公司,/,91110117MA009BRD48,北京市房山区长阳万兴路86号-N3740(集群注册),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-08,2023-04-20,2026-03-07,,
2460,有效,电子,(京)JZ安许证字〔2023〕012156,北京北旗建设工程有限公司,/,91110111MA00AQ9BXP,北京市大兴区双河南里小区锅炉房东侧院内楼房第二层房屋,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-10,2023-03-31,2026-02-09,,
2461,有效,电子,（京）JZ安许证字[2023]012160,北京易恒建筑工程有限公司,/,91110113306666948Y,北京市顺义区顺仁路55号院5号楼2层210,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-28,2023-05-13,2026-04-27,,
2462,有效,电子,（京）JZ安许证字[2023]013070,北京华东胜源建筑工程有限公司,/,91110112MA008FUH1B,北京市北京经济技术开发区(通州)景盛南一街28号院7号楼13层1305室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-11,2023-06-15,2026-05-10,,
2463,有效,电子,（京）JZ安许证字[2020]013159,北京合清环保技术有限公司,/,91110113MA00525G2R,北京市顺义区赵全营镇兆丰产业基地园盈路7号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-31,2023-06-28,2026-05-30,,
2464,有效,电子,（京）JZ安许证字[2023]013165,中邺鑫利(北京)建设工程有限公司,/,91110109MA00BLCL2D,北京市门头沟区石龙经济开发区平安路5号4幢DY032,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-12,2023-06-17,2026-05-11,,
2465,有效,电子,（京）JZ安许证字[2023]013225,中消联盟(北京)消防工程技术有限公司,/,91110111MA0012E15T,北京市房山区良乡长虹西路翠柳东街1号-3081,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-17,2023-07-06,2026-05-16,,
2466,有效,电子,（京）JZ安许证字[2023]013226,仟亿达集团股份有限公司,/,91110113762992739Q,北京市顺义区高丽营镇金马工业区94号,股份有限公司(非上市、自然人投资或控股),北京市住房和城乡建设委员会,2023-05-22,2023-06-21,2026-05-21,,
2467,有效,电子,（京）JZ安许证字[2023]013325,北京华夏天宇建筑装饰有限责任公司,/,9111010567381982XP,北京市朝阳区左家庄中街2号力鸿生态家园公寓16层1603号,有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-05-10,2023-07-15,2026-05-09,,
2468,有效,电子,（京）JZ安许证字[2023]012162,中工益强建设工程(北京)有限公司,/,91110109MA0084D12L,北京市门头沟区石龙南路10号A-192室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-04-23,2023-05-13,2026-04-22,,
2469,有效,电子,（京）JZ安许证字[2020]012165,北京华盛天意建设工程有限公司,/,91110302MA004L9A5A,北京市丰台区航丰路1号院2号楼5层511-7,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-06-15,2023-06-27,2026-06-14,,
2470,有效,电子,（京）JZ安许证字[2023]013773,北京建天伟业建筑工程有限公司,/,91110109MA007QQNX5,北京市门头沟区斋堂镇政府南楼633室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-08,2023-07-22,2026-05-07,,
2471,有效,电子,（京）JZ安许证字[2020]013793,北京金申林艺建筑工程有限公司,/,911101093180587558,北京市门头沟区三家店东街51号一层(天助立业众创空间)0435,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-06-06,2023-07-09,2026-06-05,,
2472,有效,电子,（京）JZ安许证字[2023]013015,北京汇欣生态建设有限公司,/,91110106772560972G,北京市怀柔区开放路113号南四层409室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-04-27,2023-05-19,2026-04-26,,
2473,有效,电子,（京）JZ安许证字[2023]013093,北京华博通力电力工程有限公司,/,91110111MA00DUYT3T,北京市房山区卓秀北街8号院1号楼6层602室,其他有限责任公司,北京市住房和城乡建设委员会,2023-04-07,2023-05-25,2026-04-06,,
2474,有效,电子,(京)JZ安许证字〔2023〕012172,富海展览(北京)有限公司,/,911101175977243263,北京市平谷区大华山镇大华山大街238号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-17,2023-03-23,2026-02-16,,
2475,有效,电子,（京）JZ安许证字[2023]012884,北京敬业君诚建筑工程有限公司,/,91110115MA008B561H,北京市北京经济技术开发区荣华南路10号院5号楼17层2011-3,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-11,2023-05-25,2026-05-10,,
2476,有效,电子,（京）JZ安许证字[2023]012912,北京启源汇和建设工程有限公司,/,91110116MA009CUH90,北京市怀柔区怀北镇怀北路308号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-27,2023-06-10,2026-04-26,,
2477,有效,电子,（京）JZ安许证字[2020]012890,北京兴华茂源建筑工程有限公司,/,911101158028625340,北京市大兴区榆垡镇榆顺路12号一层1-136室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-06-09,2023-06-27,2026-06-08,,
2478,有效,电子,（京）JZ安许证字[2023]012914,北京卓祥建筑劳务有限公司,/,91110116MA0063PP1E,北京市怀柔区雁栖经济开发区雁栖路33号院1号103室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-15,2023-05-06,2026-03-14,,
2479,有效,电子,（京）JZ安许证字[2020]013332,北京凯云市政工程有限公司,/,91110113102955895E,北京市顺义区北石槽镇人民政府院内,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-07-03,2023-07-23,2026-07-02,,
2480,有效,电子,（京）JZ安许证字[2020]013572,北京中兴顺达工程技术有限公司,/,91110114575224339L,北京市昌平区回龙观镇金燕龙大厦20层26号,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-06-21,2023-07-06,2026-06-20,,
2481,有效,电子,（京）JZ安许证字[2023]012975,北京北清环科环境工程有限公司,/,91110302335507209Q,北京市北京经济技术开发区地盛北街1号院32号楼2层201-11A,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-05-06,2023-05-19,2026-05-05,,
2482,有效,电子,(京)JZ安许证字〔2023〕011995,北京逸盛建筑工程有限公司,/,91110111MA009DB87L,北京市房山区周口店镇良各庄村四区101,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-03,2023-04-13,2026-02-02,,
2483,有效,电子,(京)JZ安许证字〔2023〕011996,北京瑞鑫宇业建筑劳务有限公司,/,91110109MA00A6TR38,北京市门头沟区斋堂镇政府南楼630室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-02-28,2023-03-12,2026-02-27,,
2484,有效,电子,(京)JZ安许证字〔2023〕012010,北京金都泰拓冶金技术研究有限公司,/,91110229789987761A,北京市延庆区八达岭工业开发区康西路745号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-03,2023-03-12,2026-02-02,,
2485,有效,电子,（京）JZ安许证字[2023]012012,北京国源建设有限公司,/,91110228098793132U,北京市北京经济技术开发区博兴九路2号院4号楼6层712,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-14,2023-04-02,2026-03-13,,
2486,有效,电子,（京）JZ安许证字[2023]014855,北京饶益建筑工程有限公司,/,91110115MA001TKA08,北京市大兴区北臧村镇魏永路北侧北京合众力源农业高科技有限责任公司院内四幢平房013室(集群注册),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-07-12,2023-03-15,2026-02-16,,
2487,有效,电子,（京）JZ安许证字[2020]013310,北京鑫佳润达建筑工程有限公司,/,91110304MA00DE1TXY,北京市房山区燕山燕房路临99号金融楼三层309室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-06-28,2023-07-12,2026-06-27,,
2488,有效,电子,（京）JZ安许证字[2020]013364,北京中创绿色系统科技有限公司,/,91110113318332734Q,北京市顺义区李桥镇顺通路李桥段60号-1,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-06-06,2023-07-02,2026-06-05,,
2489,有效,电子,（京）JZ安许证字[2020]013367,北京京徽鼎力建筑工程有限公司,/,91110112MA002Y3C8H,北京市门头沟区龙兴南二路6号院1号楼910室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-07-03,2023-07-12,2026-07-02,,
2490,有效,电子,（京）JZ安许证字[2023]013390,北京杰成林建筑装饰工程有限公司,/,91110114306315398T,北京市昌平区回龙观镇龙兴园物业西二楼001,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-05-08,2023-06-09,2026-05-07,,
2491,有效,电子,（京）JZ安许证字[2023]013446,北京雅欣建筑装饰工程有限公司,/,91110111MA00EBJ55B,北京市房山区城关街道顾八路1区1号-T316,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-08,2023-06-09,2026-05-07,,
2492,有效,电子,（京）JZ安许证字[2023]013544,中泰恒宣(北京)建设工程有限公司,/,91110109MA00D4GE53,北京市门头沟区杨坨粮库院内CZ0912室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-16,2023-06-11,2026-03-15,,
2493,有效,电子,（京）JZ安许证字[2020]013547,倍杰特集团股份有限公司,/,911101157667548264,北京市北京经济技术开发区荣华中路8号院8号楼4层501(北京自贸试验区高端产业片区亦庄组团),股份有限公司(上市、自然人投资或控股),北京市住房和城乡建设委员会,2023-06-15,2023-06-16,2026-06-14,,
2494,有效,电子,（京）JZ安许证字[2023]013598,北京瑞鼎鸿业建筑科技有限公司,/,911101133302947773,北京市顺义区北务镇南辛庄户村中大街213号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-10,2023-07-16,2026-05-09,,
2495,有效,电子,（京）JZ安许证字[2023]013047,北京首科兴业工程技术有限公司,/,911101076977267088,北京市门头沟区石龙经济开发区永安路20号3号楼A-4250室,其他有限责任公司,北京市住房和城乡建设委员会,2023-05-12,2023-06-21,2026-05-11,,
2496,有效,电子,（京）JZ安许证字[2020]013051,北京鑫新荣建筑劳务有限公司,/,91110113MA00AWAB2K,北京市顺义区仁和镇林河北大街21号院1幢2单元1206室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-06-16,2023-07-14,2026-06-15,,
2497,有效,电子,（京）JZ安许证字[2023]013056,中建国环(北京)建设工程有限公司,/,91110117MA009CL61J,北京市门头沟区雁翅镇高芹路1号院YC-0004,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-23,2023-06-08,2026-04-22,,
2498,有效,电子,（京）JZ安许证字[2020]013058,中冶兴隆(北京)建设工程有限公司,/,91110109MA00CHT70B,北京市门头沟区大台商贸公司玉皇庙门市部2幢1至2层DT0027,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-06-07,2023-07-05,2026-06-06,,
2499,有效,电子,（京）JZ安许证字[2023]014204,北京金诺珩科技发展有限公司,/,911101125620642762,北京市通州区潞苑南大街甲560号B区105-A130,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-05,2023-05-07,2026-05-04,,
2500,有效,电子,（京）JZ安许证字[2023]012259,北京腾云建筑工程有限公司,/,91110111335527875U,北京市房山区大安山乡瞧煤涧村村委会东100米,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-19,2023-05-12,2026-04-18,,
2501,有效,电子,（京）JZ安许证字[2023]012274,北京艺美嘉展览展示有限公司,/,91110114771590790L,北京市昌平区城北街道石坊院21号17层1716,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-14,2023-05-24,2026-03-13,,
2502,有效,电子,（京）JZ安许证字[2023]014723,北京中装兴业建筑工程有限公司,/,91110115MA009M0Q9G,北京市大兴区北兴路(东段)2号院19号楼9层901室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-09,2023-04-01,2026-03-08,,
2503,有效,电子,（京）JZ安许证字[2023]012536,北京天中方环保科技有限公司,/,91110114778623356R,北京市昌平区科技园区创新路11号创业大厦631室,其他有限责任公司,北京市住房和城乡建设委员会,2023-03-13,2023-05-28,2026-03-12,,
2504,有效,电子,（京）JZ安许证字[2020]013425,北京天虹国际机电安装工程有限公司,/,91110109MA00BNGK5T,北京市门头沟区妙峰山镇政府大院南楼MFS1010室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-06-12,2023-07-07,2026-06-11,,
2505,有效,电子,（京）JZ安许证字[2023]013478,北京中天集创工程技术有限公司,/,91110114MA006F860E,北京市石景山区鲁谷东街26号1号楼A座三层7-1号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-24,2023-08-10,2026-05-23,,
2506,有效,电子,（京）JZ安许证字[2023]013483,北京旭日腾飞建筑工程有限公司,/,91110115MA003D4M4C,北京市大兴区采育镇凤德路8号8号楼一层188号(集群注册),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-14,2023-06-09,2026-03-13,,
2507,有效,电子,（京）JZ安许证字[2023]012327,北京首诚建设有限公司,/,911101115658250428,北京市房山区窦店镇田家园村村委会西350米,其他有限责任公司,北京市住房和城乡建设委员会,2023-03-30,2023-04-28,2026-03-29,,
2508,有效,电子,（京）JZ安许证字[2023]012334,北京燕腾翔装饰工程有限公司,/,91110111MA002EHX44,北京市房山区书院南街10号院11号楼7层702,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-04-25,2023-05-11,2026-04-24,,
2509,有效,电子,（京）JZ安许证字[2023]012358,万博克环保科技(北京)有限公司,/,91110114700208136N,北京市昌平区科技园区东区产业基地景兴街18号院2号楼4层403室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-08,2023-05-10,2026-05-07,,
2510,有效,电子,（京）JZ安许证字[2020]012904,北京首钢机电有限公司,/,91110000801102920M,北京市石景山区老山东里,其他有限责任公司,北京市住房和城乡建设委员会,2023-05-31,2023-07-02,2026-05-30,,
2511,有效,电子,（京）JZ安许证字[2023]012913,北京顺旺嘉业建筑工程有限公司,/,91110109MA00BT479K,北京市门头沟区妙峰山镇政府大院南楼MFS1013室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-05-04,2023-06-02,2026-05-03,,
2512,有效,电子,（京）JZ安许证字[2023]012919,北京冰河消防工程有限公司,/,911101156916514779,北京市大兴区瀛海镇瀛元街5号北京兰天方圆铝塑门窗有限公司210室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-07,2023-05-08,2026-03-06,,
2513,有效,电子,（京）JZ安许证字[2023]012921,北京顺城通建设工程有限公司,/,91110113MA009KTH42,北京市顺义区李桥镇机场东路6号院13号楼3层323,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-25,2023-06-23,2026-04-24,,
2514,有效,电子,（京）JZ安许证字[2023]013116,北京博瑞诚建设工程有限公司,/,911101115674505554,北京市房山区石楼镇大次洛村二区49号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-10,2023-05-25,2026-03-09,,
2515,有效,电子,（京）JZ安许证字[2023]013117,北京易喜顺建筑装饰有限公司,/,91110117575198716U,北京市平谷区马坊物流基地东区28号,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-04-06,2023-05-13,2026-04-05,,
2516,有效,电子,（京）JZ安许证字[2020]013142,北京硕达伟业市政工程有限公司,/,91110116MA00A8PD90,北京市怀柔区庙城镇庙城村十字街南320号,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-06-06,2023-07-15,2026-06-05,,
2517,有效,电子,（京）JZ安许证字[2020]013281,北京金壹工程技术有限公司,/,91110111MA00CLRNXG,北京市房山区长阳镇昊天北大街15号1幢2层029,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-30,2023-06-28,2026-05-29,,
2518,有效,电子,（京）JZ安许证字[2020]013280,中科同德(北京)生态科技有限公司,/,91110111357943650C,北京市房山区良乡凯旋大街建设路18号-C1355,有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-07-10,2023-07-13,2026-07-09,,
2519,有效,电子,（京）JZ安许证字[2023]013522,北京友谊聚鑫建筑工程有限公司,/,91110113MA00CJG576,北京市房山区石楼镇双柳树村村民委员会东380米,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-12,2023-07-05,2026-05-11,,
2520,有效,电子,（京）JZ安许证字[2020]013590,北京弘源达建筑有限公司,/,91110115MA00C8370D,北京市大兴区兴华大街(二段)3号院2号楼23层2712,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-07-04,2023-07-12,2026-07-03,,
2521,有效,电子,（京）JZ安许证字[2020]012751,北京铠钺防护科技有限公司,/,91110229099829651K,北京市延庆区康庄镇工业开发区天佑路东区5号地101(中关村延庆园),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-06-05,2023-06-29,2026-06-04,,
2522,有效,电子,（京）JZ安许证字[2020]014875,中海恒泰(北京)国际工程建设有限公司,/,91110115MA001YNK5Y,北京市大兴区黄村镇南大庄村东中国化学工程重型机械化有限公司院内21幢平房130,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-06-26,2023-07-12,2026-06-25,,
2523,有效,电子,（京）JZ安许证字[2023]012846,北京神州永创建筑劳务有限公司,/,91110113MA00A5080B,北京市顺义区杨镇地区纵二路7-90号,有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-05-16,2023-06-17,2026-05-15,,
2524,有效,电子,（京）JZ安许证字[2020]013213,北京兄弟和扬机电工程有限公司,/,91110105599681825J,北京市密云区鼓楼东大街3号山水大厦3层313室-3848(集群注册),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-06-26,2023-08-18,2026-06-25,,
2525,有效,电子,（京）JZ安许证字[2023]013221,华程远大(北京)建筑工程有限公司,/,91110112344236906G,北京市通州区永乐店镇柴厂屯村东(联航大厦)1-621号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-08,2023-06-22,2026-05-07,,
2526,有效,电子,（京）JZ安许证字[2023]012750,北京天久建设集团有限公司,/,91110112MA00CF9N92,北京市通州区新华西街58号院2号楼28层2812,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-25,2023-05-17,2026-04-24,,
2527,有效,电子,（京）JZ安许证字[2023]013710,北京华晟鑫源建设工程有限公司,/,91110113MA0068WB5K,北京市怀柔区汤河口镇庄户沟门村60号1,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-05-10,2023-06-27,2026-05-09,,
2528,有效,电子,（京）JZ安许证字[2023]013981,北京堉远建设工程有限公司,/,91110109MA00E69QX6,北京市门头沟区妙峰山镇政府大院南楼MFS1038室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-12,2023-07-07,2026-05-11,,
2529,有效,电子,（京）JZ安许证字[2023]013614,北京安讯宝建设工程有限公司,/,91110114MA005PUR4C,北京市昌平区天通中苑二区41号楼22层2204,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-12,2023-06-17,2026-05-11,,
2530,有效,电子,（京）JZ安许证字[2020]013617,北京中智恒泰电气科技有限公司,/,91110112061332877A,北京市北京经济技术开发区(通州)环科东一路14号2幢2层202-2005,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-31,2023-06-22,2026-05-30,,
2531,有效,电子,（京）JZ安许证字[2023]011894,中投电力(北京)建设工程有限公司,/,91110111351579528F,北京市房山区良乡凯旋大街建设路18号-D862,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-31,2023-04-01,2026-02-20,,
2532,有效,电子,（京）JZ安许证字[2023]012375,北京金易利通市政工程有限公司,/,91110109MA00A0861W,北京市门头沟区石龙南路10号C-310室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-05-09,2023-05-21,2026-05-08,,
2533,有效,电子,（京）JZ安许证字[2023]013271,北京南通国强装饰有限公司,/,91110108790658746P,北京市房山区良乡凯旋大街建设路18号-12587,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-04-11,2023-06-15,2026-04-10,,
2534,有效,电子,（京）JZ安许证字[2023]013290,北京一实建设工程有限公司,/,91110111MA00CBQN6J,北京市门头沟区金沙西街17号院5号楼9层903室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-09,2023-07-16,2026-05-08,,
2535,有效,电子,(京)JZ安许证字〔2020〕013291,北京北开建筑劳务有限公司,/,91110228MA00ATP69C,北京市密云区鼓楼东大街3号山水大厦3层313室-1639(云创谷经济开发中心集中办公区),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2020-08-25,2020-08-15,2023-08-24,,
2536,有效,电子,（京）JZ安许证字[2020]013300,北京北恒伟业建筑装饰工程有限公司,/,91110109562102041F,北京市门头沟区雁翅镇高芹路乙23号,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-06-05,2023-07-14,2026-06-04,,
2537,有效,电子,（京）JZ安许证字[2023]013301,天诚东美(北京)建筑工程有限公司,/,91110228318263791E,北京市密云区东邵渠镇政府办公楼210室-465 (东邵渠镇集中办公区),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-22,2023-06-17,2026-05-21,,
2538,有效,电子,（京）JZ安许证字[2023]013309,北京通达顺业劳务有限公司,/,91110113692331619N,北京市顺义区高丽营镇文化营村北(游乐园),其他有限责任公司,北京市住房和城乡建设委员会,2023-04-10,2023-05-27,2026-04-09,,
2539,有效,电子,（京）JZ安许证字[2023]011849,北京宏岳建筑劳务有限公司,/,91110113MA001U8C3F,北京市顺义区高丽营镇河津营村津南街47号,有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-03-08,2023-04-12,2026-03-07,,
2540,有效,电子,（京）JZ安许证字[2023]012674,北京聚源晟建筑劳务有限公司,/,91110109MA00B80D5L,北京市门头沟区斋堂大街45号科技楼ZT028室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-04,2023-05-27,2026-05-03,,
2541,有效,电子,（京）JZ安许证字[2023]012864,北京城乡林升建筑装饰工程有限公司,/,91110111799988012H,北京市房山区良乡中路2号2幢310室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-08,2023-04-25,2026-03-07,,
2542,有效,电子,（京）JZ安许证字[2023]2213091,北京水木清美装饰工程有限公司,/,911101145825957607,北京市昌平区回龙观西大街9号院4号楼4层502,有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-05-16,2023-05-17,2026-05-15,,
2543,有效,电子,（京）JZ安许证字[2023]013347,北京九路通市政园林工程有限公司,/,9111011434422354XL,北京市昌平区马池口镇白浮村779号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-27,2023-06-23,2026-04-26,,
2544,有效,电子,（京）JZ安许证字[2020]013691,北京盈丰园林工程有限公司,/,911101166916618009,北京市怀柔区杨宋镇凤翔东大街9号9334室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-06-06,2023-07-12,2026-06-05,,
2545,有效,电子,（京）JZ安许证字[2023]011955,北京市京城美瑜建筑工程有限公司,/,91110228357930040M,北京市密云区新城子镇政府大街9号政府办公楼106室-617,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-23,2023-05-07,2026-03-22,,
2546,有效,电子,（京）JZ安许证字[2023]011956,北京雅宝阁建筑装饰有限公司,/,91110228699647544P,北京市密云区河南寨镇下屯村下团路19甲,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-11,2023-05-07,2026-04-10,,
2547,有效,电子,(京)JZ安许证字〔2023〕011957,燚鼎(北京)建筑装饰有限公司,/,91110111MA0097KL4R,北京市密云区鼓楼东大街3号山水大厦3层313室-3540(集群注册),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-02-20,2023-04-02,2026-02-19,,
2548,有效,电子,（京）JZ安许证字[2023]011976,北京奥远通达建设工程有限公司,/,91110111584407938F,北京市房山区琉璃河镇立教村村委会东100米,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-16,2023-05-08,2026-04-15,,
2549,有效,电子,（京）JZ安许证字[2020]011885,北京嘉源宏城建筑工程有限公司,/,91110228MA008W0Q0F,北京市密云区河南寨镇密顺路18号产业基地办公楼420室-3992(集群注册),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-14,2020-05-16,2023-10-21,,
2550,有效,电子,(京)JZ安许证字〔2023〕011888,北京新胜建筑工程有限公司,/,91110109MA008TQ48P,北京市房山区良乡长虹西路翠柳东街1号-1631,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-02-13,2023-03-30,2026-02-12,,
2551,有效,电子,（京）JZ安许证字[2023]012602,北京金瓴建筑工程有限公司,/,91110111MA00A98FXR,北京市房山区长阳镇昊天北大街15号1幢1层045,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-21,2023-05-19,2026-03-20,,
2552,有效,电子,（京）JZ安许证字[2023]012613,北京博天建筑劳务有限公司,/,91110109MA00B8607F,北京市密云区兴盛南路8号院2号楼106室-2095(商务区集中办公区),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-31,2023-06-02,2026-03-30,,
2553,有效,电子,（京）JZ安许证字[2023]012614,中冶昌盛(北京)建设工程有限公司,/,91110109MA00CHU77N,北京市门头沟区大台商贸公司玉皇庙门市部2幢1至2层DT0028,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-23,2023-05-05,2026-04-22,,
2554,有效,电子,（京）JZ安许证字[2023]012226,北京通达伟业建筑工程有限公司,/,91110109MA009W986N,北京市门头沟区石龙经济开发区永安路20号3号楼A-4852室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-23,2023-05-19,2026-03-22,,
