行政相对人名称,行政相对人代码1(统一社会信用代码),行政相对人代码2(工商注册号),行政相对人代码3(组织机构代码),行政相对人代码4(税务登记号),行政相对人代码5(事业单位证书号),行政相对人代码6(社会组织登记证号),法定代表人,法定代表人证件类型,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财物的金额（万元）,暂扣或吊销证照名称及编号,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,备注,/
北京兴顺广通商贸有限公司,911101175808564880,/,/,/,/,/,张*库,身份证,京交法(13)字高2020239,违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定,"北京兴顺广通商贸有限公司取得道路货物运输经营许可使用无道路运输证车辆参加货物运输,此行为违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定,根据《道路货物运输及站场管理规定》第五十九条第(一)款之规定,应给予处罚。",根据《道路货物运输及站场管理规定》第五十九条第(一)款之规定,罚款,"2020年8月11日20时00分李洪祥驾驶的京G76982号货物运输车辆,行驶至延庆区康庄高速综检站,经执法人员李文俊(执法证号:11310135)、苏靖(执法证号:11310057),示证检查:车辆所属北京兴顺广通商贸有限公司 ,该车运输货物为空车,从怀来到顺义,该道路货物运输经营者已取得道路运输经营许可证,参加货物运输的京G76982号货物运输车辆无道路运输证,此行为属于取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输的行为,此行为违反了《道路货物运输及站场管理规定》第五十八条第(一)款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2020-08-11,2021-08-11,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
江苏双盛物流有限公司,91320192MA1MG46H4M,/,/,/,/,/,王*波,身份证,京交法(13)字高2020246,违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定,"江苏双盛物流有限公司得道路货物运输经营许可使用无道路运输证车辆参加货物运输,此行为违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定,根据《道路货物运输及站场管理规定》第五十九条第(一)款之规定,应给予处罚。",根据《道路货物运输及站场管理规定》第五十九条第(一)款之规定,罚款,"2020年8月11日18时00分武耀飞驾驶的京AJE736号货物运输车辆,行驶至延庆区康庄高速综检站,经执法人员李文俊(执法证号:11310135)、 苏靖(执法证号:11310057),示证检查:车辆所属北京德美博瑞运输有限公司该车运输货物为空车,从张家口到北京,该道路货物运输经营者已取得道路运输经营许可证,参加货物运输的京AJE736号货物运输车辆无道路运输证,此行为属于取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输的行为,此行为违反了《道路货物运输及站场管理规定》第五十八条第(一)款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2020-08-11,2021-08-11,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京春林发建筑工程有限公司,911102295768748198,/,/,/,/,/,柳*林,身份证,(京延)应急罚〔2020〕071号,安全生产资金投入类违法,未为从业人员提供符合标准的劳动防护用品,依据《中华人民共和国安全生产法》第九十六条第(四)项的规定,罚款,未为从业人员提供符合标准的劳动防护用品,0.6,/,/,2020-08-12,2020-08-27,/,北京市延庆区应急管理局,11110229764241445C,/,北京市延庆区应急管理局,11110229764241445C,/
北京春林发建筑工程有限公司,911102295768748198,/,/,/,/,/,柳*林,身份证,(京延)应急罚〔2020〕072号,安全生产隐患管理类违法,未将事故隐患排查治理情况如实记录,依据《中华人民共和国安全生产法》第九十四条第(五)项,罚款,未将事故隐患排查治理情况如实记录,0.6,/,/,2020-08-12,2020-08-27,/,北京市延庆区应急管理局,11110229764241445C,/,北京市延庆区应急管理局,11110229764241445C,/
中交富力和美(北京)置业有限公司,91110229MA01GWUR45,/,/,/,/,/,宗*,身份证,京建法罚(延建)字[2020]第720050号,违反了《商品房销售管理办法》第二十三条,在房屋销售过程中未在售楼场所内未明示《商品房销售管理办法》,《商品房销售管理办法》第四十二条,罚款,罚款10000元,1,/,/,2020-08-11,2020-08-26,/,北京市延庆区住房和城乡建设委员会,89110229MCL004126C,/,北京市延庆区住房和城乡建设委员会,89110229MCL004126C,/
北京九龙祥和客运有限公司,9111011168510707XB,/,/,/,/,/,张*治,身份证,京交法(13)字客运20200011,违反了《北京市道路运输条例》第十三条第(五)项之规定,"该企业专业人员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。根据《北京市道路运输条例》第五十七条第(三)项和《北京市交通运输行政处罚裁量基准》的规定,应予处罚。",根据《北京市道路运输条例》第五十七条第(三)项和《北京市交通运输行政处罚裁量基准》的规定,罚款,"2020年8月11日11时10分,李晓龙驾驶的京AS8116号大型普通客车,行驶至延庆区康庄小区路口,经执法人员时岳峰(执法证号:11310096)、孙建伟(执法证号:11310036)示证检查:该车所有人为北京九龙祥和客运有限公司,该车承载15名乘客,两名司机一名乘务员,由北京新发地发车到内蒙古宝昌。该车已取得普通客运道路运输证,该企业专业人员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-08-14,2020-08-14,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
高安市昌鼎汽运有限公司?,91360983MA381XQN9L,/,/,/,/,/,高*波,身份证,京交法(13)字伍20081501,违反了《中华人民共和国道路运输条例》第七十条第二款之规定,"高安市昌鼎汽运有限公司擅自改装已取得道路运输证车辆,违反了《中华人民共和国道路运输条例》第七十条第二款之规定,根据《中华人民共和国道路运输条例》第七十条第二款之规定,应予处罚。",根据《中华人民共和国道路运输条例》第七十条第二款之规定,罚款,"2020年8月15日9时00分,田富强驾驶的赣C4865U号货物运输车辆,行驶至延庆区张伍堡治超站,经执法人员赵静(执法证号:11310109)、侯文忠(执法证号:11310051)示证检查:该车取得普通货物道路运输证,运输货物为级配石,从延庆区到昌平区,在检查过程中,执法人员发现,该车在车厢两侧栏板原基础上加高了700毫米,这是属于擅自改装已取得道路运输证车辆的行为。此行为违反了《中华人民共和国道路运输条例》第七十条第二款之规定。以上违法事实有现场笔录、询问笔录、照片资料、证件复印件等予以佐证。当事人无陈述申辩意见。",0.8,/,/,2020-08-15,2020-08-15,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京金利永通建筑工程有限公司,911102293974650245,/,/,/,/,/,和*素,身份证,京交法(13)字稽20080301,违反了《北京市道路运输条例》第十三条第(五)项之规定,"北京金利永通建筑工程有限公司未按规定携带驾驶员从业资格证驾驶京AT8170号货物运输车辆,此行为违反了《北京市道路运输条例》第十三条第(五)项之规定,根据《北京市道路运输条例》第五十七条第(三)项的规定,应予处罚。",根据《北京市道路运输条例》第五十七条第(三)项的规定,罚款,"2020年8月3日9时58分,王建平驾驶的京AT8170号货物运输车辆,行驶至延庆区司家营,经执法人员付景腾(执法证号:11310126)、洪山(执法证号:11310118)示证检查:该车取得普通货物道路运输证,驾驶空车,从河北文安到延庆,该企业专业人员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-08-03,2020-08-03,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京市一家亲货运有限公司,911101056819856419,/,/,/,/,/,陈*起,身份证,京交法(13)字稽20072301,违反了《北京市道路运输条例》第十三条第(五)项之规定,"北京市一家亲货运有限公司未按规定携带驾驶员从业资格证驾驶京AJM076号货物运输车辆,此行为违反了《北京市道路运输条例》第十三条第(五)项之规定,根据《北京市道路运输条例》第五十七条第(三)项的规定,应予处罚。",根据《北京市道路运输条例》第五十七条第(三)项的规定,罚款,"2020年7月23日9时00分,韩凤林驾驶的京AJM076号货物运输车辆,行驶至延庆区大浮坨高速口,经执法人员刘玉山(执法证号:11310055)、陈萌(执法证号:11310090)示证检查:该车取得普通货物道路运输证,驾驶空车,从北京到延庆,该企业专业人员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-07-23,2020-07-23,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京财富基石商贸有限公司,91110106MA001D6M6D,/,/,/,/,/,陈*玲,身份证,京交法(13)字伍20080302,违反了《道路货物运输及站场管理规定》第五十九条第一款之规定,"北京财富基石商贸有限公司取得道路货物运输经营许可使用无道路运输证车辆参加货物运输一案,违反了《道路货物运输及站场管理规定》第五十九条第一款之规定,根据《道路货物运输及站场管理规定》第五十九条第一款之规定,应予处罚。",根据《道路货物运输及站场管理规定》第五十九条第一款之规定应给予处罚,罚款,"2020年8月3日10时00分,孙泽宇驾驶的京ACT839号货物运输车辆 ,行驶至延庆区张伍堡治超站,经执法人员赵静(执法证号:11310109)、张铁钢(执法证号:11310028)示证检查:车辆所属北京财富基石商贸有限公司 , 运输货物为毛料,从延庆区到昌平区,该公司已取得道路运输经营许可,但使用的车牌号为京ACT839号货物运输车辆未取得道路运输证,此行为属于取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输。违反了《道路货物运输及站场管理规定》第五十九条第一款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.5,/,/,2020-08-03,2020-08-03,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
张家口重泰运输有限责任公司,91130701MA07M5F298,/,/,/,/,/,郭*军,身份证,京交法(13)字稽20080406,违反了《危险货物道路运输安全管理办法》第二十四条第一款之规定,"张家口重泰运输有限责任公司运营中未按照规定制作危险货物运单,此行为违反了《危险货物道路运输安全管理办法》第二十四条第一款之规定,根据《危险货物道路运输安全管理办法》第六十条第一款第(二)项的规定,应予处罚。",根据《危险货物道路运输安全管理办法》第六十条第一款第(二)项的规定,罚款,"2020年8月3日9时46分,司机霍国强押运员霍梦昌驾驶的冀GAL317号危险货物道路运输车辆,行驶至延庆区司家营,经执法人员付景腾(执法证号:11310126)、洪山(执法证号:11310118)示证检查:该车所有人为张家口重泰运输有限责任公司,从长辛店到延庆,运输货物为柴油,在此次检查中该公司在运营中未按照规定制作危险货物运单。此行为违反了《危险货物道路运输安全管理办法》第二十四条第一款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2020-08-04,2020-08-04,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京骏运恒通运输有限公司,91110229MA00CFF33P,/,/,/,/,/,马*雯,身份证,京交法(13)字稽20080402,违反了《北京市道路运输条例》第十三条第(五)项之规定,"北京骏运恒通运输有限公司未按规定携带驾驶员从业资格证驾驶京AHH953号货物运输车辆,违反了《北京市道路运输条例》第十三条第(五)项之规定,根据《北京市道路运输条例》第五十七条第(三)项的规定,应予处罚。",根据《北京市道路运输条例》第五十七条第(三)项的规定,罚款,"2020年8月4日8时30分,汤满昌驾驶的京AHH953号货物运输车辆,行驶至延庆区黄柏寺,经执法人员张志钢(执法证号:11310081)、刘宪(执法证号:11310050)示证检查:该车取得普通货物道路运输证,运输货物为石头,从小河屯到永宁,该企业专业人员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-08-04,2020-08-04,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京芦娅芹货物运输服务部,92110114L25426473C,/,/,/,/,/,芦*芹,身份证,京交法(13)字稽20080407,违反了《道路货物运输及站场管理规定》第五十九条第一款之规定。,"北京芦娅芹货物运输服务部取得道路货物运输经营许可使用无道路运输证车辆参加货物运输,此行为违反了《道路货物运输及站场管理规定》第五十九条第一款之规定。根据《道路货物运输及站场管理规定》第五十九条第一款之规定,应予处罚。",根据《道路货物运输及站场管理规定》第五十九条第一款之规定。,罚款,"2020年8月4日10时30分,司机王立林驾驶的京AJ5597号货物运输车辆 ,行驶至延庆区司家营,经执法人员时岳峰(执法证号:11310096)、付景腾(执法证号:11310126)示证检查:该车从下屯到沈家营,运输货物为打井设备,该车所有人为北京芦娅芹货物运输服务部。该公司已取得道路运输经营许可,但使用的车牌号为京AJ5597号货物运输车辆未取得道路运输证,此行为属于取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输。违反了《道路货物运输及站场管理规定》第五十九条第一款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2020-08-04,2020-08-04,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
常州市金坛建业劳务有限公司,91320413739449287G,/,/,/,/,/,陈*伟,/,京建法罚(延建)字[2020]第720035号,《中华人民共和国建筑法》第四十四条第一款;《北京市建设工程施工现场管理办法》第十三条第一款,"2020年07月21日09点00分至10点00分,北京市延庆区住房和城乡建设委员会执法人员在延庆区延庆新城03街区会展中心东侧一期YQ00-0003-0002等地块二类居住、供电、环卫设施及基础教育用地项目(B-1#住宅楼等20项)施工现场检查常州市金坛建业劳务有限公司施工时,发现施工现场存在:1、施工现场存在个别人员未佩戴安全帽现象,与《建设工程施工现场安全防护、场容卫生及消防保卫标准》(DB11/945-2012)第2.1.6条要求不符,2、施工现场配电箱内配线杂乱,与《建设工程施工现场安全防护、场容卫生及消防保卫标准》(DB11/945-2012)第2.10.11条要求不符,劳务分包单位常州市金坛建业劳务有限公司施工时未严格按照建筑业安全作业规程或者标准进行施工,造成事故隐患,符合违反了《建设工程施工现场安全防护、场容卫生及消防保卫标准》(DB11/945-2012)1-5条技术标准,但不违反强制性条文的的事故隐患情节。",《中华人民共和国建筑法》第七十一条第一款;《北京市建设工程施工现场管理办法》第三十一条,罚款,处5000.00元罚款的行政处罚,0.5,/,/,2020-07-30,2020-08-14,/,北京市延庆区住房和城乡建设委员会,89110229MCL004126C,/,北京市延庆区住房和城乡建设委员会,89110229MCL004126C,/
山东兴之业建筑工程服务有限公司,91371526MA3PJWW698,/,/,/,/,/,沈*兴,身份证,(京延)应急罚〔2020〕066号,安全生产警示标志类违法,"未在有较大危险因素的生产经营场所上设置明显的安全警示标示,违反了《中华人民共和国安全生产法》第三十二条的规定",依据《中华人民共和国安全生产法》第九十六条第(一)项的规定,罚款,"2020年7月22日9时46分,北京市延庆区应急管理局执法人员对在北京市延庆区张山营镇西大庄科村国家雪车雪橇氨制冷机房质量提升施工现场的山东兴之业建筑工程服务有限公司进行安全生产执法检查,发现该单位存在未在较大危险因素的生产经营场所(施工现场)上设置明显安全警示标志一项安全生产隐患,我局执法人员下达了《责令限期整改指令书》,责令限期整改。",0.6,/,/,2020-07-31,2050-07-30,/,北京市延庆区应急管理局,11110229764241445C,/,北京市延庆区应急管理局,11110229764241445C,/
北京畅速快递股份有限公司,91110113584459578Y,/,/,/,/,/,王*福,身份证,京交法(13)字稽20080602,违反了《道路货物运输及站场管理规定》第五十九条第一款之规定。,"北京畅速快递股份有限公司取得道路货物运输经营许可使用无道路运输证车辆参加货物运输,此行为违反了《道路货物运输及站场管理规定》第五十九条第一款之规定。根据《道路货物运输及站场管理规定》第五十九条第一款之规定。应予处罚。",根据《道路货物运输及站场管理规定》第五十九条第一款之规定,罚款,"2020年8月6日10时30分,司机徐猛驾驶的京AMY265号货物运输车辆 ,行驶至延庆区张山营,经执法人员时岳峰(执法证号:11310096)、付景腾(执法证号:11310126)示证检查:该车从乌兰察布到延庆,运输货物为鸡蛋,该车所有人为北京畅速快递股份有限公司。该公司已取得道路运输经营许可,但使用的车牌号为京AMY265号货物运输车辆未取得道路运输证,此行为属于取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输。违反了《道路货物运输及站场管理规定》第五十九条第一款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2020-08-06,2020-08-06,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京富宏兴达汽车运输户,92110229MA01HJAU1R,/,/,/,/,/,赵*媚,身份证,京交法(13)字客运20200008,违反了《中华人民共和国道路运输条例》第八条、第十条之规定,"北京富宏兴达汽车运输户京AGH326号客运车辆未取得道路客运经营许可,擅自从事道路客运经营。违反了《中华人民共和国道路运输条例》第八条、第十条之规定,根据《中华人民共和国道路运输条例》第六十三条之规定,应予处罚。",根据《中华人民共和国道路运输条例》第六十三条之规定,罚款,"2020年7月29日6时00分,区交通局执法大队执法人员孙建伟(执法证号:11310036)、洪山(执法证号:11310118)在北京市延庆区水峪村口执法检查时发现:北京富宏兴达汽车运输户驾驶员梁冬志驾驶的车牌为京AGH326号蓝白色大型普通客车从延庆区水峪村承载二十四名北京俊龙腾达建筑工程有限公司员工到冬奥工地,经调查:京AGH326号蓝白色大型普通客车为北京富宏兴达汽车运输户所有,北京俊龙腾达建筑工程有限公司与北京富宏兴达汽车运输户联系租用,车费每月13500元,月底支付,本次车费未支付,该车驾驶员已取得《中华人民共和国道路运输从业人员从业资格证》,该车使用性质为非营运,北京富宏兴达汽车运输户违反了《中华人民共和国道路运输条例》第八条、第十条之规定,构成了未取得道路客运经营许可,擅自从事道路客运经营。以上违法事实有现场笔录、询问笔录、证明材料等予以佐证,当事人无陈述申辩意见。",4,/,/,2020-07-31,2020-07-31,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京金龙大众酿造有限公司,911101137235911582,/,/,/,/,/,唐*军,身份证,京交法(13)字稽20080701,违反了《北京市道路运输条例》第十三条第(五)项之规定。,"北京金龙大众酿造有限公司未按规定携带驾驶员从业资格证驾驶京AKC059货物运输车辆,此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。根据《北京市道路运输条例》第五十七条第(三)项的规定,应予处罚。",根据《北京市道路运输条例》第五十七条第(三)项的规定,罚款,"2020年8月7日9时00分,王井山驾驶的京AKC059号货物运输车辆,行驶至大浮坨,经执法人员陈萌(执法证号:11310090)、刘玉山(执法证号:11310055)示证检查:该车取得普通货物道路运输证,驾驶空车,从延庆到顺义,该企业专业人员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-08-07,2020-08-07,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
大连新迪建设工程有限公司,91210203777270878W,/,/,/,/,/,孙*松,身份证,延环保监察罚字[2020]025号,《中华人民共和国大气污染防治法》第四十五条,"2020 年5月18日,我局执法人员对该单位进行现场检查,发现该单位露天喷漆,未安装大气污染防治设施。",《中华人民共和国大气污染防治法》第一百零八条第一款第一项,罚款,处以2万元罚款,2,/,/,2020-07-08,2099-12-31,/,北京市延庆区生态环境局,11110229000117903B,/,北京市延庆区生态环境局,11110229000117903B,/
大连新迪建设工程有限公司,91210203777270878W,/,/,/,/,/,孙*松,身份证,延环保监察罚字[2020]026号,《北京市大气污染防治条例》第六十条,"2020 年5月18日,我局执法人员对该单位进行现场检查,发现该焊接作业未安装净化装置或者采取其他措施防止污染周边环境。",《北京市大气污染防治条例》第一百零九条,罚款,处以罚款1万元,1,/,/,2020-07-08,2099-12-31,/,北京市延庆区生态环境局,11110229000117903B,/,北京市延庆区生态环境局,11110229000117903B,/
北京润安东胜科技有限公司,91110111MA01P4H623,/,/,/,/,/,常*荣,身份证,京交法(13)字稽20070602,违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定,"北京润安东胜科技有限公司取得道路货物运输经营许可使用无道路运输证车辆参加货物运输,此行为违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定,根据《道路货物运输及站场管理规定》第五十九条第(一)款之规定,应予处罚。",根据《道路货物运输及站场管理规定》第五十九条第(一)款之规定,罚款,"2020年7月6日9时00分,韩体亮驾驶的京ALU612号货物运输车辆 ,行驶至延庆区康庄高速口,经执法人员孙建伟(执法证号:11310036)、洪山(执法证号:11310118)示证检查:车辆所属北京润安东胜科技有限公司 , 驾驶空车,从南口到延庆。该道路货物运输经营者已取得道路运输经营许可证,但参加货物运输的京ALU612号货物运输车辆无道路运输证,此行为属于取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输的行为,此行为违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2020-07-06,2020-07-06,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京谊兴隆门窗有限责任公司,91110229103045834P,/,/,/,/,/,任*龙,身份证,(京延)应急罚〔2020〕062号,劳动防护用品类违法,未为从业人员提供符合国家标准或者行业标准的劳动防护用品,《中华人民共和国安全生产法》第九十六条第(四)项,罚款,处人民币,0.6,/,/,2020-07-01,2020-07-16,/,北京市延庆区应急管理局,11110229764241445C,/,北京市延庆区应急管理局,11110229764241445C,/
晨唐(北京)技术股份有限公司,9111010668045200X8,/,/,/,/,/,许*勇,身份证,京交法(13)字高2020195,违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定,"晨唐(北京)技术股份有限公司取得道路货物运输经营许可使用无道路运输证车辆参加货物运输,此行为违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定,根据《道路货物运输及站场管理规定》第五十九条第(一)款之规定,应给予处罚。",根据《道路货物运输及站场管理规定》第五十九条第(一)款之规定,罚款,"2020年7月22日18时45分,冯帅江驾驶晨唐(北京)技术股份有限公司的京AAN835号货物运输车辆,行驶至延庆区康庄高速综检站,经执法人员苏靖(执法证号:11310057)、张占利(执法证号:11310120),示证检查:该车运输货物为打磨机,从河北省张家口市到北京通州,在检查过程中执法人员发现,该车属于取得道路货物运输经营许可的货运经营者使用无《道路运输证》的车辆参加货物运输。此行为违反了《道路货物运输及站场管理规定》第五十八条第一款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2020-07-22,2021-07-22,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京时尚爱思酒店管理有限公司,911102290993107967,/,/,/,/,/,张*,/,延水罚字【2020】第13号,《城镇排水与污水处理条例》第二十一条第一款,向城镇排水设施排放污水未向城镇排水主管部门申请领取排入排水管网许可,《城镇排水与污水处理条例》第五十条第一款,罚款,罚款,1,/,/,2020-05-06,2020-05-06,/,北京市延庆区水务局,11110229000117938X,/,北京市延庆区水务局,11110229000117938X,/
北京玉渡山旅游发展有限公司,91110229774074804D,/,/,/,/,/,刘*贤,/,延水罚字【2020】第18号,《北京市水利工程保护管理条例》第九条第八项,在北京市延庆区古城河河道内修建高渠,《北京市水利工程保护管理条例》第二十一条第二项,罚款,罚款,5,/,/,2020-07-09,2020-07-09,/,北京市延庆区水务局,11110229000117938X,/,北京市延庆区水务局,11110229000117938X,/
北京振邦万达机械设备有限公司,91110116551415640F,/,/,/,/,/,王*宇,/,京建法罚(延建)字[2020]第720035号,《建筑起重机械安全监督管理规定》第九条,"2020年06月29日10点00分至11点00分,北京市延庆区住建委执法人员在延庆新城03街区检查设备建筑安全生产情况时发现,北京振邦万达机械设备有限公司出租用于延庆区延庆新城03街区会展中心东侧一期YQ00-0003-0002等地块二类居住、供电、环卫设施及基础教育用地项目(A-1#住宅楼等21项),登记编号为京HR-S41919的施工升降机,未能提供2020年5月的施工升降机月检记录表,缺少一项与《建筑起重机械安全监督管理规定》第九条不符。",《建筑起重机械安全监督管理规定》第二十八条第(三)项,罚款,"给予你单位警告,罚款5000.00元的行政处罚",0.5,/,/,2020-07-06,2020-07-21,/,北京市延庆区住房和城乡建设委员会,89110229MCL004126C,/,北京市延庆区住房和城乡建设委员会,89110229MCL004126C,/
比欧西气体(天津)有限公司北京分公司,91110105795951984R,/,/,/,/,/,王*宇,身份证,京交法(13)字高2020163,违反了《北京危险货物道路运输安全管理办法》第二十四条第一款之规定,"比欧西气体(天津)有限公司 北京分公司在运营中未按照规定制作危险货物运单,此行为违反了《北京危险货物道路运输安全管理办法》第二十四条第一款之之规定。根据《危险货物道路运输安全管理办法》第六十条第一款第(二)项的规定,应予处罚。",根据《危险货物道路运输安全管理办法》第六十条第一款第(二)项的规定,罚款,"2020年7月5日16时00分,司机邱华维押运员李建平驾驶的京AC9459号危险货物道路运输车辆,行驶至北京市延庆区康庄高速综检站,经执法人员祁峰(执法证号:11310091)、贾静坤(执法证号:11310161)示证检查:该车所有人为比欧西气(天津)有限公司 北京分公司锡林浩特到北京朝阳,运输货物为医用液氧,在此次检查中该公司在运营中未按照规定制作危险货物运单。此行为违反了《危险货物道路运输安全管理办法》第二十四条第一款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2020-07-05,2021-07-05,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
天津宝沃运输有限公司,91120224MA05JFQYXE,/,/,/,/,/,郑*军,身份证,京交法(13)字高2020191,违反了《北京市道路运输条例》第十三条第(五)项之规定,"该企业驾驶员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。根据《北京市道路运输条例》第五十七条第(三)项的规定,应予处罚。",根据《北京市道路运输条例》第五十七条第(三)项的规定,罚款,"2020年7月21日11时00分,张岭驾驶的津C19987号货物运输车辆,行驶至北京市延庆区康庄高速综检站,经执法人员李秀忠(执法证号:11310083)、李文俊(执法证号:11310135)示证检查:该车取得普通货物道路运输证,驾驶空车,从内蒙古呼和浩特市到天津市宝坻区,该企业专业人员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-07-21,2021-07-21,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
乌兰察布市平安道达运输有限公司,9115090055811746XM,/,/,/,/,/,袁*桃,身份证,京交法(13)字稽20062903,违反了《危险货物道路运输安全管理办法》第二十四条第一款之规定,"乌兰察布平安道达运输有限公司运营中未按照规定制作危险货物运单,此行为违反了《危险货物道路运输安全管理办法》第二十四条第一款之规定,根据《危险货物道路运输安全管理办法》第六十条第一款第(二)项的规定,应予处罚。",根据《危险货物道路运输安全管理办法》第六十条第一款第(二)项的规定,罚款,"2020年6月29日9时00分,司机宫旺押运员李海玲驾驶的蒙J83368号危险货物道路运输车辆,行驶至延庆区姜家台路口,经执法人员陈萌(执法证号:11310090)、刘玉山(执法证号:11310055)示证检查:该车所有人为乌兰察布平安道达运输有限公司,从康庄镇到旧县镇,运输货物为柴油,在此次检查中该公司在运营中未按照规定制作危险货物运单。此行为违反了《危险货物道路运输安全管理办法》第二十四条第一款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2020-06-29,2020-06-29,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
