数据类型,行政相对人名称,统一社会信用代码,工商注册号,组织机构代码,税务登记号,事业单位证书号,社会组织登记证号,法定代表人,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财务的金额（万元）,暂扣或吊销证照名称及编号,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,备注,上报日期
企业,北京万客居餐饮有限公司,91110116MA0195WB40,,,,,,何维,京怀龙山街道罚字﹝2020﹞0043号,《北京市市容环境卫生条例》第六十四条第二款,经查，当事人于2020年11月6日20时30分，在北京市怀柔区大星发大卖场辣小二火锅店，私自将餐厨垃圾与其他垃圾混合一块倒进垃圾桶，未按规定分类处理餐厨垃圾。以上事实有现场执法文书、现场照片、询问笔录等证据佐证。,《北京市市容环境卫生条例》第六十四条第四款,罚款,违反第一款、第二款、第三款规定的，责令改正，并处500元以上3000元以下罚款；情节严重的，处3000元以上3万元以下罚款，其中对单位随意倾倒或者运输车辆泄漏、遗撒餐厨垃圾的，责令清除，处5000元以上5万元以下罚款。,0.1,,,2020/11/11,2099/12/31,2021/11/11,北京市怀柔区龙山街道办事处,11110227740060295F,北京市怀柔区龙山街道办事处,11110227740060295F,,2020年11月13日
企业,北京华利新成烤鸡店,92110116L20500515P,,,,,,付帮成,京怀龙山街道罚字﹝2020﹞0047号,《北京市市容环境卫生条例》第六十四条第二款,经查，当事人于2020年11月6日14时30分，在北京市怀柔区大星发大卖场西侧平房，私自将餐厨垃圾与其他垃圾混合一块倒进垃圾桶，未按规定分类处理餐厨垃圾。以上事实有现场执法文书、现场照片、询问笔录等证据佐证。,《北京市市容环境卫生条例》第六十四条第四款,罚款,违反第一款、第二款、第三款规定的，责令改正，并处500元以上3000元以下罚款；情节严重的，处3000元以上3万元以下罚款，其中对单位随意倾倒或者运输车辆泄漏、遗撒餐厨垃圾的，责令清除，处5000元以上5万元以下罚款。,0.1,,,2020/11/6,2099/12/31,2021/11/6,北京市怀柔区龙山街道办事处,11110227740060295F,北京市怀柔区龙山街道办事处,11110227740060295F,,2020年11月13日
企业,北京鑫宇亚泰建筑工程有限公司,91110109MA01KBP49G,,,,,,高晨宇,京怀龙山街道罚字﹝2020﹞0045号,《北京市生活垃圾管理条例》第三十六条第一款第（三）项,经查，当事人于2020年11月11日9时30分，在北京市怀柔区新悦百货东侧50米处，施工工地只设置其他垃圾桶，未按规定设置生活垃圾分类收集容器。以上事实有现场执法文书、现场照片、询问笔录等证据佐证。,《北京市生活垃圾管理条例》第六十九条第一款,罚款,责令立即改正，处三千元以上三万元以下罚款,0.3,,,2020/11/11,2099/12/31,2021/11/11,北京市怀柔区龙山街道办事处,11110227740060295F,北京市怀柔区龙山街道办事处,11110227740060295F,,2020年11月13日
企业,北京天边餐厅,92110116MA01TMH47P,,,,,,刘毅,京怀龙山街道罚字﹝2020﹞0046号,《北京市市容环境卫生条例》第六十四条第二款,当事人于2020年11月12日10时30分，在北京市怀柔区府前西街1号院1号楼1层E-500-5011天边餐厅，私自将餐厨垃圾与其他垃圾混合一块倒进垃圾桶，未按规定分类处理餐厨垃圾。,《北京市市容环境卫生条例》第六十四条第四款,罚款,违反第一款、第二款、第三款规定的，责令改正，并处500元以上3000元以下罚款；情节严重的，处3000元以上3万元以下罚款，其中对单位随意倾倒或者运输车辆泄漏、遗撒餐厨垃圾的，责令清除，处5000元以上5万元以下罚款。,0.1,,,2020/11/13,2099/12/31,2021/11/13,北京市怀柔区龙山街道办事处,11110227740060295F,北京市怀柔区龙山街道办事处,11110227740060295F,,2020年11月16日
企业,北京来熏餐饮有限责任公司,91110116MA00B91T53,,,,,,陈玉生,京怀龙山街道罚字﹝2020﹞0042号,《北京市生活垃圾管理条例》第三十六条第一款第（三）项,经查，当事人于2020年11月9日8时30分，在北京市怀柔区北京来熏餐饮有限责任公司，未按规定管护生活垃圾分类收集容器。以上事实有现场执法文书、现场照片、询问笔录等证据佐证。,《北京市生活垃圾管理条例》第六十九条第一款,罚款,责令立即改正，处三千元以上三万元以下罚款,0.3,,,2020/11/9,2099/12/31,2021/11/9,北京市怀柔区龙山街道办事处,11110227740060295F,北京市怀柔区龙山街道办事处,11110227740060295F,,2020年11月16日
企业,北京府红餐饮有限公司,91110116339672009R,,,,,,史强,京怀龙山街道罚字﹝2020﹞0049号,《北京市市容环境卫生条例》第六十四条第二款,当事人于2020年11月16日14时30分，在北京市怀柔区南大街8号楼1层3号，私自将餐厨垃圾与其他垃圾混合一块倒进垃圾桶，未按规定分类处理餐厨垃圾。以上事实有现场执法文书、现场照片、询问笔录等证据佐证。,《北京市市容环境卫生条例》第六十四条第四款：违反第一款、第二款、第三款规定的,罚款,责令改正，并处500元以上3000元以下罚款；情节严重的，处3000元以上3万元以下罚款，其中对单位随意倾倒或者运输车辆泄漏、遗撒餐厨垃圾的，责令清除，处5000元以上5万元以下罚款。,0.1,,,2020/11/16,2099/12/31,2021/11/16,北京市怀柔区龙山街道办事处,11110227740060295F,北京市怀柔区龙山街道办事处,11110227740060295F,,2020年11月20日
企业,北京中寰国创建筑有限公司,91110116MA01CF9B1A,,,,,,齐思铜,京怀龙山街道罚字﹝2020﹞0048号,《北京市市容环境卫生条例》第四十八条,经查，当事人于2020年11月16日9时30分，在北京市怀柔区府前东街21号楼西侧10米处施工，未按规定设置围挡。以上事实有现场执法文书、现场照片、询问笔录等证据佐证。,《北京市市容环境卫生条例》第四十八条,罚款,责令限期改正，并处2000元以上2万元以下罚款。,0.4,,,2020/11/16,2099/12/31,2021/11/16,北京市怀柔区龙山街道办事处,11110227740060295F,北京市怀柔区龙山街道办事处,11110227740060295F,,2020年11月20日
企业,丰宁满族自治县聚兴建筑劳务分包有限公司,91130826MA0DAHFPX9,,,,,,张海亮,京怀龙山街道罚字﹝2020﹞0050号,《北京市建设工程施工现场管理办法》第二十七条,经查，当事人于2020年11月24日22时40分在北京市怀柔区下元一条东侧50米进行混凝土搅拌罐车水泥浇筑施工，未取得相关部门审批手续。以上事实有现场执法文书、现场照片、询问笔录等证据佐证。,《北京市建设工程施工现场管理办法》第四十条,罚款,责令改正，处1万元以上3万元以下罚款,1,,,2020/11/25,2099/12/31,2021/11/25,北京市怀柔区龙山街道办事处,11110227740060295F,北京市怀柔区龙山街道办事处,11110227740060295F,,2020年11月30日
企业,北京永发立会超市,92110116MA00DJRM17,,,,,,谢军涛,京怀龙山街道罚字﹝2020﹞0053号,《北京市市容环境卫生条例》第六十四条第二款,经查，当事人于2020年12月10日9时30分，在北京市怀柔区汽车站对面秦晋老碗面家常菜，私自将餐厨垃圾与其他垃圾混合一块倒进垃圾桶，未按规定分类处理餐厨垃圾。以上事实有现场执法文书、现场照片、询问笔录等证据佐证。,《北京市市容环境卫生条例》第六十四条第四款,罚款,违反第一款、第二款、第三款规定的，责令改正，并处500元以上3000元以下罚款；情节严重的，处3000元以上3万元以下罚款，其中对单位随意倾倒或者运输车辆泄漏、遗撒餐厨垃圾的，责令清除，处5000元以上6万元以下罚款。,0.1,,,2020/12/10,2099/12/31,2021/12/10,北京市怀柔区龙山街道办事处,11110227740060295F,北京市怀柔区龙山街道办事处,11110227740060295F,,2020年12月16日
企业,北京江城大碗香餐饮有限公司,91110116MA0027381B,,,,,,张兵,京怀龙山街道罚字﹝2020﹞0052号,《北京市市容环境卫生条例》第六十四条第二款,2020年12月9日12时30分，北京市怀柔区龙山街道办事处执法人员检查发现，北京江城大碗香餐饮有限公司有未按要求设置餐厨垃圾收集、贮存设施的行为，遂予以立案调查。经查，张兵是916汽车总站旁边北京江城大碗香餐饮有限公司的法定代表人，其负责清理店里餐厨垃圾，为图省事，私自将餐厨垃圾与其他垃圾混合一块倒进垃圾桶，未按规定分类处理餐厨垃圾。经责令，当事人当场改正了违法行为。,《北京市市容环境卫生条例》第六十四条第四款,罚款,违反第一款、第二款、第三款规定的，责令改正，并处500元以上3000元以下罚款；情节严重的，处3000元以上3万元以下罚款，其中对单位随意倾倒或者运输车辆泄漏、遗撒餐厨垃圾的，责令清除，处5000元以上5万元以下罚款。,0.1,,,2020/12/10,2099/12/31,2021/12/10,北京市怀柔区龙山街道办事处,11110227740060295F,北京市怀柔区龙山街道办事处,11110227740060295F,,2020年12月16日
企业,北京明辉艺美建筑装饰有限公司,911101143960326061,,,,,,郭晶美,京怀龙山街道罚字﹝2020﹞0060号,《北京市生活垃圾管理条例》第三十六条第一款第（三）项,2020年12月11日9时30分，北京市怀柔区龙山街道办事处执法人员检查发现，北京明辉艺美建筑装饰有限公司有未按规定设置生活垃圾分类收集容器的行为，遂予以立案调查。经查，张兆兴是北京明辉艺美建筑装饰有限公司位于北京市怀柔区兴怀大街怀柔镇幼儿园西侧的工地食堂经理，其负责清理食堂餐厨垃圾，因为图省事，未按规定分类处理餐厨垃圾，与其他垃圾混合一块倒进垃圾桶，未按规定分类处理餐厨垃圾。经责令，当事人当场改正了违法行为。,《北京市生活垃圾管理条例》第六十九条第一款,罚款,责令立即改正，处三千元以上三万元以下罚款,0.3,,,2020/12/11,2099/12/31,2021/12/11,北京市怀柔区龙山街道办事处,11110227740060295F,北京市怀柔区龙山街道办事处,11110227740060295F,,2020年12月17日
企业,北京豫铭轩餐饮管理有限公司,91110116MA01WHB41Q,,,,,,靳红军,京怀龙山街道罚字﹝2020﹞0062号,《北京市市容环境卫生条例》第六十四条第二款,经查，当事人于2020年12月15日9时30分，在北京市怀柔区妇联对面烩面馆，私自将餐厨垃圾与其他垃圾混合一块倒进垃圾桶，未按规定分类处理餐厨垃圾。以上事实有现场执法文书、现场照片、询问笔录等证据佐证。,《北京市市容环境卫生条例》第六十四条第四款：违反第一款、第二款、第三款规定,罚款,责令改正，并处500元以上3000元以下罚款；情节严重的，处3000元以上3万元以下罚款，其中对单位随意倾倒或者运输车辆泄漏、遗撒餐厨垃圾的，责令清除，处5000元以上5万元以下罚款。,0.1,,,2020/12/15,2099/12/31,2021/12/15,北京市怀柔区龙山街道办事处,11110227740060295F,北京市怀柔区龙山街道办事处,11110227740060295F,,2020年12月22日
企业,北京釜田家餐饮有限公司第一分公司,91110116MA01M97236,,,,,,邓闯,京怀龙山街道罚字﹝2020﹞0071号,《北京市生活垃圾管理条例》第三十六条第一款第（三）项,该饭店未按规定设置生活垃圾分类收集容器，将厨余垃圾、可回收垃圾、其他垃圾混合投入同一垃圾桶内,《北京市生活垃圾管理条例》第六十九条第一款,罚款,责令立即改正，处三千元以上三万元以下罚款,0.3,,,2020/12/18,2099/12/31,2021/12/18,北京市怀柔区龙山街道办事处,11110227740060295F,北京市怀柔区龙山街道办事处,11110227740060295F,,2020年12月25日
个体工商户,北京鑫鹏优宠宠物用品店,92110116MA01PFJP0Q,,,,,,姜晓凤,怀农兽药罚[2020]1号,无兽药经营许可证经营假兽药的行为，违反了《兽药管理条例》第二十二条和第二十七条第三款之规定,姜晓凤无兽药经营许可证经营假兽药的行为，涉嫌违反了兽药管理条例第二十二条和第二十七条第三款之规定，依据兽药管理条例第五十六条第一款进行处罚，建议立案调查！,因当事人经营的兽药货值不足5000元，依据《兽药管理条例》第五十六条第一款、《北京市农业行政处罚裁量基准(2016年版）》第一百一十六条、一百一十七条和《北京市农业行业违法行为处罚裁量基准表(2016年版)》第 C21117A010条[经营的兽药货值金额不足5000元的，责令其停止经营，没收用于违法经营的兽药和违法所得，并处违法经营的兽药(包括已出售的和未出售的兽药)货值金额2倍罚款，货值金额无法查证核实的，处10万元以上15万元以下罚款],罚款,1.没收违法经营的假兽药产品青霉素精粉10瓶（300克）；                                              2、处违法经营的兽药货值金额2倍罚款，即罚款人民币200元。,0.02,,,2020/5/13,2099/12/31,2025/5/12,北京市怀柔区农业农村局,11110227694974327P,北京市怀柔区农业农村局,11110227694974327P,,2020年5月15日
个体工商户,北京康鸿宠物医院有限公司,911101165752314083,,,,,,刘迪,怀动监罚[2020]2号,未在规定时间变更动物诊疗机构名称和法定代表人案,北京康鸿宠物医院有限公司未在规定时间变更动物诊疗机构名称和法定代表人行为，涉嫌违反《动物诊疗机构管理办法》第十三条第一款[动物诊疗机构变更名称或者法定代表人(负责人)的，应当在办理工商变更登记手续后15个工作日内，向原发证机关申请办理变更手续。]之规定，建议立案调查。,依据《动物诊疗管理办法》第三十三条第一款第一项及北京市农业行政处罚裁量基准（2016年版）第二百七十条和《北京市农业行业违法行为处罚裁量基准表（2016版）编号C21294C000之规定（变更机构名称或者法定代表人未办理变更手续的），处1000元以下罚款的行政处罚。,罚款,处罚款人民币400元整,0.04,,,2020/5/12,2099/12/31,2025/5/11,北京市怀柔区动物卫生监督所,11110227678772055L,北京市怀柔区动物卫生监督所,11110227678772055L,,2020年5月28日
企业,北京荣宠万千商贸有限公司,91110116MA009L222N,,,,,,宋丹,怀农兽药罚[2020]2号,无兽药经营许可证经营假兽药的行为，违反了《兽药管理条例》第二十二条和第二十七条第三款之规定,北京荣宠万千商贸有限公司无兽药经营许可证经营假兽药的行为，涉嫌违反了兽药管理条例第二十二条和第二十七条第三款之规定，依据兽药管理条例第五十六条第一款进行处罚，建议立案调查！,因当事人经营的兽药货值不足5000元，依据《兽药管理条例》第五十六条第一款、《北京市农业行政处罚裁量基准(2016年版）》第一百一十六条、一百一十七条和《北京市农业行业违法行为处罚裁量基准表(2016年版)》第 C21117A010条[经营的兽药货值金额不足5000元的，责令其停止经营，没收用于违法经营的兽药和违法所得，并处违法经营的兽药(包括已出售的和未出售的兽药)货值金额2倍罚款，货值金额无法查证核实的，处10万元以上15万元以下罚款],罚款,1.没收违法经营的假兽药产品皮特芬喷剂2盒，标称医仕高消炎滴眼液2支；                                              2、处违法经营的兽药货值金额2倍罚款，即罚款人民币320元。,0.032,,,2020/6/5,2099/12/31,2025/6/5,北京市怀柔区农业农村局,11110227694974327P,北京市怀柔区农业农村局,11110227694974327P,,2020年6月18日
企业,北京四季牧哥餐饮有限公司,91110116MA00B56762,,,,,,胡文静,京怀桥梓镇罚字【2020】0007号,《北京市生活垃圾管理条例》第三十三条第（一）项,2020年7月24日10时30分，执法人员在检查中发现，当事人在北京市怀柔区桥梓镇八龙桥雅苑2号楼1-4层2-1门前将塑料袋、鸡蛋壳、筷子、卫生纸、西瓜皮混投，存在未将生活垃圾分别投入相应标识的收集容器的行为。北京四季牧哥餐饮有限公司的上述行为涉嫌违反了《北京市生活垃圾管理条例》第三十三条第（一）项之规定，建议立案调查。,《北京市生活垃圾管理条例》第六十七条第一款,罚款,罚款人民币壹仟元整,0.1,,,2020/7/24,2099/12/31,2020/11/24,北京市怀柔区桥梓镇人民政府,111102270000983358,北京市怀柔区桥梓镇人民政府,111102270000983358,,2020年8月7日
企业,北京蓦然回首餐饮服务有限公司,91110116MA00EP7A8A,,,,,,朱小梅,京怀桥梓镇罚字【2020】0009号,《北京市生活垃圾管理条例》第三十三条第（一）项,2020年8月4日9时0分，执法人员在检查中发现，当事人在北京市怀柔区桥梓镇前桥梓村817号将筷子投入到厨余垃圾桶内，存在未将生活垃圾分别投入相应标识的收集容器的行为。北京蓦然回首餐饮服务有限公司的上述行为涉嫌违反了《北京市生活垃圾管理条例》第三十三条第（一）项之规定，建议立案调查。,北京市生活垃圾管理条例》第六十七条第一款,罚款,罚款人民币壹仟元整,0.1,,,2020/8/4,2099/12/31,2020/11/5,北京市怀柔区桥梓镇人民政府,111102270000983358,北京市怀柔区桥梓镇人民政府,111102270000983358,,2020年8月7日
企业,北京权胜宏达机械租赁有限公司,91110116MA01BWYX1A,,,,,,袁胜泉,京怀桥梓镇罚字[2020]0012号,《北京市大气污染防治条例》第八十二条第二款之规定,2020年8月11日10时00分，执法人员在检查中发现，北京权胜宏达机械租赁有限公司在北京市怀柔区桥梓镇后桥梓村北桥梓消防站“三合一”工程院内有土方堆放在地上未进行有效覆盖。经现场测量，现场未覆盖建筑土方面积达13平方米。北京权胜宏达机械租赁有限公司的上述行为涉嫌违反了《北京市大气污染防治条例》第八十二条第二款之规定，建议立案调查。,《北京市市容环境卫生条例》第四十三条第一款,罚款,罚款人民币贰万元整,2,,,2020/8/13,2099/12/31,2020/12/1,北京市怀柔区桥梓镇人民政府,111102270000983358,北京市怀柔区桥梓镇人民政府,111102270000983358,,2020年8月14日
企业,北京北方恒联工贸有限公司,911101168026051083,,,,,,李子辰,京怀桥梓镇罚字【2020】0025号,《北京市生活垃圾管理条例》第三十五条第一款第（三）项,2020年9月28日9时13分，执法人员在检查中发现，当事人在北京市怀柔区桥梓镇前茶坞村北京北方恒联工贸有限公司内未按照生活垃圾产生量和分类方法设置相应的生活垃圾分类收集容器，存在未按规定设置生活垃圾分类收集容器的行为。北京北方恒联工贸有限公司的上述行为涉嫌违反了《北京市生活垃圾管理条例》第三十五条第一款第（三）项之规定，建议立案调查。,《北京市生活垃圾管理条例》第六十八条第一款,罚款,罚款人民币叁仟元整,0.3,,,2020/9/28,2099/12/31,2020/12/28,北京市怀柔区桥梓镇人民政府,111102270000983358,北京市怀柔区桥梓镇人民政府,111102270000983358,,2020年9月29日
企业,北京京怀鑫泰建筑工程有限公司,91110116MA017KEXX6,,,,,,祝太山,京怀桥梓镇罚字【2020】0032号,中华人民共和国大气污染防治法》第七十二条第一款,"2019年5月27日，北京市怀柔区桥梓镇人民政府综合执法队接到北京市怀柔区住房和城乡建设委员会移转的《关于怀柔区战勤保障消防站、训练基地及桥梓消防站 “三合一""工程大风预警期间扬尘治理不达标的函 》（怀建函【2020】125号）。怀柔区战勤保障消防站、训练基地及桥梓消防站 “三合一""工程施工现场存在裸露地面覆盖不严问题，遂予以立案调查。经查，2020年10月23日9时50分，北京京怀鑫泰建筑工程有限公司已将北京市怀柔区战勤保障消防站、训练基地及桥梓消防站 “三合一""工程内的8平方米未覆盖土方进行有效覆盖。北京京怀鑫泰建筑工程有限公司的上述行为涉嫌违反了《中华人民共和国大气污染防治法》第七十二条第一款之规定。",《中华人民共和国大气污染防治法》第一百一十七条第（二）项之规定,罚款,罚款人民币壹万元整,1,,,2020/10/27,2099/12/31,2021/1/27,北京市怀柔区桥梓镇人民政府,111102270000983358,北京市怀柔区桥梓镇人民政府,111102270000983358,,2020年10月28日
企业,北京丰华楼餐饮服务有限公司,91110116MA00E70A4J,,,,,,马仲振,京怀桥梓镇罚字【2020】0038号,《北京市生活垃圾管理条例》第三十六条第一款第（三）项之规定,2020年11月6日20时50分，执法人员在检查中发现，当事人在北京市怀柔区桥梓镇北京丰华楼餐饮服务有限公司门前未管护生活垃圾分类收集器，造成厨余垃圾桶厨余垃圾外溢桶身脏污，存在未按规定管护生活垃圾分类收集容器的行为。北京丰华楼餐饮服务有限公司的上述行为涉嫌违反了《北京市生活垃圾管理条例》第三十六条第一款第（三）项之规定。,《北京市生活垃圾管理条例》第六十九条第一款之规定,罚款,罚款人民币叁仟元整,0.3,,,2020/11/9,2099/12/31,2021/2/9,北京市怀柔区桥梓镇人民政府,111102270000983358,北京市怀柔区桥梓镇人民政府,111102270000983358,,2020年11月10日
企业,北京靠山屯粗粮人家餐饮管理有限公司,91110116MA006U7H57,,,,,,孙国栋,京怀桥梓镇罚字【2020】0037号,《北京市生活垃圾管理条例》第三十六条第一款第（四）项之规定,2020年11月6日20时30分，执法人员在检查中发现，当事人在北京市怀柔区桥梓镇北京靠山屯粗粮人家餐饮管理有限公司门前的其他垃圾桶内存有矿泉水瓶等可回收物，存在未分类收集、贮存的行为。北京靠山屯粗粮人家餐饮管理有限公司的上述行为涉嫌违反了《北京市生活垃圾管理条例》第三十六条第一款第（四）项之规定。,《北京市生活垃圾管理条例》第六十九条第一款之规定,罚款,罚款人民币叁仟元整,0.3,,,2020/11/9,2099/12/31,2021/2/9,北京市怀柔区桥梓镇人民政府,111102270000983358,北京市怀柔区桥梓镇人民政府,111102270000983358,,2020年11月10日
企业,太原市怡安居物业管理有限公司北京分公司,91110116MA01P3AX6G,,,,,,曹辉,京怀桥梓镇罚字【2020】0034号,《北京市生活垃圾管理条例》第三十六条第一款第（三）项之规定,2020年11月4日9时30分，执法人员在检查中发现，当事人在北京市怀柔区桥梓镇茶坞铁路社区院内46号楼下堆放装修等生活垃圾存在未分类收集、贮存的行为。太原市怡安居物业管理有限公司北京分公司的上述行为涉嫌违反了《北京市生活垃圾管理条例》第三十六条第一款第（四）项之规定。,《北京市生活垃圾管理条例》第六十九条第一款之规定,罚款,罚款人民币叁仟元整,0.3,,,2020/11/9,2099/12/31,2021/2/9,北京市怀柔区桥梓镇人民政府,111102270000983358,北京市怀柔区桥梓镇人民政府,111102270000983358,,2020年11月10日
企业,北京郭子花仙骨餐饮有限公司,92110116L7336916XP,,,,,,郭有,京怀桥梓镇罚字【2020】0036号,《北京市生活垃圾管理条例》第三十八条第二款之规定,2020年11月6日21时0分，执法人员在检查中发现，当事人在北京市怀柔区桥梓镇北京郭子花仙骨餐饮有限公司未建立生活垃圾管理台账。北京郭子花仙骨餐饮有限公司的上述行为涉嫌违反了《北京市生活垃圾管理条例》第三十八条第二款之规定，建议立案调查。,《北京市生活垃圾管理条例》第七十条第二款之规定,罚款,罚款人民币壹仟元整,0.1,,,2020/11/9,2099/12/31,2021/2/9,北京市怀柔区桥梓镇人民政府,111102270000983358,北京市怀柔区桥梓镇人民政府,111102270000983358,,2020年11月11日
企业,北京四季牧哥餐饮有限公司,91110116MA00B56762,,,,,,胡文静,京怀桥梓镇罚字【2020】0040号,《北京市市容环境卫生条例》第三十五条第三款之规定,2020年11月10日11时45分，执法人员在检查中发现，北京四季牧哥餐饮有限公司将店内桌椅摆放在店外，让顾客在门前用餐，至检查，无经营性收入。经责令，当事人当场改正其行为。北京四季牧哥餐饮有限公司的上述行为涉嫌违反了《北京市市容环境卫生条例》第三十五条第三款之规定，建议立案调查。,《北京市市容环境卫生条例》第三十五条第五款之规定,罚款,罚款人民币玖佰元整,0.09,,,2020/11/10,2099/12/31,2021/2/10,北京市怀柔区桥梓镇人民政府,111102270000983358,北京市怀柔区桥梓镇人民政府,111102270000983358,,2020年11月12日
企业,北京人济建国酒店有限公司,91110116684372226K,1.10116E+14,,,,,沈爱平,京怀桥梓镇罚字〔2020〕0055号,《北京市市容环境卫生条例》第六十四条第二款之规定,2020年12月10日9时35分，北京人济建国酒店有限公司后厨工作人员在北京市怀柔区桥梓镇人民政府北宅村800号酒店后厨内，将餐厨垃圾与其他垃圾混合一块倒进垃圾桶，未按要求设置餐厨垃圾收集、贮存设施。当事人的上述行为涉嫌违反了《北京市市容环境卫生条例》第六十四条第二款之规定，建议立案调查。,《北京市市容环境卫生条例》第六十四条第四款之规定,罚款,罚款人民币壹仟元整,0.1,,,2020/12/11,2099/12/31,2021/3/16,北京市怀柔区桥梓镇人民政府,111102270000983358,北京市怀柔区桥梓镇人民政府,111102270000983358,,2020年12月14日
企业,北京京香怡香园酒楼有限公司,92110116L28652927Y,,,,,,何海莲,京怀泉河街道罚字〔2020〕0006号,未将生活垃圾分别投入相应标识的收集容器,2020年8月14日，怀柔区泉河街道办事处接到怀柔区城管局移转的《关于餐饮单位垃圾分类存在问题的函》。2020年8月13日，怀柔区城管执法局执法人员检查发现，北京京香怡香园酒楼有限公司在北京市怀柔区开放路46号楼20、21、22号店内生活垃圾混投混放。,《北京市生活垃圾管理条例》第六十七条第一款的规定,罚款,未按照《北京市生活垃圾管理条例》规定进行垃圾分类，采取罚款的形式进行处罚,0.1,,,2020/8/20,2021/8/20,2021/8/20,北京市怀柔区泉河街道办事处,111102277400603678,北京市怀柔区泉河街道办事处,111102277400603678,,2020年8月26日
个体工商户,北京味美香居餐厅,92110116L73570525U,,,,,,谢凤云,京怀泉河街道当罚字〔2020〕0013号,《北京市生活垃圾管理条例》第二十三条第（一）项,2020年7月13日16时45分，当事人在北京市怀柔区怀柔镇金台园417号，拒不听从分类管理责任人劝阻将其他垃圾投放入标有厨余垃圾收集容器中。,《北京市生活垃圾管理条例》第六十七条第二款,警告,对拒不听从生活垃圾分类管理责任人劝阻的，给予书面警告；再次违反规定的，处50元以上200元以下罚款,,,,2020/7/14,2020/12/31,2020/12/31,北京市怀柔区泉河街道办事处,111102277400603678,北京市怀柔区泉河街道办事处,111102277400603678,,2020年9月17日
个体工商户,北京昌益佳顺商贸中心,92110116L76766785Q,,,,,,徐建平,京怀泉河街道罚字〔2020〕0011号,《北京市市容环境卫生条例》第三十五条第三款,2020年9月25日10时45分，北京昌益佳顺商贸中心在北京市怀柔区迎宾路于家园三区25号楼3单元103室超出门、窗进行店外经营水果、蔬菜，至检查时，无经营性收入。,《北京市市容环境卫生条例》第三十五条第五款,罚款,责令改正，并可处300元以上3000元以下的罚款,0.06,0.06,,2020/10/9,2020/12/31,2020/12/31,北京市怀柔区泉河街道办事处,111102277400603678,北京市怀柔区泉河街道办事处,111102277400603678,,2020年10月9日
企业,北京尚食代餐饮有限公司,911101163067786596,,,,,,王成,京怀泉河街道罚字〔2020〕0012号,《北京市市容环境卫生条例》第六十四条第二款,2020年10月29日19时10分，当事人在北京市怀柔区下元金手勺饭店后厨内，将餐厨垃圾与其他垃圾混合一块倒进垃圾桶，未按要求设置餐厨垃圾收集、贮存设施。执法人员已责令其该店在规定期限内改正上述行为。,《北京市市容环境卫生条例》第六十四条第四款,罚款,责令改正，并处500元以上3000元以下罚款；情节严重的，处3000元以上3万元以下罚款。,0.1,,,2020/10/30,2020/12/31,2021/1/31,北京市怀柔区泉河街道办事处,111102277400603678,北京市怀柔区泉河街道办事处,111102277400603678,,2020年11月3日
个体工商户,北京嘎嘎香小吃店,92110116MA00BBFTX8,,,,,,肖维彦,京怀泉河街道罚字〔2020〕0016号,《城镇燃气管理条例》第二十八条第（五）项,2020年11月6日20时20分，当事人在北京市怀柔区怀柔镇潘家园村富乐北里60号，后厨内燃气报警器损坏无法使用，存在燃气安全隐患，造成使用、储存燃气不具备安全条件的情况。当事人未在本行政机关规定的期限内进行改正。,《城镇燃气管理条例》第四十九条第一款第（五）项,罚款,责令限期改正；逾期不改正的，对单位可以处10万元以下罚款，对个人可以处1000元以下罚款,0.1,,,2020/11/7,2020/12/31,2020/12/31,北京市怀柔区泉河街道办事处,111102277400603678,北京市怀柔区泉河街道办事处,111102277400603678,,2020年11月10日
企业,北京金木佟氏灶台餐饮有限公司,92110116MA00QHWRX1,,,,,,佟铁纲,京怀泉河街道罚字〔2020〕0014号,《北京市市容环境卫生条例》第六十四条第二款,2020年11月6日19时35分，当事人在北京市怀柔区怀柔镇于家园村东水场4号后厨内，将餐厨垃圾与其他垃圾混合一块倒进垃圾桶，未按要求设置餐厨垃圾收集、贮存设施。执法人员已责令其该店在规定期限内改正上述行为。,《北京市市容环境卫生条例》第六十四条第四款,罚款,责令改正，并处500元以上3000元以下罚款；情节严重的，处3000元以上3万元以下罚款。,0.1,,,2020/11/7,2020/12/31,2020/12/31,北京市怀柔区泉河街道办事处,111102277400603678,北京市怀柔区泉河街道办事处,111102277400603678,,2020年11月10日
企业,北京添乐福餐饮服务有限公司,92110116MA00DMTW43,,,,,,张梓晗,京怀泉河街道罚字〔2020〕0015号,《北京市市容环境卫生条例》第六十四条第二款,2020年11月6日20时20分，当事人在北京市怀柔区于家园老北京炸酱面后厨内，将餐厨垃圾与其他垃圾混合一块倒进垃圾桶，未按要求设置餐厨垃圾收集、贮存设施。,《北京市市容环境卫生条例》第六十四条第四款,罚款,责令改正，并处500元以上3000元以下罚款；情节严重的，处3000元以上3万元以下罚款。,0.1,,,2020/11/7,2020/12/31,2020/12/31,北京市怀柔区泉河街道办事处,111102277400603678,北京市怀柔区泉河街道办事处,111102277400603678,,2020年11月10日
