决定书编号,处罚类别,处罚事由,处罚依据,纳税人名称,统一社会信用代码,组织机构代码,处罚结果,处罚生效期,处罚截止期,处罚机关,当前状态
京密一税罚20205,发票违法,北京易华信息咨询有限公司（91110105MA00EKWL3H），丢失2016版增值税普通发票（二联折叠票）空白发票21份，发票代码：011001800304，发票号码：50834140-50834160。,《中华人民共和国发票管理办法》第三十六条第二款,北京易华信息咨询有限公司,91110105MA00EKWL3H,MA00EKWL3,罚款1050,2020/4/2,2020/4/17,国家税务总局北京市密云区税务局第一税务所（办税服务厅）,正常
京通税罚20207,发票违法,"丢失增值税普通发票79份。发票代码：1100154320，发票号码：28935212——28935215；发票代码：011001800304，发票号码10857351——10857425丢失增值税专用发票52份。发票代码：1100182130，发票号码：62179755-62179771；发票代码1100184130，发票号码13984126——13984160",《中华人民共和国发票管理办法》第三十六条第二款,都安（北京）保安服务有限公司第三分公司,91110112672366670R,672366670,罚款22380,2020/4/13,2020/4/29,国家税务总局北京市通州区税务局第一税务所（办税服务厅）,注销
京通四税罚202047,违反税收管理,未按照规定期限办理纳税申报和报送纳税资料，增值税2019-04-01至2019-06-30逾期未申报,《中华人民共和国税收征收管理法》第六十二条,北京通惠香苑餐厅,,,罚款1000,2020/4/2,2020/4/17,国家税务总局北京市通州区税务局第四税务所,正常
京密一税罚20206,发票违法,纳税人不慎丢失通用定额发票（并列二联壹佰元·175mm×77mm）150份，发票代码：111001641001，发票号码：09023401-09023550；通用定额发票（并列二联伍拾元·175mm×77mm）100份，发票代码：111001440501，发票号码：02420751-02420850；通用定额发票（并列二联贰拾元·175mm×77mm）200份，发票代码：111001440201，发票号码：07298451-07298650；通用定额发票（并列二联拾元·175mm×77mm）250份，发票代码：111001640101，发票号码：01229901-01230000，01235001-01235150,《中华人民共和国发票管理办法》第三十六条第二款,北京秦胜面馆,,,罚款1000,2020/4/2,2020/4/17,国家税务总局北京市密云区税务局第一税务所（办税服务厅）,注销
京顺税罚20204,发票违法,丢失北京增值税普通发票27份，发票代码为1100162320，丢失发票起始号码为20428685，终止号码为20428711；丢失北京增值税专用发票10份，发票代码为1100154130，丢失发票起始号码为07079978，终止号码为07079987,《中华人民共和国发票管理办法》第三十六条第二款,北京合丰兴顺科技有限公司,91110113094874154Q,094874154,罚款4810,2020/4/17,2020/5/6,国家税务总局北京市顺义区税务局,正常
京延一税罚20206,发票违法,该单位在2020年4月2日书面报告丢失通用定额发票（并列二联伍拾元·175mm×77mm），发票代码：111001940501；发票号码：01498251至01498300共计50张丢失。,《中华人民共和国发票管理办法》第三十六条第二款,北京小旭快餐店,92110229MA01FX7P9D,,罚款500,2020/4/2,2020/4/17,国家税务总局北京市延庆区税务局第一税务所（办税服务厅）,正常
京朝税罚202053,违反税收管理,盗用个人信息申报劳务报酬所得个人所得税,《中华人民共和国税收征收管理法》第六十四条第一款,北京木马餐饮管理有限责任公司,911101055938144639,593814463,罚款10000,2020/5/13,2020/6/2,国家税务总局北京市朝阳区税务局第一税务所（办税服务厅）,正常
京海四税罚202016,违反税收管理,该企业在2017年12月，存在冒用他人个人信息做个税明细申报行为，涉及虚列成本7000元,《中华人民共和国税收征收管理法》第六十四条第一款,北京东石鸿图科技有限公司,91110108672825961T,672825961,罚款2000,2020/4/30,2020/5/15,国家税务总局北京市海淀区税务局,正常
京海税罚2020289,违反税收管理,纳税人、扣缴义务人编造虚假计税依据，在2019年1月至2019年12月期间存在虚报个人所得税身份信息冒用行为，虚列成本17780元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京微磁场教育科技有限公司,91110108MA003RGF1K,MA003RGF1,罚款5100,2020/5/12,2020/6/2,国家税务总局北京市海淀区税务局,正常
京海税罚2020286,违反税收管理,该企业在2016年08月至2017年04月期间，存在冒用他人个人信息做个税明细申报行为，涉及虚列成本30600元,《中华人民共和国税收征收管理法》第六十四条第一款,北京智信互联科技有限公司,911101083181641366,318164136,罚款6000,2020/5/12,2020/5/27,国家税务总局北京市海淀区税务局,正常
京海税罚2020294,违反税收管理,"纳税人、扣缴义务人编造虚假计税依据金额，违反《中华人民共和国税收征管法》第六十四条第一款，在2015年12月至2020年3月期间存在虚报个人所得税身份信息冒用行为，虚列成本72200元。",《中华人民共和国税收征收管理法》第六十四条第一款,北京灵视科技有限公司,911101083579527682,357952768,罚款5100,2020/5/13,2020/6/1,国家税务总局北京市海淀区税务局,正常
京海税罚2020318,违反税收管理,纳税人、扣缴义务人编造虚假计税依据，在2017年1月-2019年1月期间存在个人所得税身份信息冒用行为，虚列成本48000元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京宇达同盛勘测技术有限公司,91110108669138693P,669138693,罚款6000,2020/5/15,,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,正常
京海税罚2020296,违反税收管理,该企业在2017年9月至2019年12月期间，存在冒用他人个人信息做个税明细申报行为，涉及虚列成本119575.97元,《中华人民共和国税收征收管理法》第六十四条第一款,北京东剧文化传媒有限公司,911101080975552472,097555247,罚款10000,2020/5/13,2020/5/29,国家税务总局北京市海淀区税务局,正常
京海一税罚202020,违反税收管理,纳税人、扣缴义务人编造虚假计税依据，在2019年1-2月期间存在个人所得税身份信息冒用行为，虚列成本6400元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京房探科技有限公司,91110108327162538G,327162538,罚款2000,2020/4/30,2020/5/15,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,正常
京兴四税罚20204,发票违法,丢失发票,《中华人民共和国发票管理办法》第三十六条第二款,北京紫茗香茶叶店,,,罚款1000,2020/4/3,2020/4/20,国家税务总局北京市大兴区税务局第四税务所,注销
京顺税罚20203,发票违法,发票违法，丢失北京增值税专用发票18份，发票代码为1100133140；丢失发票号码为10369614-10369631,《中华人民共和国发票管理办法》第三十六条第二款,北京传武中药研究院有限公司,911101130573068520,057306852,罚款7200,2020/4/17,2020/5/6,国家税务总局北京市顺义区税务局,正常
京海八税罚202043,违反税收管理,2002年9月，未按照规定期限申报办理税务登记,《中华人民共和国税收征收管理法》第六十条第一款第（一）项：未按照规定的期限申报办理税务登记、变更或者注销登记的，由税务机关责令限期改正，可以处二千元以下的罚款；情节严重的，处二千元以上一万元以下的罚款,北京廉旺顺百货店,92110108MA00M5GJ84,,罚款1000,2020/4/3,2020/4/20,国家税务总局北京市海淀区税务局第八税务所,正常
京海税罚2020273,违反税收管理,该企业在2018年5月至2020年1月期间，存在冒用他人个人信息做个税明细申报行为，涉及虚列成本115000元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京稻壳科技有限公司,91110108306688856T,306688856,罚款10000,2020/5/9,2020/5/27,国家税务总局北京市海淀区税务局,正常
京海税罚2020319,违反税收管理,"纳税人、扣缴义务人编造虚假计税依据金额，在2019年1-12月期间存在虚报个人所得税身份信息冒用行为，虚列成本115200元。",《中华人民共和国税收征收管理法》第六十四条第一款,北京恒通睿驰通信工程有限公司,91110108080481261U,080481261,罚款11000,2020/5/15,2020/6/5,国家税务总局北京市海淀区税务局,正常
京朝税罚202045,发票违法,"北京增值税专用发票19份,发票代码：1100181130,发票号码：06164017-06164035	北京增值税普通发票25份,发票代码：011001800204,发票号码：69069001-69069025	",《中华人民共和国发票管理办法》第三十六条第二款,挺快（北京）传媒科技有限公司,91110108MA0095UK4D,MA0095UK4,罚款8100,2020/4/29,2020/5/25,国家税务总局北京市朝阳区税务局第一税务所（办税服务厅）,正常
京朝税罚202048,发票违法,"声明丢失北京增值税专用发票25份,发票代码：1100192130,发票号码：11007901-11007925；丢失北京增值税普通发票50份,发票代码：011001800304,发票号码：38333626-38333675。",《中华人民共和国发票管理办法》第三十六条第二款,北京德胜林科技有限公司,91110105MA01PR4706,MA01PR470,罚款11000,2020/5/9,2020/5/26,国家税务总局北京市朝阳区税务局第一税务所（办税服务厅）,正常
京海税罚2020261,违反税收管理,该企业在2018年05月所属期、2018年06月所属期、2018年07月所属期、2018年08月所属期、2018年09月所属期、2018年10月所属期、2018年11月所属期、2018年12月所属期、2019年01月所属期、2019年02月所属期、2019年03月所属期，共11个月，存在冒用他人个人信息（张云霄 ）做个税明细申报行为，涉及虚列成本52000.00元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京哲朗科技有限公司,91110108681965085K,681965085,罚款5000,2020/5/7,2020/5/22,国家税务总局北京市海淀区税务局,正常
京东六税罚20201,发票违法,北京益康优品家用电器经营部（372927197706101230B0）不慎遗失2008版增值税普通发票（二联无金额限制版），发票代码：1100151320，发票号码：08083838~08083865，共计28份。,《中华人民共和国发票管理办法》第三十六条第二款,北京益康优品家用电器经营部,,,罚款560,2020/4/27,2020/5/12,国家税务总局北京市东城区税务局第六税务所,注销
京海税罚2020262,违反税收管理,纳税人、扣缴义务人编造虚假计税依据，在2019年1月至2020年2月期间存在个人所得税身份信息冒用行为，虚列成本70000元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京英诺克投资发展有限公司,91110108102118974R,102118974,罚款7000,2020/5/8,2020/5/25,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,正常
京海税罚2020253,违反税收管理,"扣缴义务人编造虚假计税依据，在2019年1月-12月期间，存在个人所得税身份信息冒用行为，虚列成本68000元。",《中华人民共和国税收征收管理法》第六十四条第一款,北京融智铭达咨询有限公司,91110108MA01BPRB8A,MA01BPRB8,罚款5000,2020/5/7,2020/5/25,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,正常
京朝税罚202046,违反税收管理,2008年至2018年扣缴义务人应扣未扣股权激励个人所得税260295.61元,《中华人民共和国税收征收管理法》第六十九条,阿科玛（中国）投资有限公司,911100006259123683,625912368,罚款130147.81,2020/5/9,2020/5/26,国家税务总局北京市朝阳区税务局第三税务所（办税服务厅）,正常
京海税罚2020310,发票违法,该企业丢失增值税专用发票（中文三联无金额限制版）15张，发票代码：1100153130，发票号码：38096136——38096150，丢失增值税普通发票（二联无金额限制版）21张，发票代码：1100153320，发票号码：08055455——08055475。,"《中华人民共和国发票管理办法》第三十六条第二款,中华人民共和国发票管理办法第三十六条",北京宏盛义诚科技有限公司,,318026948,罚款6420,2020/5/14,2020/6/3,国家税务总局北京市海淀区税务局,正常
京海税罚2020270,违反税收管理,纳税人、扣缴义务人编造虚假计税依据，在2019年12月期间存在个人所得税身份信息冒用行为，虚列成本40660元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京诺比德成节能环保科技有限公司,911101085636512611,563651261,罚款8000,2020/5/9,2020/6/8,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,正常
京海税罚2020252,违反税收管理,纳税人、扣缴义务人编造虚假计税依据，在2018年1月到7月间存在个人所得税身份信息冒用行为，虚列成本11500元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京蓝登文化传播有限公司,91110108MA006PFX3B,MA006PFX3,罚款5000,2020/5/7,2020/5/25,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,正常
京海一税罚202018,发票违法,丢失通用机打发票100份，发票代码：111001073051，发票号码：06925601-06925700 ,《中华人民共和国发票管理办法》第三十六条第二款,北京普尔世纪软件技术有限公司,,765542290,罚款2000,2020/4/27,2020/5/12,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,注销
京朝六税罚20203,发票违法,丢失发票,《中华人民共和国发票管理办法》第三十六条第二款,北京市福瑞居饺子城,92110105L447507464,,罚款160,2020/4/27,2020/5/12,国家税务总局北京市朝阳区税务局第六税务所,正常
京海税罚2020257,违反税收管理,纳税人、扣缴义务人编造虚假计税依据，在2017年1月至2019年12月期间存在虚报个人所得税身份信息冒用行为，虚列成本72000元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京海科恒通科技开发有限公司,91110108726368891R,726368891,罚款9000,2020/5/7,2020/5/26,国家税务总局北京市海淀区税务局,正常
京开一税罚20208,发票违法,丢失普通发票25份,《中华人民共和国发票管理办法》第三十六条第二款,北京大凡浩文广告设计工作室,92110302L58095527L,,罚款1250,2020/4/3,2020/4/20,国家税务总局北京经济技术开发区税务局第一税务所（办税服务厅）,注销
京顺一税罚20208,发票违法,丢失北京增值说普通发票2份，发票代码为1100173320；丢失发票号码为37735619-37735620。,《中华人民共和国发票管理办法》第三十六条第二款,北京鑫昊顺工程机械租赁站,92110113L05350862M,L05350862,罚款60,2020/4/3,2020/4/20,国家税务总局北京市顺义区税务局第一税务所（办税服务厅）,正常
京海税罚2020199,违反税收管理,该企业在2018年10月至2019年11月期间，存在冒用他人个人信息做个税明细申报行为，涉及虚列成本50000元,《中华人民共和国税收征收管理法》第六十四条第一款,北京明智腾达文化传媒有限公司,,339709676,罚款6000,2020/4/21,2020/5/9,国家税务总局北京市海淀区税务局,正常
京海税罚2020190,发票违法,"丢失空白增值税专用发票25份，发票代码：1100182130，发票号码：51300206-51300230；丢失空白增值税普通发票25份，发票代码：011001800104，发票号码：75048616-75048640。",《中华人民共和国发票管理办法》第三十六条第二款,盛大高新技术（北京）有限公司,911101083182245816,318224581,罚款10500,2020/4/15,2020/5/6,国家税务总局北京市海淀区税务局,正常
京海税罚2020183,违反税收管理,纳税人、扣缴义务人编造虚假计税依据，在2016年6月至2019年4月期间存在个人所得税身份信息冒用行为，虚列成本97000元。,《中华人民共和国税收征收管理法》第七十条及《中华人民共和国税收征收管理法实施细则》第九十六条第（一）项,北京中方永固科技有限公司,91110108306684468E,306684468,罚款5000,2020/4/13,2020/4/30,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,正常
京朝税罚202039,发票违法,"声明丢失北京市商业企业专用发票25份,发票代码：111000421011,发票号码：42822051-42822075								声明丢失北京市商业企业专用发票50份,发票代码：111000321323,发票号码：9261976-9262025								声明丢失北京市商业企业专用发票50份,发票代码：111000421321,发票号码：3537301-3537350 								",《中华人民共和国发票管理办法》第三十六条第二款,北京赋安新安全技术有限公司,,634355161,罚款2500,2020/4/16,2020/5/6,国家税务总局北京市朝阳区税务局第三税务所（办税服务厅）,注销
京丰卢税罚20201,发票违法,"未按规定保管发票，将增值税普通发票（二联折叠式）空白发票丢失,发票代码1100173320，发票号码23304428-23304450, 计23张.发票代码011001800104，发票号码75100491-75100540，计50张。总计73张。",《中华人民共和国发票管理办法》第三十六条第二款,北京四海汇才文化有限公司,91110106306360658P,306360658,罚款1460,2020/4/7,2020/4/22,国家税务总局北京市丰台区税务局卢沟桥税务所,正常
京朝一税罚20206,发票违法,"丢失北京市商业企业专用发票100份,发票代码：111000821011,发票号码：08782801-08782850，09289276-09289325	",《中华人民共和国发票管理办法》第三十六条第二款,北京众博广鸿文化传媒有限公司,,67425850X,罚款2000,2020/4/7,2020/4/22,国家税务总局北京市朝阳区税务局第一税务所（办税服务厅）,注销
京海三税罚20207,发票违法,"丢失空白北京市商业企业专用发票75份，发票代码：111000521011，发票号码：46458726-46458800；丢失空白北京市工商企业资金往来专用发票25份，发票代码：111000561011，发票号码：01986776-01986800。",《中华人民共和国发票管理办法》第三十六条第二款,尚道盈通（北京）科技发展有限公司,,786885313,罚款2000,2020/4/7,2020/4/22,国家税务总局北京市海淀区税务局,注销
京通四税罚202048,违反税收管理,未按照规定期限办理纳税申报和报送纳税资料，增值税2019-04-01至2019-06-30逾期未申报,《中华人民共和国税收征收管理法》第六十二条,北京台湖立才机械制品修理部,,,罚款1000,2020/4/7,2020/4/22,国家税务总局北京市通州区税务局第四税务所,正常
京海税罚2020182,违反税收管理,该企业在2017年11--12月期间，存在冒用他人个人信息做个税明细申报行为，涉及虚列成本28000元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京小宝时代文化传媒有限公司,91110108MA018UCD62,MA018UCD6,罚款5000,2020/4/13,2020/4/29,国家税务总局北京市海淀区税务局,正常
京怀一税罚20201,发票违法,增值税专用发票不慎遗失1份；2008版普通发票不慎遗失38份,《中华人民共和国发票管理办法》第三十六条第二款,湖北弘毅建设有限公司北京第六分公司,91110116MA0012RN8G,MA0012RN8,罚款1160,2020/4/7,2020/4/22,国家税务总局北京市怀柔区税务局第一税务所（办税服务厅）,正常
京通四税罚202049,违反税收管理,未按照规定期限办理纳税申报和报送纳税资料，城镇土地使用税20190101至20190630逾期未申报,《中华人民共和国税收征收管理法》第六十二条,北京市通州区漷县思军副食店,92110112MA00HWD422,,罚款1000,2020/4/7,2020/4/22,国家税务总局北京市通州区税务局第四税务所,正常
京平一税罚20203,发票违法,"你单位违反《中华人民共和国发票管理办法》第二十九条之规定，于2019年9月丢失“北京增值税专用发票”5份，发票代码为：1100191130，发票号码为：06554115，06554116,06554117,06554119,06554120向税务机关书面报告。",《中华人民共和国发票管理办法》第三十六条第二款,北京世纪旺达运输有限公司,911101175732381125,573238112,罚款2000,2020/4/7,2020/4/22,国家税务总局北京市平谷区税务局第一税务所（办税服务厅）,正常
京通四税罚202050,违反税收管理,未按照规定期限办理纳税申报和报送纳税资料，增值税2019-07-012019-09-30逾期未申报,《中华人民共和国税收征收管理法》第六十二条,北京立华冬青复印部,92110112MA00WC2829,,罚款1000,2020/4/7,2020/4/22,国家税务总局北京市通州区税务局第四税务所,正常
京海税罚2020246,违反税收管理,该企业在2016年7月-2017年12月期间，存在冒用他人个人信息做个税明细申报行为，涉及虚列成本63000元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京鑫华荣设备安装工程有限公司,91110108733477340P,733477340,罚款5000,2020/5/7,2020/5/25,国家税务总局北京市海淀区税务局,正常
京海税罚2020249,违反税收管理,纳税人、扣缴义务人编造虚假计税依据，在2019年4月至2019年10月期间存在个人所得税身份信息冒用行为，虚列成本24500元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京博思速达教育咨询有限公司,911101080896248638,089624863,罚款5000,2020/5/7,2020/5/26,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,正常
京海税罚2020269,违反税收管理,"纳税人、扣缴义务人编造虚假计税依据，在2019年4月至2019年12月期间存在虚报个人所得税身份信息冒用行为，虚列成本932626.23元。",《中华人民共和国税收征收管理法》第六十四条第一款,北京象翌微链计算技术有限公司,91110108565835371N,565835371,罚款40000,2020/5/9,2020/6/1,国家税务总局北京市海淀区税务局,正常
京海税罚2020263,违反税收管理,该企业在2017年4月至2019年10月期间，存在冒用他人个人信息做个税明细申报行为（顾方超），涉及虚列成本80500元,《中华人民共和国税收征收管理法》第六十四条第一款,诺嘉（北京）科技发展有限责任公司,91110108330264084L,330264084,罚款5000,2020/5/8,2020/5/26,国家税务总局北京市海淀区税务局,正常
京顺一税罚202012,发票违法,"遗失增值税专用发票，发票代码:1100184130,发票号码：06161845-06161845，发票代码：1100193130，发票号码：09447324-09447325。",《中华人民共和国发票管理办法》第三十六条第二款,北京凯利同辉建材有限公司,911101135844326746,584432674,罚款1200,2020/4/27,2020/5/12,国家税务总局北京市顺义区税务局第一税务所（办税服务厅）,正常
京海四税罚202015,违反税收管理,该企业在2018年3-4月期间，存在冒用他人个人信息做个税明细申报行为，涉及虚列成本6600元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京华谊合众科技有限公司,91110108563604756T,563604756,罚款2000,2020/4/27,2020/5/12,国家税务总局北京市海淀区税务局,正常
京西一税罚20205,发票违法,该单位2020年4月丢失已开具北京增值税专用发票3份（抵扣联、发票联），发票代码1100194130，发票号码26011722-26011724。,《中华人民共和国发票管理办法》第三十六条第二款,北京桥隆传媒广告有限公司,91110102MA00DKN41M,MA00DKN41,罚款1200,2020/4/27,2020/5/12,国家税务总局北京市西城区税务局第一税务所（办税服务厅）,正常
京海税罚2020251,违反税收管理,纳税人、扣缴义务人编造虚假计税依据，在2018年4-6月期间存在个人所得税身份信息冒用行为，虚列成本31500元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京九天浩安消防设备有限公司,911101083354431029,335443102,罚款6000,2020/5/7,2020/5/25,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,正常
京海一税罚202019,违反税收管理,纳税人、扣缴义务人编造虚假计税依据，在2018.12.01-2018.12.31期间存在个人所得税身份信息冒用行为，虚列成本4950元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京双灵绿洲科技有限公司,91110108587736518N,587736518,罚款2000,2020/4/27,2020/5/12,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,正常
京海税罚2020198,违反税收管理,该企业在2017年11月至2019年10月属期期间，存在冒用他人个人信息做个税明细申报行为，涉及虚列成本72000元,《中华人民共和国税收征收管理法》第六十四条第一款,北京泰和瑞通商贸有限公司,,789982370,罚款5000,2020/4/21,2020/5/7,国家税务总局北京市海淀区税务局,正常
京海四税罚202012,发票违法,2020年3月16日丢失手撕定额发票154张，发票代码：111001966071，起终号码：16164051-16164100，共50张；起终号码：16164701-16164750，共50张；起终号码：16164651-16164654，共4张；起终号码：16167701-16167750，共50张,《中华人民共和国发票管理办法》第三十六条第二款,北京东升博展科技发展有限公司博众泰科分公司,91110108MA007WRL60,MA007WRL6,罚款1140,2020/4/9,2020/4/24,国家税务总局北京市海淀区税务局,正常
京怀一税罚20202,违反税收管理,2011年11月11日、2013年8月19日 印花税（实收资本）不进行纳税申报，不缴或者少缴应纳税款,《中华人民共和国税收征收管理法》第六十四条第二款,北京一线达通科技发展有限公司,91110116760116970M,760116970,罚款1173,2020/4/10,2020/4/26,国家税务总局北京市怀柔区税务局第一税务所（办税服务厅）,正常
京通四税罚202061,违反税收管理,未按照规定期限办理纳税申报和报送纳税资料，增值税2019-10-01至2019-12-31逾期未申报,《中华人民共和国税收征收管理法》第六十二条,北京市西集仁和居饭庄,92110112L15439131F,,罚款200,2020/4/10,2020/4/26,国家税务总局北京市通州区税务局第四税务所,正常
京海税罚2020211,违反税收管理,该企业在2019年2月至11月期间，存在冒用他人个人信息做个税明细申报行为（被冒用人：傅东），涉及虚列成本35000元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京浓情地带餐饮管理有限公司,91110108051425551A,051425551,罚款6000,2020/4/24,2020/5/9,国家税务总局北京市海淀区税务局,正常
京海一税罚202013,发票违法,丢失空白增值税专用发票4份，发票代码：1100153130，发票号码：04058672-04058675。,《中华人民共和国发票管理办法》第三十六条第二款,北京永鑫嘉诚商贸有限公司,,080539953,罚款1600,2020/4/10,2020/4/26,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,清算
京通四税罚202062,违反税收管理,未按照规定期限办理纳税申报和报送纳税资料，房产税（从价计征）2018-01-01至2018-06-30逾期未申报,《中华人民共和国税收征收管理法》第六十二条,北京惠客嘉百货商店,,,罚款1000,2020/4/10,2020/4/26,国家税务总局北京市通州区税务局第四税务所,正常
京海税罚2020213,违反税收管理,纳税人、扣缴义务人编造虚假计税依据，在2017年11月至2018年9月属期期间存在个人所得税身份信息冒用行为，虚列成本52850元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京中海创达科技有限公司,91110108330249319J,330249319,罚款5000,2020/4/24,2020/5/11,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,正常
京海税罚2020236,违反税收管理,你单位2011年至2016年部分员工个人所得税应扣未扣，应扣未扣税款6774722.67元,《中华人民共和国税收征收管理法》第六十九条,恩梯梯数据（中国）有限公司,91110000700004619R,700004619,罚款3387361.34,2020/4/29,2020/5/14,国家税务总局北京市海淀区税务局,正常
京海税罚2020207,发票违法,"丢失空白北京市商业企业专用发票50份，发票代码为111000421011，发票号码为29922551-29922600；丢失空白北京市工商企业资金往来专用发票50份，发票代码为111000561011，发票号码为00224076-00224125；丢失空白北京市工业企业专用发票50份，发票代码为111000411011，发票号码为02579326-02579375；丢失空白增值税专用发票中文四联电脑版25份，发票代码为1100024140，发票号码为04350951-04350975。",《中华人民共和国发票管理办法》第三十六条第二款,北京通达万维网络科技有限公司,,802048540,罚款13000,2020/4/22,2020/5/12,国家税务总局北京市海淀区税务局,注销
京兴四税罚20205,发票违法,丢失发票,《中华人民共和国发票管理办法》第三十六条第二款,北京欧雅丽家具厂,92110115L053629782,L05362978,罚款1000,2020/4/13,2020/4/28,国家税务总局北京市大兴区税务局第四税务所,正常
京海税罚2020202,违反税收管理,"该企业在2019年11月-2020年02月，存在冒用郑小妹个人信息做个税明细申报行为，郑小妹三个月每月申报4650元,后一个月申报3550元,共计4个月,涉及虚列成本17500元，该公司累计虚增成本17500元",《中华人民共和国税收征收管理法》第六十四条第一款,北京智睿博雅文化传媒有限公司,91110108MA01NENR9Y,MA01NENR9,罚款5000,2020/4/21 8:55:32,2020/5/11,国家税务总局北京市海淀区税务局,正常
京通四税罚202063,违反税收管理,未按照规定期限办理纳税申报和报送纳税资料，增值税2019-10-01至2019-12-31逾期未申报,《中华人民共和国税收征收管理法》第六十二条,北京细节一百商贸中心,92110112MA01M6071T,,罚款200,2020/4/13,2020/4/28,国家税务总局北京市通州区税务局第四税务所,正常
京昌五税罚20203,发票违法,"损（撕）毁发票发票烧毁",《中华人民共和国发票管理办法》第三十六条第二款,北京华利万佳百货商店,92110114MA00RC322E,,罚款200,2020/4/13,2020/4/28,国家税务总局北京市昌平区税务局第五税务所,正常
京海税罚2020195,违反税收管理,纳税人、扣缴义务人编造虚假计税依据，在2019年4月至2019年8月期间存在个人所得税身份信息冒用行为，虚列成本25000元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京盛世金谷文化发展有限公司,91110108MA00BMR684,MA00BMR68,罚款5000,2020/4/21,2020/5/11,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,正常
京海税罚2020188,违反税收管理,该企业在2019年8月至2020年3月期间，存在冒用他人个人信息做个税明细申报行为，涉及虚列成本27120元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京悦动康国际体育发展有限公司,91110108318395436T,318395436,罚款5000,2020/4/15 14:02:54,2020/5/6,国家税务总局北京市海淀区税务局,正常
京昌税罚20203,发票违法,"你单位于2020年04月30日因保管不善遗失北京增值税专用发票14份,发票代码1100194130，发票号码03904362-03904375;北京增值税普通发票5份，发票代码011001800304，发票号码01033691-01033695。违反了《中华人民共和国发票管理办法》第二十九条之规定",《中华人民共和国发票管理办法》第三十六条之规定“丢失发票或者擅自损毁发票的，依照前款规定处罚。即由税务机关责令改正，可以处1万元以下的罚款；情节严重的，处1万元以上3万元以下的罚款；有违法所得的予以没收。”,宁劲志远科技（北京）有限公司,91110114MA01FJNM84,MA01FJNM8,罚款5700,2020/4/30,2020/5/15,国家税务总局北京市昌平区税务局第一税务所（办税服务厅）,正常
京海税罚2020290,违反税收管理,"纳税人、扣缴义务人编造虚假计税依据，在2018年9月至2019年12月期间存在虚报个人所得税身份信息冒用行为，虚列成本60800元。",《中华人民共和国税收征收管理法》第六十四条第一款,北京创音阁科技发展有限公司,91110108742606167P,742606167,罚款5100,2020/5/12,2020/6/1,国家税务总局北京市海淀区税务局,正常
京通四税罚202080,违反税收管理,"未按照规定期限办理纳税申报和报送纳税资料，,2019-11-01至2019-11-30所属期间增值税未按期进行申报",《中华人民共和国税收征收管理法》第六十二条,北京久瑞祥菜馆,92110112L44721566Y,,罚款600,2020/4/30,2020/5/15,国家税务总局北京市通州区税务局第四税务所,正常
京海税罚2020308,违反税收管理,纳税人、扣缴义务人编造虚假计税依据，在2019年6月-10月期间存在个人所得税身份信息冒用行为，虚列成本75000元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京奕通联达科技发展有限公司,91110108749369117A,749369117,罚款8000,2020/5/14,2020/5/29,国家税务总局北京市海淀区税务局第一税务所（办税服务厅）,正常
京海八税罚202049,发票违法,通用手工发票27634751 27634800 丢失50份发票,《中华人民共和国发票管理办法》第三十六条第二款，纳税人未按照规定的期限办理纳税申报和报送纳税资料的，或者扣缴义务人未按照规定的期限向税务机关报送代扣代缴、代收代缴税款报告表和有关资料的，由税务机关责令限期改正，可以处二千元以下的罚款；情节严重的，可以处二千元以上一万元以下的罚款,北京东方盛伟业商贸中心,92110108L28713910G,,罚款1000,2020/4/30,2020/5/15,国家税务总局北京市海淀区税务局第八税务所,注销
