序号,法人代码,法人单位名称,所属园区,所属技术领域
355,10161861-9,北京协和药厂,大兴园,生物工程和新医药
356,74017390-0,北京天成瑞源电缆有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
357,76353531-0,北京民海生物科技有限公司,大兴园,生物工程和新医药
358,79405853-7,北京以岭药业有限公司,大兴园,生物工程和新医药
359,40000238-X,中铁第五勘察设计院集团有限公司,大兴园,先进制造技术
360,60005627-8,北京费森尤斯卡比医药有限公司,大兴园,生物工程和新医药
361,67740314-3,北京北汽模塑科技有限公司,大兴园,新能源与高效节能技术
362,60006254-7,北京三元食品股份有限公司,大兴园,现代农业技术动植物优良新品种
363,72267675-8,北京九州通医药有限公司,大兴园,电子与信息
364,74545993-2,北京红惠新医药科技有限公司,大兴园,生物工程和新医药
365,70035299-8,北京新同达机电装备科技有限公司,大兴园,新能源与高效节能技术
366,76143538-3,北京合创三众能源科技股份有限公司,大兴园,新能源与高效节能技术
367,57322196-X,北京华脉泰科医疗器械有限公司,大兴园,先进制造技术
368,70006149-6,国网（北京）节能设计研究院有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
369,73645608-6,北京宝丰钢结构工程有限公司,大兴园,新材料及应用技术
370,58256420-0,北京吉利客科技股份有限公司,大兴园,先进制造技术
371,78396299-3,北京威特空间科技有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
372,05560140-1,北京大漠石油工程技术有限公司,大兴园,先进制造技术
373,10161934-7,北京京仪北方仪器仪表有限公司,大兴园,先进制造技术
374,75873862-3,北京麦邦光电仪器有限公司,大兴园,生物工程和新医药
375,75602000-1,北京星光拓诚投资有限公司,大兴园,电子与信息
376,77409946-2,北京瑞意恒动科技有限公司,大兴园,电子与信息
377,09944132-3,北京世纪东方通讯设备有限公司,大兴园,电子与信息
378,80222698-4,北京首航艾启威节能技术股份有限公司,大兴园,环境保护技术
379,10285060-4,北京建工新型建材科技股份有限公司,大兴园,先进制造技术
380,10117657-4,北京市阀门总厂股份有限公司,大兴园,先进制造技术
381,10285386-4,北京铁路信号有限公司,大兴园,电子与信息
382,71092712-6,新华网股份有限公司,大兴园,电子与信息
383,55309176-6,北京普莱德新能源电池科技有限公司,大兴园,新能源与高效节能技术
384,30677221-4,北京华文众合科技有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
385,31807742-X,北京中飞东方航空科技有限公司,大兴园,现代农业技术动植物优良新品种
386,33977186-7,北京法研堂文化传媒有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
387,MA01A8X7-1,北京电满满科技有限公司,大兴园,先进制造技术
388,08963775-2,环宇天蓝（北京）环保科技有限公司,大兴园,环境保护技术
389,10179992-3,北京世迈腾科技有限公司,大兴园,电子与信息
390,35527439-3,北京好巧国际旅行社有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
391,MA0067PE-2,北京天龙智控科技有限公司,大兴园,航空航天技术
392,59609245-1,北京科牧丰生物制药有限公司,大兴园,生物工程和新医药
393,MA0051GP-3,北京中科基因技术有限公司,大兴园,生物工程和新医药
394,MA017K5L-4,北京安智因生物技术有限公司,大兴园,生物工程和新医药
395,MA009QNQ-6,北京贝诗丹生物科技有限公司,大兴园,生物工程和新医药
396,34844736-4,北京盛德诚信机电安装有限公司,大兴园,环境保护技术
397,MA0091Q4-7,德同（北京）科技发展有限公司,大兴园,电子与信息
398,75525587-X,北京富思特房屋技术有限公司,大兴园,新材料及应用技术
399,MA00BK7R-7,北京金衡融创网络科技有限公司,大兴园,电子与信息
400,35131691-2,北京盛图蓝音数字系统技术有限公司,大兴园,电子与信息
401,MA00D00Q-0,北京心智互动科技有限公司,大兴园,电子与信息
402,MA005M5B-6,北京三为源科技有限公司,大兴园,电子与信息
403,MA00AR81-4,北京龙腾微时代科技信息有限公司,大兴园,电子与信息
404,06485330-1,北京领为军融科技有限公司,大兴园,航空航天技术
405,MA007URB-9,北京东源明威科技有限公司,大兴园,电子与信息
406,MA001JUW-7,北京新能中试科技有限公司,大兴园,电子与信息
407,MA01B0XK-1,北京宝德立科技有限公司,大兴园,电子与信息
408,MA002BDP-5,北京通汇盛通环保科技发展有限公司,大兴园,环境保护技术
409,MA017WQ7-6,北京微迪航天科技有限公司,大兴园,航空航天技术
410,MA0196DY-4,北京弘生医药科技有限公司,大兴园,生物工程和新医药
411,MA0019TT-9,北京领为科技发展有限公司,大兴园,电子与信息
412,MA017WFU-4,北京通和立泰生物科技有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
413,MA01G820-X,复州（北京）环境科技有限责任公司,大兴园,新材料及应用技术
414,MA005DUD-7,北京云创远景科技有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
415,34833295-4,北京火龙果科学仪器有限公司,大兴园,先进制造技术
416,MA01JKXY-4,北京百肽生物科技有限公司,大兴园,生物工程和新医药
417,MA01A9TT-9,链得得财经（北京）信息科技有限公司,大兴园,电子与信息
418,MA009A7X-8,北京君铭时代节能环保集团有限公司,大兴园,环境保护技术
419,MA01FN3B-1,北京乾有科技有限公司,大兴园,电子与信息
420,MA004DG8-1,北京小勺科技有限公司,大兴园,电子与信息
421,MA01EXG3-0,小翼智造（北京）网络科技有限公司,大兴园,电子与信息
422,MA01GAGB-4,北京兴龙兄弟文化传媒有限责任公司,大兴园,电子与信息
423,MA01EDXP-4,华辰未来（北京）生物医学技术有限公司,大兴园,生物工程和新医药
424,MA01F2UU-1,安博瑞（北京）生物科技有限公司,大兴园,生物工程和新医药
425,MA002TB9-0,北京星油科技有限公司,大兴园,新能源与高效节能技术
426,MA00ARKQ-5,北京德普润新材料科技有限公司,大兴园,新材料及应用技术
427,MA01C9H8-1,艾迪美科（北京）生物科技有限公司,大兴园,生物工程和新医药
428,MA01B9HF-3,北京中广聚达科技有限公司,大兴园,电子与信息
429,MA009244-X,北京小维科技有限公司,大兴园,电子与信息
430,MA008YHL-3,北京欧禄森环保科技有限公司,大兴园,环境保护技术
431,80289807-8,北京市万年青环保厨房设备有限责任公司,大兴园,新能源与高效节能技术
432,66462972-5,北京安德盛威科技发展有限公司,大兴园,先进制造技术
433,MA01DG24-8,北京云漫文化传媒有限公司,大兴园,电子与信息
434,MA00FKXA-5,古恩科技（北京）有限公司,大兴园,先进制造技术
435,MA01LHYX-5,北京嘉清新能源科技有限公司,大兴园,新能源与高效节能技术
436,MA01L6HW-9,硅品（北京）新材料科技有限公司,大兴园,新材料及应用技术
437,MA006YHW-2,北京都市绿源环保科技有限公司,大兴园,环境保护技术
438,59768712-3,华夏生生药业（北京）有限公司,大兴园,生物工程和新医药
439,67743843-4,安华诺德（北京）科技有限公司,大兴园,电子与信息
440,55484835-3,北京花都家美办公家具有限公司,大兴园,先进制造技术
441,09750985-7,北京铮实环保工程有限公司,大兴园,环境保护技术
442,73824463-4,北京易迅博慧网络科技有限公司,大兴园,电子与信息
443,MA00A97C-9,北京腾博卓创科技发展有限公司,大兴园,电子与信息
444,80144178-9,北京华卫骥生物医药有限公司,大兴园,生物工程和新医药
445,56580102-4,北京安德普泰医疗科技有限公司,大兴园,新材料及应用技术
446,MA01GM2Q-0,北京承诺未来科技有限公司,大兴园,生物工程和新医药
447,68199604-1,北京双诚联盈净化工程技术有限公司,大兴园,环境保护技术
448,MA007FMP-0,北京浦江兄弟科技有限公司,大兴园,电子与信息
449,MA007UWG-1,北京嘉宝医学检验实验室有限公司,大兴园,生物工程和新医药
450,40068568-6,北京实验动物研究中心,大兴园,生物工程和新医药
451,MA01DUJ9-5,北京精诊医疗科技有限公司,大兴园,生物工程和新医药
452,MA01FDBY-3,北京中视天启科技有限公司,大兴园,电子与信息
453,72147806-3,北京同心众大医疗器械有限公司,大兴园,电子与信息
454,35794546-1,北京新科环保科技有限公司,大兴园,环境保护技术
455,56748234-6,中兆恒基（北京）工程管理有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
456,55853034-2,北京霍里思特科技有限公司,大兴园,电子与信息
457,33547412-8,北京医然制冷设备有限公司,大兴园,先进制造技术
458,MA01KKQP-1,创瑞国际体育文化发展（北京）有限公司,大兴园,电子与信息
459,75604183-0,北京坤源恒泰科技发展有限公司,大兴园,电子与信息
460,MA01D7QW-5,北京江泊途安科技有限公司,大兴园,先进制造技术
461,MA01EYUD-4,北京中能融创能源科技有限公司,大兴园,新能源与高效节能技术
462,MA01HDL4-2,北京智束科技有限公司,大兴园,生物工程和新医药
463,MA00AWDH-0,诺思诺德（北京）科技有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
464,MA00GUHG-5,北京京通智慧科技有限公司,大兴园,电子与信息
465,56746682-1,北京帝康医药投资管理有限公司,大兴园,生物工程和新医药
466,MA01APDE-8,北京中科利华医药研究院有限公司,大兴园,生物工程和新医药
467,MA01MD96-X,北京超影域科技有限公司,大兴园,电子与信息
468,MA01BA42-7,北京水木天蓬医疗设备有限公司,大兴园,先进制造技术
469,MA001UG6-5,北京妙力骏科技有限公司,大兴园,先进制造技术
470,07174606-1,濡新（北京）科技发展有限公司,大兴园,先进制造技术
471,MA01K9YL-X,北京华通集智医疗器械有限公司,大兴园,先进制造技术
472,MA01E2B6-9,北京金牌昊天集团有限公司,大兴园,现代农业技术动植物优良新品种
473,MA01PEPE-6,华夏天信（北京）机器人有限公司,大兴园,电子与信息
474,MA01L0T7-4,北京弗莱明科技有限公司,大兴园,新材料及应用技术
475,76354995-8,北京本草方源药业集团有限公司,大兴园,生物工程和新医药
476,MA01PET4-X,兆丰华生物科技（南京）有限公司北京生物医药科技中心,大兴园,生物工程和新医药
477,69960352-5,北京康美制药有限公司,大兴园,生物工程和新医药
478,68513885-3,北京建业通工程检测技术有限公司,大兴园,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
479,09890071-9,冠翔技术集团有限公司,大兴园,新材料及应用技术
480,80288768-6,北京今日天鸿医疗器械制造有限公司,大兴园,生物工程和新医药
481,56035846-5,艾科瑞（北京）仪器仪表有限公司,大兴园,电子与信息
482,MA002YEQ-2,北京开景基因技术有限公司,大兴园,生物工程和新医药
,,,,
