序号,企业（机构）名称
764,北京承龙顺元股权投资中心（有限合伙）
765,北京乐享汇文化发展有限公司
766,北京新海中恒商贸有限公司
767,北京百川房地产经纪公司
768,天津市塘沽区第一阀门厂北京第二销售部
769,北京密云四利达纸制品厂
770,北京关外情饺子城
771,国垦鑫源生态农业技术（北京）有限公司
772,北京丰谷生态农业基地
773,北京市邦德科技开发公司密云分公司
774,北京盛天宏润房地产经纪有限公司第一分公司
775,北京石院旅游开发有限公司
776,北京恒亚物业管理有限公司
777,北京万树流光影视策划有限公司
