北京市房山区卫生健康委2024年度行政许可公示台账（2024.1.1-2024.4.30）,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
187,房山区卫生健康委员会,北京天鸿宝地物业管理经营有限公司第四分公司,91110111082822971E,房卫水许字[2024]第060号,2024-04-08 00:00:00,是,是
188,房山区卫生健康委员会,北京天鸿宝地物业管理经营有限公司第四分公司,91110111082822971E,房卫水许字[2024]第061号,2024-04-08 00:00:00,是,是
189,房山区卫生健康委员会,北京天鸿宝地物业管理经营有限公司第四分公司,91110111082822971E,房卫水许字[2024]第062号,2024-04-08 00:00:00,是,是
190,房山区卫生健康委员会,北京金地格林物业管理有限公司房山分公司,911101110785827179,房卫水许字[2024]第052号,2024-04-07 00:00:00,是,是
191,房山区卫生健康委员会,北京金地格林物业管理有限公司房山分公司,911101110785827179,房卫水许字[2024]第053号,2024-04-07 00:00:00,是,是
192,房山区卫生健康委员会,北京金地格林物业管理有限公司房山分公司,911101110785827179,房卫水许字[2024]第054号,2024-04-07 00:00:00,是,是
193,房山区卫生健康委员会,北京金地格林物业管理有限公司房山分公司,911101110785827179,房卫水许字[2024]第055号,2024-04-07 00:00:00,是,是
194,房山区卫生健康委员会,北京金地格林物业管理有限公司房山分公司,911101110785827179,房卫水许字[2024]第056号,2024-04-07 00:00:00,是,是
195,房山区卫生健康委员会,北京嘉雪溪水业有限公司,91110111743312988X,房卫水许字[2024]第051号,2024-04-07 00:00:00,是,是
196,房山区卫生健康委员会,北京颜琪美容科技有限公司,91110111MADF88R79L,房卫环许字[2024]第156号,2024-04-18 00:00:00,是,是
197,房山区卫生健康委员会,焕妍（北京）美容科技有限公司,91110111MA01N9BWXP,房卫环许字[2024]第151号,2024-04-17 00:00:00,是,是
198,房山区卫生健康委员会,北京佰泰酒店管理有限公司,91110111MAD2AHXX3E,房卫环许字[2024]第152号,2024-04-17 00:00:00,是,是
199,房山区卫生健康委员会,北京芸聚枣园农家院餐饮有限公司,92110111MA00Q5G71L,房卫环许字[2024]第150号,2024-04-15 00:00:00,是,是
200,房山区卫生健康委员会,北京涵铭萱文旅有限公司,91110111MACEU7L40C,房卫环许字[2024]第149号,2024-04-12 00:00:00,是,是
201,房山区卫生健康委员会,北京艺阳茗李商贸有限公司,91110111MACMYWE94W,房卫环许字[2024]第139号,2024-04-12 00:00:00,是,是
202,房山区卫生健康委员会,北京艺阳茗李商贸有限公司,91110111MACMYWE94W,房卫环许字[2024]第140号,2024-04-12 00:00:00,是,是
203,房山区卫生健康委员会,北京初见十渡餐饮有限公司,91110111MA01LFML5R,房卫环许字[2024]第148号,2024-04-12 00:00:00,是,是
204,房山区卫生健康委员会,北京飘逸非凡美容美发店,92110111MA00EE4C5M,房卫环许字[2024]第138号,2024-04-12 00:00:00,是,是
205,房山区卫生健康委员会,北京飘逸非凡美容美发店,92110111MA00EE4C5M,房卫环许字[2024]第137号,2024-04-12 00:00:00,是,是
206,房山区卫生健康委员会,北京市房山区台球运动协会,51110111500731539A,房卫环许字[2024]第143号,2024-04-12 00:00:00,是,是
207,房山区卫生健康委员会,北京市房山区体育局,11110111000077761K,房卫环许字[2024]第142号,2024-04-12 00:00:00,是,是
208,房山区卫生健康委员会,北京长京百纳影城有限公司,91110111MAD9FX8J7P,房卫环许字[2024]第146号,2024-04-12 00:00:00,是,是
209,房山区卫生健康委员会,北京亿美康健康管理有限责任公司,91110111MA01WC3P9B,房卫环许字[2024]第147号,2024-04-12 00:00:00,是,是
210,房山区卫生健康委员会,北京七彩小镇酒店管理有限公司,91110111MACMWUP040,房卫环许字[2024]第145号,2024-04-11 00:00:00,是,是
211,房山区卫生健康委员会,北京溪语悦庭住宿中心,92110111L214860062,房卫环许字[2024]第144号,2024-04-11 00:00:00,是,是
212,房山区卫生健康委员会,北京佐媞美业有限公司,91110111MADFNE0N6L,房卫环许字[2024]第141号,2024-04-10 00:00:00,是,是
213,房山区卫生健康委员会,北京二渡碾子沟乡村旅游管理中心,92110111MACGBEA13J,房卫环许字[2024]第136号,2024-04-10 00:00:00,是,是
214,房山区卫生健康委员会,北京锦华嘉诚酒店有限公司,91110111MACPMX3X0D,房卫环许字[2024]第132号,2024-04-10 00:00:00,是,是
215,房山区卫生健康委员会,北京锦华嘉诚酒店有限公司,91110111MACPMX3X0D,房卫环许字[2024]第131号,2024-04-10 00:00:00,是,是
216,房山区卫生健康委员会,北京芬缇美颜科技有限公司,91110111MA01LFWW96,房卫环许字[2024]第116号,2024-04-10 00:00:00,是,是
217,房山区卫生健康委员会,北京蓝婷丽人美容美体中心,92110105L7376256X8,房卫环许字[2024]第135号,2024-04-10 00:00:00,是,是
218,房山区卫生健康委员会,北京诚智慧中物业管理有限公司,91110108801108855N,房卫水许字[2024]第065号,2024-04-18 00:00:00,是,是
219,房山区卫生健康委员会,北京诚智慧中物业管理有限公司,91110108801108855N,房卫水许字[2024]第066号,2024-04-18 00:00:00,是,是
220,房山区卫生健康委员会,北京诚智慧中物业管理有限公司,91110108801108855N,房卫水许字[2024]第067号,2024-04-18 00:00:00,是,是
221,房山区卫生健康委员会,北京诚智慧中物业管理有限公司,91110108801108855N,房卫水许字[2024]第068号,2024-04-16 00:00:00,是,是
222,房山区卫生健康委员会,北京房建信达物业管理有限公司行宫园物业管理中心,91110111770418585F,房卫水许字[2024]第064号,2024-04-18 00:00:00,是,是
223,房山区卫生健康委员会,北京市房山区周口店镇周口村村民委员会,54110111A02791603L,房卫水许字[2024]第063号,2024-04-18 00:00:00,是,是
224,房山区卫生健康委员会,北京永信至诚物业管理有限公司,911101110741599975,房卫水许字[2024]第050号,2024-04-10 00:00:00,是,是
225,房山区卫生健康委员会,北京昊远隆基物业管理有限公司,91110111102815243J,房卫水许字[2024]第058号,2024-04-12 00:00:00,是,是
226,房山区卫生健康委员会,北京龙建诚信物业管理有限公司,91110111774058054A,房卫水许字[2024]第057号,2024-04-12 00:00:00,是,是
227,房山区卫生健康委员会,北京星火燎原酒店管理有限责任公司,91110111MA01NC305Q,房卫环许字[2024]第182号,2024-04-28 00:00:00,是,是
228,房山区卫生健康委员会,北京友芹兴业农家院,92110111MA01NBAR89,房卫环许字[2024]第181号,2024-04-28 00:00:00,是,是
229,房山区卫生健康委员会,北京春燕美容美体有限公司,91110111MA01DG0F5E,房卫环许字[2024]第180号,2024-04-28 00:00:00,是,是
230,房山区卫生健康委员会,北京凯泽霖酒店管理有限公司,91110111MA01J9567U,房卫环许字[2024]第179号,2024-04-28 00:00:00,是,是
231,房山区卫生健康委员会,北京家峪澜庭旅游专业合作社,93110111MAC02TWF52,房卫环许字[2024]第178号,2024-04-28 00:00:00,是,是
232,房山区卫生健康委员会,北京市嫂子美发店,92110111MAC1GDR470,房卫环许字[2024]第173号,2024-04-28 00:00:00,是,是
233,房山区卫生健康委员会,北京梦途欢朋酒店有限公司,91110111MAD707FL3W,房卫环许字[2024]第177号,2024-04-26 00:00:00,是,是
234,房山区卫生健康委员会,北京爱上美尔美容有限公司,91110111MADJGTJY3R,房卫环许字[2024]第175号,2024-04-25 00:00:00,是,是
235,房山区卫生健康委员会,北京永辉超市有限公司北京房山分公司,91110111MA002MAH06,房卫环许字[2024]第174号,2024-04-25 00:00:00,是,是
236,房山区卫生健康委员会,北京青晴餐饮有限公司,91110111MA01E73108,房卫环许字[2024]第172号,2024-04-24 00:00:00,是,是
237,房山区卫生健康委员会,北京裕昌兴隆商贸有限公司,91110111MA004F2C0P,房卫环许字[2024]第171号,2024-04-24 00:00:00,是,是
238,房山区卫生健康委员会,北京市房山区琉璃河顺风旅馆,92110111L15418883D,房卫环许字[2024]第170号,2024-04-24 00:00:00,是,是
239,房山区卫生健康委员会,北京小锦鲤美容有限公司,91110111MAD1XTRG3U,房卫环许字[2024]第169号,2024-04-24 00:00:00,是,是
240,房山区卫生健康委员会,北京赛睿斯健康管理有限公司,91110111MADG0PDN4H,房卫环许字[2024]第167号,2024-04-23 00:00:00,是,是
241,房山区卫生健康委员会,北京初壹美发店（个体工商户）,92110111MADG1WQJ94,房卫环许字[2024]第168号,2024-04-23 00:00:00,是,是
242,房山区卫生健康委员会,北京香亮餐饮有限公司,91110111MA01F9BT1Q,房卫环许字[2024]第166号,2024-04-23 00:00:00,是,是
243,房山区卫生健康委员会,北京花悦佰合美容中心（个体工商户）,92110111MADFT2C39K,房卫环许字[2024]第165号,2024-04-23 00:00:00,是,是
244,房山区卫生健康委员会,北京山谷花园旅游有限公司,91110111MAC3K42R5B,房卫环许字[2024]第164号,2024-04-22 00:00:00,是,是
245,房山区卫生健康委员会,北京市双余佳年日杂店,92110111MA00WWJA18,房卫环许字[2024]第163号,2024-04-22 00:00:00,是,是
246,房山区卫生健康委员会,北京阿尔马丁美发有限公司,91110111MA00CMFR94,房卫环许字[2024]第153号,2024-04-22 00:00:00,是,是
247,房山区卫生健康委员会,北京虹城艺型美发有限公司,91110111MA006NMK6F,房卫环许字[2024]第162号,2024-04-22 00:00:00,是,是
248,房山区卫生健康委员会,北京阿尔马丁美发有限公司,91110111MA00CMFR94,房卫环许字[2024]第154号,2024-04-22 00:00:00,是,是
249,房山区卫生健康委员会,北京悦茹义美容美发有限公司,91110111MACBDURB3M,房卫环许字[2024]第155号,2024-04-22 00:00:00,是,是
250,房山区卫生健康委员会,北京十渡鑫峰源餐饮有限公司,91110111MA01D02D8D,房卫环许字[2024]第161号,2024-04-19 00:00:00,是,是
251,房山区卫生健康委员会,北京龙兴源餐饮中心,92110111MAC6K7U386,房卫环许字[2024]第160号,2024-04-19 00:00:00,是,是
252,房山区卫生健康委员会,北京顺鑫昌科技有限公司,91110111MABYPTH60T,房卫环许字[2024]第159号,2024-04-19 00:00:00,是,是
253,房山区卫生健康委员会,北京水上凉亭餐饮有限公司,91110111MA01D4261D,房卫环许字[2024]第158号,2024-04-19 00:00:00,是,是
254,房山区卫生健康委员会,北京市房山区十渡镇七渡村靳永红农家院饭馆,92110111MA00RUM73X,房卫环许字[2024]第157号,2024-04-19 00:00:00,是,是
255,房山区卫生健康委员会,北京永隆国际洒店物业管理有限公司,91110111749352059Y,房卫水许字[2024]第073号,2024-04-28 00:00:00,是,是
256,房山区卫生健康委员会,北京永隆国际酒店物业管理有限公司,91110111749352059Y,房卫水许字[2024]第074号,2024-04-28 00:00:00,是,是
257,房山区卫生健康委员会,北京永隆国际酒店物业管理有限公司,91110111749352059Y,房卫水许字[2024]第075号,2024-04-28 00:00:00,是,是
258,房山区卫生健康委员会,北京市房山区长阳镇水碾屯第二村社区股份经济合作社,N2110111786855552D,房卫水许字[2024]第072号,2024-04-23 00:00:00,是,是
259,房山区卫生健康委员会,北京万科物业服务有限公司,91110113102517246F,房卫水许字[2024]第070号,2024-04-24 00:00:00,是,是
260,房山区卫生健康委员会,北京万科物业服务有限公司,91110113102517246F,房卫水许字[2024]第071号,2024-04-24 00:00:00,是,是
261,房山区卫生健康委员会,北京天鸿宝地物业管理经营有限公司第四分公司,91110111082822971E,房卫水许字[2024]第069号,2024-04-22 00:00:00,是,是
262,房山区卫生健康委员会,北京颐道源美容有限公司,91110111MAD07TNA61,房卫环许字[2024]第176号,2024-04-30 00:00:00,是,是
263,房山区卫生健康委员会,北京慕色造型美容美发店（个体工商户）,92110111MADG7N1E7A,房卫环许字[2024]第188号,2024-04-29 00:00:00,是,是
264,房山区卫生健康委员会,北京予熙美容有限公司,91110111MAD0URYN22,房卫环许字[2024]第187号,2024-04-29 00:00:00,是,是
265,房山区卫生健康委员会,北京市嫂子美发店,92110111MAC1GDR470,房卫环许字[2024]第186号,2024-04-29 00:00:00,是,是
266,房山区卫生健康委员会,北京艾焕堂健康管理有限公司,91110111MADBYRPE3Q,房卫环许字[2024]第185号,2024-04-29 00:00:00,是,是
267,房山区卫生健康委员会,北京家郡美发店（个体工商户）,92110111MADKM78332,房卫环许字[2024]第183号,2024-04-29 00:00:00,是,是
