项目名称,项目地址,建设单位,预售证号,发证时间,开发企业名称
润悦中心,右安门街道亚林西土地一级开发0501-647地块,北京润臻置业有限公司,京房售证字( 2024 ) 27 号,20240328,北京润臻置业有限公司
温泉花园,妫水北街2号,北京中源凯佳房地产开发有限公司,京房售证字( 2015 ) 10 号,20150214,北京中源凯佳房地产开发有限公司
缦云福苑（一期）,永顺东里（万福家园）,北京顺开房地产开发有限公司,京房售证字( 2024 ) 45 号,20240501,北京顺开房地产开发有限公司
华润智慧中心,小汤山镇（未来科技城北区）CP05-0801-0011、0013地块F1住宅混合公建用地,北京未来科技城润昌置业有限公司,京房售证字( 2017 ) 76 号,20170624,北京未来科技城润昌置业有限公司
梧桐园,北房镇、怀北镇,北京怀柔科学城城开四部开发建设有限公司,京房售证字( 2024 ) 94 号,20240930,北京怀柔科学城城开四部开发建设有限公司
北京卧龙国际山庄,北京密云国际会议中心北侧,北京慧诚房地产开发有限公司,京房售证字( 2007 ) 263 号,20070729,北京慧诚房地产开发有限公司
新城国际公寓,朝外大街6号新城国际C2组团,北京万置房地产开发有限公司,京房售证字( 2006 ) 233 号,20060630,北京万置房地产开发有限公司
定泗路88号,北七家镇世纪星城住宅小区,北京市八仙房地产开发有限责任公司,京房售证字( 2007 ) 193 号,20070615,北京市八仙房地产开发有限责任公司
新城国际公寓,朝外大街6号新城国际C2组团,北京万置房地产开发有限公司,京房售证字( 2005 ) 91 号,20050325,北京万置房地产开发有限公司
小悦中心,青年路北口,北京元邑房地产开发有限责任公司,京房售证字( 2012 ) 30 号,20120317,北京元邑房地产开发有限责任公司
溪上雅苑,亦庄镇亦庄新城Ⅱ-1街区B01R1-1等地块,北京融创嘉业房地产开发有限公司,京房售证字( 2014 ) 285 号,20141218,北京融创嘉业房地产开发有限公司
美庐家园,北京市通州区马驹桥镇亦庄新城0500街区YZ00-0500-6007地块R2二类居住用地,中交润致（北京）置业有限公司,京房售证字( 2020 )开15号,20201202,中交润致（北京）置业有限公司
创投商务中心,庞各庄镇镇区6号地PGZ01-11地块商业金融用地项目,北京龙熙房地产开发有限责任公司,京房售证字( 2016 ) 25 号,20160324,北京龙熙房地产开发有限责任公司
泰华龙旗广场,回龙观镇黄土店,北京市泰华房地产开发集团有限公司,京房售证字( 2011 ) 112 号,20110713,北京市泰华房地产开发集团有限公司
璟山雅苑,广宁村棚户区改造项目SS00-1603-2015、2019地块R2二类居住用地,北京保景和筑置业有限公司,京房售证字( 2023 ) 106 号,20230927,北京保景和筑置业有限公司
柏阳景园,朝阳区王四营乡道口村,北京柏基置业有限公司,京房售证字(2004)306号,20040728,北京柏基置业有限公司
蓝郡嘉苑,昌平区西环南路,北京兆恒房地产开发有限公司,京房售证字(2004)409号,20040908,北京兆恒房地产开发有限公司
祥瑞家园,马坊工业区西区185号,北京梓韵房地产开发有限公司,京房售证字( 2016 ) 130 号,20160710,北京梓韵房地产开发有限公司
腾龙家园,窦店镇下坡店村,北京华风腾龙房地产开发有限公司,京房售证字( 2016 ) 163 号,20160814,北京华风腾龙房地产开发有限公司
亚林上苑,亚林西居住区一期0501-626地块,北京亚林东房地产开发有限公司,京房售证字( 2017 ) 95 号,20170805,北京亚林东房地产开发有限公司
天悦名苑,南苑乡槐房村和新宫村1404-657地块,北京悦恒置业有限公司,京房售证字( 2017 ) 146 号,20171112,北京悦恒置业有限公司
瑞绣佳园,台湖镇4-1-008地块F2公建综合住宅用地项目,北京首开万科置业有限公司,京房售证字( 2016 ) 227 号,20161118,北京首开万科置业有限公司
榆滨芳苑,宋庄镇(东海花园一期),北京海港房地产开发有限公司,京房售证字( 2017 ) 23 号,20170319,北京海港房地产开发有限公司
元启繁星园,西红门镇DX04-0102-6035地块R2二类居住用地,北京凤河桥北房地产开发有限公司,京房售证字( 2024 ) 74 号,20240828,北京凤河桥北房地产开发有限公司
紫苑嘉园,花乡樊家村危改6号项目,北京唯逸房地产开发有限公司,京房售证字( 2022 ) 104 号,20220729,北京唯逸房地产开发有限公司
元禧景园,1609街区新首钢国际人才社区核心区1609-014地块R2二类居住用地,北京首怡科新置业有限公司,京房售证字( 2025 ) 141 号,20251212,北京首怡科新置业有限公司
锦宸和苑,顺义新城第13街区SY00-0013-6056地块二类居住用地,北京金顺保筑置业有限公司,京房售证字( 2022 ) 75 号,20220614,北京金顺保筑置业有限公司
紫金新干线家园,东小口镇霍营村新干线住宅小区D区,北京新领域房地产开发有限公司,京房售证字( 2024 ) 114 号,20241113,北京新领域房地产开发有限公司
璞隐雅园,孙河乡前苇沟组团棚户区改造土地开发项目（3006-006地块）,北京兴鼎房地产开发有限公司,京房售证字( 2025 ) 4 号,20250113,北京兴鼎房地产开发有限公司
,旧县村,北京汇超房地产开发有限公司,京房售证字( 2006 ) 335 号,20060831,北京汇超房地产开发有限公司
紫金新干线家园,东小口镇霍营村新干线住宅小区D区,北京新领域房地产开发有限公司,京房售证字( 2023 ) 2号,20230113,北京新领域房地产开发有限公司
紫贵丽景花园,兴谷新消费综合体项目PG00-0106-0104地块R2二类居住用地,北京辰禾嘉业房地产开发有限公司,京房售证字( 2024 ) 59 号,20240630,北京辰禾嘉业房地产开发有限公司
四季怡园,永定镇MC00-0018-0004,北京屹泰房地产开发有限公司,京房售证字( 2017 ) 174 号,20171221,北京屹泰房地产开发有限公司
璟贤瑞庭,良乡大学城拓展东区FS00-0125-0008地块二类城镇住宅用地,北京诚开京铖房地产开发有限责任公司,京房售证字( 2025 ) 145 号,20251218,北京诚开京铖房地产开发有限责任公司
,亚运村北小营欧陆经典北区C座、裙房及地下车库,北京太合龙脉房地产开发有限责任公司,京房售证字( 2005 ) 563 号,20051024,北京太合龙脉房地产开发有限责任公司
,黄村镇老街危改B区,北京城市开发股份有限公司,京房售证字( 2006 ) 177 号,20060519,北京城市开发股份有限公司
欣达园小区南区,北京市通州区梨园镇大马庄,北京市欣达园房地产开发有限公司,京房售证字( 2005 ) 65 号,20050307,北京市欣达园房地产开发有限公司
,南磨房乡四路通村四路通住宅小区,北京力维斯凯亚房地产开发有限公司,京房售证字(2005)23号,20050126,北京力维斯凯亚房地产开发有限公司
,长辛店镇新区崔村居住区D区,北京创世愿景房地产开发有限公司,京房售证字( 2005 ) 665 号,20051211,北京创世愿景房地产开发有限公司
久润花园小区,密云镇车站路2号,北京久润房地产开发有限公司,京房售证字( 2006 ) 17 号,20060118,北京久润房地产开发有限公司
顺驰蓝调嘉园,菜户营西街117号,北京顺驰置地丰润房地产开发有限公司,京房售证字( 2007 ) 174 号,20070530,北京顺驰置地丰润房地产开发有限公司
,北七家镇海青落村北,北京置信华安房地产开发有限公司,京房售证字( 2006 ) 115 号,20060406,北京置信华安房地产开发有限公司
嘉州水郡,长阳镇哑叭河村,北京日兴房地产发展有限公司,京房售证字( 2007 ) 398 号,20071028,北京日兴房地产发展有限公司
,北七家镇世纪星城住宅小区,北京市八仙房地产开发有限责任公司,京房售证字( 2006 ) 342 号,20060903,北京市八仙房地产开发有限责任公司
紫金新干线家园,东小口镇霍营村新干线住宅小区B1-B25号及中心花园地下车库,北京新领域房地产开发有限公司,京房售证字( 2009 ) 76 号,20090415,北京新领域房地产开发有限公司
珠江旭景家园,永顺镇潞苑五街南侧珠江国际家园二期居住项目用地,北京珠江房地产开发有限公司,京房售证字( 2013 ) 207 号,20131117,北京珠江房地产开发有限公司
嘉州水郡,长阳镇哑叭河村金果园住宅小区A地块,北京日兴房地产发展有限公司,京房售证字( 2008 ) 133 号,20080424,北京日兴房地产发展有限公司
远见名苑,广安门外红居危改三期工程项目用地,北京裕泰达房地产开发有限公司,京房售证字( 2006 ) 146 号,20060422,北京裕泰达房地产开发有限公司
,朝阳区石佛营东里134号院,北京贵竹苑房地产开发有限公司,京房售证字(2004)588号,20041210,北京贵竹苑房地产开发有限公司
,呼家楼商务居住综合区一期3号办公楼,北京安联置业发展有限公司,京房售证字( 2006 ) 212 号,20060609,北京安联置业发展有限公司
西贸中心,复兴路51号北亚国际中心1－5层、6层商业部分及地下部分，6－11层办公部分，6－19层公寓部分,北京北亚华欣置业有限公司,京房售证字( 2008 ) 280 号,20080726,北京北亚华欣置业有限公司
,百子湾路32号,北京今典鸿运房地产开发有限公司,京房售证字( 2006 ) 166 号,20060502,北京今典鸿运房地产开发有限公司
,角门马家堡亚飞住宅小区,北京市鑫华利苑房地产开发有限公司,京房售证字( 2005 ) 640 号,20051204,北京市鑫华利苑房地产开发有限公司
北潞馨家园,房山区良乡卫星城西侧北潞馨家园住宅小区,北京昊远隆基房地产开发总公司,京房售证字( 2007 ) 448 号,20071201,北京昊远隆基房地产开发总公司
,五孔桥永金里小区1、8、9号楼,北京市政路桥建设控股(集团)有限公司,京房售证字( 2005 ) 700 号,20060101,北京市政路桥建设控股(集团)有限公司
,莲花池东路53号,北京西友瑞海房地产开发有限公司,京房售证字( 2006 ) 357 号,20060908,北京西友瑞海房地产开发有限公司
,万泉庄万柳地区万城花园（H地块）,北京万城置地房地产开发有限公司,京房售证字( 2005 ) 221 号,20050603,北京万城置地房地产开发有限公司
金惠园,黄村镇高米店村西侧,北京房信房地产开发公司,京房售证字( 2005 ) 524 号,20051002,北京房信房地产开发公司
,朝阳区北苑路86号,北京嘉铭房地产开发有限责任公司,京房售证字(2005)47号,20050216,北京嘉铭房地产开发有限责任公司
,星河城住宅小区三期G－2地块,北京玺萌置业有限公司,京房售证字( 2005 ) 234 号,20050609,北京玺萌置业有限公司
,长阳镇哑叭河村,北京日兴房地产发展有限公司,京房售证字( 2005 ) 267 号,20050623,北京日兴房地产发展有限公司
金融街园中园,永顺镇（商务园B1-6地块）商业金融项目用地,金融街（北京）商务园置业有限公司,京房售证字( 2012 ) 33 号,20120318,金融街（北京）商务园置业有限公司
隆华熙园,密云镇农机路2号,北京中加恒业房地产开发有限公司,京房售证字( 2013 ) 155 号,20130831,北京中加恒业房地产开发有限公司
亚林时代中心,西铁营村0501-628地块,北京茂瑞置业有限公司,京房售证字( 2018 ) 111 号,20180914,北京茂瑞置业有限公司
创投商务中心,庞各庄镇镇区6号地PGZ01-11地块商业金融用地项目,北京龙熙房地产开发有限责任公司,京房售证字( 2016 ) 64 号,20160518,北京龙熙房地产开发有限责任公司
新弘中心,马坊物流园区内,御马坊置业有限公司,京房售证字( 2016 ) 27 号,20160327,御马坊置业有限公司
新中苑,东直门外新中街小区2号楼,北京安石房地产开发有限公司,京房售证字( 2009 ) 233 号,20090725,北京安石房地产开发有限公司
方糖大厦,北京市顺义区天竺空港工业区B区,北京春晖园投资有限责任公司,京房售证字( 2011 ) 138 号,20110807,北京春晖园投资有限责任公司
远洋春秋嘉园 ,刘娘府1604-659地块,北京远奥置业有限公司,京房售证字( 2018 ) 14 号,20180215,北京远奥置业有限公司
新城国际公寓,朝外大街6号,北京万置房地产开发有限公司,京房售证字( 2005 ) 702 号,20060102,北京万置房地产开发有限公司
富锦嘉园4区15#、14#、12#、11#、10#、9#,丰台区富锦嘉园A2A3A5A6A7A8楼,北京市丰台区城市建设综合开发公司,京房售证字(2004)317号,20040730,北京市丰台区城市建设综合开发公司
彤廷雅苑,王四营乡土地一级开发项目一期1304-L03地块R2二类居住用地,北京矿融城置业有限公司,京房售证字( 2024 ) 21 号,20240316,北京矿融城置业有限公司
品创璟苑,西红门镇B2-08地块R2二类居住用地,北京壹品兴创置业有限公司,京房售证字( 2023 ) 87 号,20230802,北京壹品兴创置业有限公司
缦云福苑（一期）,永顺东里（万福家园）,北京顺开房地产开发有限公司,京房售证字( 2025 ) 14 号,20250304,北京顺开房地产开发有限公司
美唐花园,回龙观住宅及代建公建项目(F06),北京城市开发集团有限责任公司,京房售证字( 2011 ) 206 号,20111014,北京城市开发集团有限责任公司
源境苑,首钢园区东南区土地一级开发项目1612-830地块R2二类居住用地,北京海鑫兴业房地产开发有限公司,京房售证字( 2025 ) 69 号,20250626,北京海鑫兴业房地产开发有限公司
紫润花园,奥运村乡安立路西侧居住用地,北京金力达房地产开发有限公司,京房售证字( 2012 ) 99 号,20120527,北京金力达房地产开发有限公司
酷特华庭,十里堡时代家园H地块,北京万利通置业有限公司,京房售证字(2004)604号,20041220,北京万利通置业有限公司
云帆汀澜嘉园,经济开发区西区南扩区三、五、六期棚户区改道项目北京市城市副中心1102街区FZX-1102-6003地块,北京北投宏象房地产开发有限公司,京房售证字( 2025 ) 6 号,20250126,北京北投宏象房地产开发有限公司
颐景溪园,马坡镇,北京顺义新城建设开发有限公司,京房售证字( 2012 ) 57 号,20120422,北京顺义新城建设开发有限公司
新发地锦程园,花乡新发地住宅二期1#、4#、6#、9#、10#、12#、13#、14#、15#住宅楼及配套,北京丰泰新房地产开发有限责任公司,京房售证字( 2006 ) 227 号,20060625,北京丰泰新房地产开发有限责任公司
福星苑小区,永顺镇杨富店旧村地块;永顺镇杨富店村,北京宇盛宏利房地产开发有限公司,京房售证字( 2020 ) 64 号,20200612,北京宇盛宏利房地产开发有限公司
银河中心,台湖镇B-23地块F3其他类多功能用地项目,北京鸿昌房地产开发有限责任公司,京房售证字( 2020 ) 115 号,20200927,北京鸿昌房地产开发有限责任公司
中海九浩苑,花乡六圈（B地块）,北京中海豪景房地产开发有限公司,京房售证字( 2011 ) 58 号,20110522,北京中海豪景房地产开发有限公司
海怡庄园,十里堡镇双井村,北京海意联房地产开发有限公司,京房售证字( 2012 ) 241 号,20121020,北京海意联房地产开发有限公司
金融街园中园,永顺镇（商务园B2-5地块）商业金融项目用地,金融街（北京）商务园置业有限公司,京房售证字( 2012 ) 32 号,20120318,金融街（北京）商务园置业有限公司
骏景园,永外果园43号,北京珠江房地产开发有限公司,京房售证字( 2005 ) 140 号,20050422,北京珠江房地产开发有限公司
盛祺大厦,平谷镇府前西街18号,北京盛祺投资有限公司,京房售证字( 2013 ) 196 号,20131106,北京盛祺投资有限公司
明日花园,宾阳村南侧,北京明日房地产开发有限公司,京房售证字( 2007 ) 94 号,20070401,北京明日房地产开发有限公司
创投商务中心,庞各庄镇镇区6号地PGZ01-11地块商业金融用地项目,北京龙熙房地产开发有限责任公司,京房售证字( 2016 ) 174 号,20160826,北京龙熙房地产开发有限责任公司
颐景花园,后沙峪镇裕华路东侧,北京景旭房地产开发有限公司,京房售证字( 2009 ) 440 号,20091227,北京景旭房地产开发有限公司
东春台家园,梨园镇东小马土地一级开发项目FZX-0306-6007地块,北京运能置业有限公司,京房售证字( 2023 ) 11 号,20230217,北京运能置业有限公司
华润智慧中心,小汤山镇（未来科技城北区）CP05-0801-0011、0013地块F1住宅混合公建用地、小汤山镇（未来科技城北区）CP05-0801-0015、17地块F2公建混合住宅用地,北京未来科技城润昌置业有限公司,京房售证字( 2017 ) 101 号,20170816,北京未来科技城润昌置业有限公司
西悦中心,门头沟新城MC16-077地块,北京住总众邦地产有限公司,京房售证字( 2015 ) 70 号,20150614,北京住总众邦地产有限公司
菁澜嘉苑,建外华侨二期工程（A地块）,北京东银燕华置业有限公司,京房售证字( 2025 ) 140 号,20251204,北京东银燕华置业有限公司
晓月和风雅苑,三合庄改造区土地一级开发项目DX00-0202-6026地块R2二类居住用地,北京禾意房地产开发有限公司,京房售证字( 2023 ) 116 号,20231021,北京禾意房地产开发有限公司
玖运佳苑（二期）,北京城市副中心0101街区F2X-0101-0807地块R2二类居住用地；北京城市副中心0101街区F2X-0101-0808地块R2二类居住用地；北京城市副中心0101街区F2X-0101-0810地块R2二类居住用地,北京玖合通运企业管理服务有限公司,京房售证字( 2025 ) 148 号,20251219,北京玖合通运企业管理服务有限公司
和知筑家园,长阳镇北广阳城棚户区改造二片区FS00-0105-0011地块项目R2二类居住用地，长阳镇北广阳城棚户区改造二片区FS00-0105-0023地块项目R2二类居住用地,北京城建长阳投资发展有限公司,京房售证字( 2025 ) 158 号,20251231,北京城建长阳投资发展有限公司
东晏和园,平房乡黄杉木店平房区城中村改造项目2107-03地块,北京兴昶房地产开发有限公司,京房售证字( 2025 ) 153 号,20251226,北京兴昶房地产开发有限公司
绿地朗山产业园,水源路南侧,绿地集团北京京纬置业有限公司,京房售证字( 2017 ) 5 号,20170114,绿地集团北京京纬置业有限公司
天宝商业中心（二期）,北京经济技术开发区25号街区,北京旭东置业有限公司,京房售证字( 2005 ) 开03号,20050928,北京旭东置业有限公司
龙之湾嘉园,天竺开发区21号地,北京英才房地产开发有限公司,京房售证字( 2008 ) 176 号,20080516,北京英才房地产开发有限公司
提香草堂,窦店镇锦绣路18号,北京锦绣花园投资发展有限公司,京房售证字( 2005 ) 520 号,20051001,北京锦绣花园投资发展有限公司
金宝鑫园,马坡镇,北京金宝房地产开发有限公司,京房售证字( 2014 ) 106 号,20140522,北京金宝房地产开发有限公司
万科金阳居,石佛营三期住宅、商业及地下车库,北京市朝阳万科房地产开发有限公司,京房售证字( 2007 ) 189 号,20070609,北京市朝阳万科房地产开发有限公司
万芳园,樊家村危改（万年花城）一号地,北京万年花城房地产开发有限责任公司,京房售证字( 2005 ) 213 号,20050530,北京万年花城房地产开发有限责任公司
东亚奥北中心,东小口镇中滩村＂商业金融用地＂项目,北京联盟天地房地产开发有限公司,京房售证字( 2007 ) 57 号,20070217,北京联盟天地房地产开发有限公司
琥珀郡广场,西关环岛东侧,北京盛世原华房地产开发有限公司,京房售证字( 2011 ) 134 号,20110804,北京盛世原华房地产开发有限公司
星月家苑,卢沟桥南里1号东院,北京银海房地产开发有限公司,京房售证字( 2005 ) 84 号,20050323,北京银海房地产开发有限公司
朝新嘉园西里二区三区四区,东坝单店二类居住、小学用地项目,北京金隅嘉业房地产开发有限公司,京房售证字( 2016 ) 44 号,20160420,北京金隅嘉业房地产开发有限公司
上河湾家园,北京市密云县观光塔住宅小区0702、1001地块,北京城建兴云房地产有限公司,京房售证字( 2014 ) 52 号,20140330,北京城建兴云房地产有限公司
金隅凤麟苑,姚家园西口265号东郊木材厂居住项目A地块,北京金隅嘉业房地产开发有限公司,京房售证字( 2008 ) 5 号,20080106,北京金隅嘉业房地产开发有限公司
西山阅家园,门头沟新城MC08-014/015地块,北京新都致远房地产开发有限公司,京房售证字( 2016 ) 69 号,20160525,北京新都致远房地产开发有限公司
万芳园,花乡樊家村万年花城一号地,北京万年花城房地产开发有限责任公司,京房售证字( 2005 ) 165 号,20050501,北京万年花城房地产开发有限责任公司
方恒国际中心,望京新城B区6号-10号地A区3号楼,北京方恒置业股份有限公司,京房售证字( 2010 ) 179 号,20100814,北京方恒置业股份有限公司
安泰大厦,南三环东路23号安泰住宅小区,北京安泰达房地产开发有限责任公司,京房售证字( 2006 ) 105 号,20060401,北京安泰达房地产开发有限责任公司
提香草堂,窦店镇锦绣路18号,北京锦绣花园投资发展有限公司,京房售证字( 2008 ) 303 号,20080815,北京锦绣花园投资发展有限公司
长安融府,复兴门内南闹市口III-2地块,北京晨昱泰和房地产开发有限公司,京房售证字( 2007 ) 418 号,20071110,北京晨昱泰和房地产开发有限公司
龙之湾嘉园,天竺开发区21号地,北京英才房地产开发有限公司,京房售证字( 2007 ) 13 号,20070114,北京英才房地产开发有限公司
远洋东方嘉园,玉桥西里住宅小区（二期）,北京远河房地产开发有限公司,京房售证字( 2010 ) 203 号,20100915,北京远河房地产开发有限公司
上河村,四季青乡远大村鲁迅文化园C1-C7住宅楼及地下车库,北京市鲁艺房地产开发有限责任公司,京房售证字( 2005 ) 492 号,20050924,北京市鲁艺房地产开发有限责任公司
阳明广安园,广安门车站西街1＃院,北京同源房地产开发有限公司,京房售证字( 2005 ) 335 号,20050717,北京同源房地产开发有限公司
九章花园,首都机场高速公路北皋立交桥东,北京诚通华亿房地产有限公司,京房售证字( 2013 ) 69 号,20130512,北京诚通华亿房地产有限公司
华世天阁,朝阳区大羊坊北甲1号,北京城建房地产开发有限公司,京房售证字(2004)125号,20040408,北京城建房地产开发有限公司
提香草堂,窦店镇锦绣路18号,北京锦绣花园投资发展有限公司,京房售证字( 2006 ) 297 号,20060806,北京锦绣花园投资发展有限公司
万芳园,花乡樊家村万年花城一号地,北京万年花城房地产开发有限责任公司,京房售证字( 2005 ) 526 号,20051002,北京万年花城房地产开发有限责任公司
金隅凤麟苑,姚家园西口265号东郊木材厂B地块,北京金隅嘉业房地产开发有限公司,京房售证字( 2007 ) 101 号,20070405,北京金隅嘉业房地产开发有限公司
富力信然家园,南纬路35号,富力（北京）地产开发有限公司,京房售证字( 2007 ) 17 号,20070118,富力（北京）地产开发有限公司
万芳园,花乡樊家村危改（万年花城）,北京万年花城房地产开发有限责任公司,京房售证字( 2007 ) 179 号,20070603,北京万年花城房地产开发有限责任公司
丽喜南苑,高丽营镇夏县营村,北京顺鑫佳宇房地产开发有限公司,京房售证字( 2009 ) 313 号,20090923,北京顺鑫佳宇房地产开发有限公司
新能国际大厦,鲁谷银河商务区M地块,新能（北京）国际房地产开发有限公司,京房售证字( 2010 ) 132 号,20100614,新能（北京）国际房地产开发有限公司
太阳绿园,芍药居东区住宅及配套、公建项目用地1组团,北京东方信远房地产开发有限公司,京房售证字( 2009 ) 138 号,20090517,北京东方信远房地产开发有限公司
润西山苑,永定镇冯村（新城地区一期居住项目）,华润置地发展（北京）有限公司,京房售证字( 2012 ) 228 号,20121001,华润置地发展（北京）有限公司
仰山嘉园,黄村镇新城北区16号地,北京金地融侨房地产开发有限公司,京房售证字( 2010 ) 193 号,20100828,北京金地融侨房地产开发有限公司
大成郡,青塔二期东区花雨园,北京大成开发集团有限公司,京房售证字( 2009 ) 393 号,20091122,北京大成开发集团有限公司
檀州家园,密云镇兴苑北区,北京紫金长宁房地产开发有限责任公司,京房售证字( 2008 ) 373 号,20081018,北京紫金长宁房地产开发有限责任公司
东方雅苑,西大望路西侧,北京中力房地产开发有限公司,京房售证字( 2007 ) 165 号,20070525,北京中力房地产开发有限公司
通惠家园惠润园,八王坟通惠家园C区,北京城市开发集团有限责任公司,京房售证字( 2006 ) 35 号,20060129,北京城市开发集团有限责任公司
熙兆嘉园,长阳镇起步区3号地北侧住宅混合公建项目,北京首开荣泰置业有限公司,京房售证字( 2014 ) 122 号,20140606,北京首开荣泰置业有限公司
绿拆区1#、2#楼及地下车库,丰台区左安门外方庄绿拆区1#、2#楼及地下车库,北京城市开发股份有限公司,京房售证字(2004)578号,20041208,北京城市开发股份有限公司
悦璟轩,丰台区右安门外大街西三条一号,北京中天宏瑞房地产开发有限公司,京房售证字( 2006 ) 47 号,20060219,北京中天宏瑞房地产开发有限公司
中新荣大厦,朝阳区大屯路9号,北京新荣房地产开发有限公司,京房售证字( 2005 ) 29 号,20050128,北京新荣房地产开发有限公司
玉泉西里二区,鲁谷地区远洋山水二期8#-18#住宅、11#-16#配套、8#-10#地下车库,远洋地产有限公司,京房售证字( 2006 ) 6 号,20060111,远洋地产有限公司
,朝阳区东三环北路丙2号,北京林达华夏房地产开发有限公司,京房售证字(2005)50号,20050207,北京林达华夏房地产开发有限公司
,沙河镇,北京中海海洋花园房地产开发有限公司,京房售证字( 2006 ) 213 号,20060608,北京中海海洋花园房地产开发有限公司
,朝阳区朝阳区西大望路甲3号,北京建华时代房地产有限公司,京房售证字(2003)281号,20040118,北京建华时代房地产有限公司
,朝阳区广渠门外大街31号,北京金隅嘉业房地产开发有限公司,京房售证字( 2005 ) 708 号,20060101,北京金隅嘉业房地产开发有限公司
,南营房危改小区丙区、丁区、戊区,北京兆通置地房地产股份有限公司,京房售证字( 2006 ) 270 号,20060720,北京兆通置地房地产股份有限公司
,西马厂三星庄34号 ,北京恒鑫房地产开发有限公司,京房售证字( 2005 ) 382 号,20050811,北京恒鑫房地产开发有限公司
,黄村镇宋庄村,北京亚奥先科房地产开发有限公司,京房售证字( 2005 ) 647 号,20051207,北京亚奥先科房地产开发有限公司
林萃西里,林萃西里15、55号楼及地下车库,北京旭日房地产开发有限责任公司,京房售证字( 2006 ) 58 号,20060303,北京旭日房地产开发有限责任公司
,小汤山镇南侧,北京金成华房地产开发有限公司,京房售证字( 2005 ) 435 号,20050901,北京金成华房地产开发有限公司
,昌平区昌平区东小口镇,北京腾昌兴房地产开发有限公司,京房售证字(2003)212号,20031103,北京腾昌兴房地产开发有限公司
,菜户营西街117号三期7#楼,北京顺驰置地丰润房地产开发有限公司,京房售证字( 2005 ) 489 号,20050924,北京顺驰置地丰润房地产开发有限公司
凯德锦绣名苑,八里庄京棉集团生活区A1区,北京恒世同方房地产开发有限公司,京房售证字( 2010 ) 28 号,20100127,北京恒世同方房地产开发有限公司
,长阳镇高佃三村,北京靠山居房地产开发有限公司,京房售证字( 2005 ) 465 号,20050911,北京靠山居房地产开发有限公司
,南顶路6#彩虹城(世纪人居)四区1#楼,北京东和嘉业房地产开发有限公司,京房售证字( 2005 ) 429 号,20050828,北京东和嘉业房地产开发有限公司
,沙河镇,北京中海海洋花园房地产开发有限公司,京房售证字( 2005 ) 680 号,20051221,北京中海海洋花园房地产开发有限公司
,将台乡酒仙桥村太平洋城1#地下车库,北京太平洋城房地产开发有限公司,京房售证字( 2005 ) 477 号,20050916,北京太平洋城房地产开发有限公司
泛海国际居住区,东风乡绿隔地区第四宗地J-8地块,北京泛海信华置业有限公司,京房售证字( 2008 ) 453 号,20081220,北京泛海信华置业有限公司
,金融街A区3号地南部(金鼎大厦),金融街控股股份有限公司,京房售证字( 2007 ) 65 号,20070226,金融街控股股份有限公司
,莲花池西路,北京润佳房地产开发有限公司,京房售证字( 2006 ) 460 号,20061104,北京润佳房地产开发有限公司
南湖中园K7区B4楼,望京新城K&区B组团,北京城市开发集团有限责任公司,京房售证字( 2007 ) 417 号,20071113,北京城市开发集团有限责任公司
,东风乡绿隔地区第三宗地J-5地块,北京泛海信华置业有限公司,京房售证字( 2006 ) 555 号,20061224,北京泛海信华置业有限公司
东恒家园,十里堡东恒时代家园三期B2、D、B3型住宅,北京方恒置业股份有限公司,京房售证字( 2005 ) 394 号,20050817,北京方恒置业股份有限公司
,翠成馨园,北京住总房地产开发有限责任公司,京房售证字( 2006 ) 154 号,20060426,北京住总房地产开发有限责任公司
泛海国际居住区,东风乡绿隔地区第三宗地J-5地块,北京泛海信华置业有限公司,京房售证字( 2009 ) 38 号,20090319,北京泛海信华置业有限公司
融盛家园,大屯路224号住宅及商业用地项目,金融街控股股份有限公司,京房售证字( 2009 ) 356 号,20091024,金融街控股股份有限公司
天安天地大厦,宣武门内大街东侧西绒线胡同,北京天安天地房地产开发有限公司,京房售证字( 2009 ) 6 号,20090114,北京天安天地房地产开发有限公司
东恒家园,"朝阳路十里堡""方恒家园""一期A2-7B.A2-9地块",北京方恒置业股份有限公司,京房售证字( 2005 ) 703 号,20060102,北京方恒置业股份有限公司
太阳御园,太阳宫乡北四环东路南侧芍药居东区住宅及配套、公建项目用地2组团2#-B地块,北京信远筑诚房地产开发有限公司,京房售证字( 2010 ) 75 号,20100328,北京信远筑诚房地产开发有限公司
亦语林居,马驹桥镇西区（马驹桥镇起步区C3住宅小区,北京嘉源置业投资有限公司,京房售证字( 2005 ) 147 号,20050422,北京嘉源置业投资有限公司
,南湖渠,北京金隅嘉业房地产开发有限公司,京房售证字( 2005 ) 130 号,20050418,北京金隅嘉业房地产开发有限公司
,小汤山镇沙顺路68号,北京翰宏基业房地产开发有限公司,京房售证字( 2005 ) 358 号,20050730,北京翰宏基业房地产开发有限公司
,八角街道 TSM南区 0761-09,北京北辰万通国际投资有限公司,京房售证字( 2006 ) 283 号,20060730,北京北辰万通国际投资有限公司
,丰台区南苑乡新宫村新宫新村一期A区,北京鑫起达房地产开发有限责任公司,京房售证字(2004)215号,20040610,北京鑫起达房地产开发有限责任公司
,朝阳区东四环北路外（朝阳公园东小区一期N3、N4住宅楼及N2配套楼）,北京国兴嘉业房地产开发有限责任公司,京房售证字(2004)492号,20041029,北京国兴嘉业房地产开发有限责任公司
